service,painpoint,count,percentage
ringle,앱_UI_UX,760,46.6
ringle,튜터_강사,1030,63.2
ringle,콘텐츠_교재,885,54.3
ringle,AI_기술,790,48.4
ringle,앱_버그_오류,362,22.2
ringle,고객서비스,618,37.9
ringle,가격_비용,867,53.2
ringle,학습효과_의문,832,51.0
cake,앱_UI_UX,129,21.6
cake,튜터_강사,152,25.4
cake,콘텐츠_교재,197,32.9
cake,학습효과_의문,135,22.6
cake,AI_기술,112,18.7
cake,가격_비용,213,35.6
cake,고객서비스,85,14.2
cake,앱_버그_오류,84,14.0
hackers,앱_버그_오류,53,7.3
hackers,가격_비용,203,27.8
hackers,튜터_강사,194,26.6
hackers,콘텐츠_교재,266,36.5
hackers,학습효과_의문,87,11.9
hackers,앱_UI_UX,115,15.8
hackers,고객서비스,48,6.6
hackers,AI_기술,59,8.1
malhae,콘텐츠_교재,165,24.8
malhae,학습효과_의문,121,18.2
malhae,튜터_강사,126,18.9
malhae,AI_기술,103,15.5
malhae,가격_비용,198,29.8
malhae,앱_UI_UX,84,12.6
malhae,고객서비스,50,7.5
malhae,앱_버그_오류,49,7.4
maxai,앱_UI_UX,116,22.9
maxai,가격_비용,190,37.5
maxai,학습효과_의문,142,28.1
maxai,AI_기술,227,44.9
maxai,고객서비스,125,24.7
maxai,콘텐츠_교재,178,35.2
maxai,튜터_강사,196,38.7
maxai,앱_버그_오류,102,20.2
pagoda,앱_UI_UX,79,33.2
pagoda,앱_버그_오류,35,14.7
pagoda,학습효과_의문,53,22.3
pagoda,콘텐츠_교재,129,54.2
pagoda,튜터_강사,104,43.7
pagoda,가격_비용,95,39.9
pagoda,고객서비스,51,21.4
pagoda,AI_기술,52,21.8
santa,AI_기술,161,19.9
santa,가격_비용,200,24.7
santa,콘텐츠_교재,192,23.7
santa,튜터_강사,137,16.9
santa,앱_UI_UX,215,26.5
santa,학습효과_의문,130,16.0
santa,고객서비스,109,13.5
santa,앱_버그_오류,205,25.3
uphone,가격_비용,197,15.9
uphone,튜터_강사,825,66.5
uphone,학습효과_의문,184,14.8
uphone,고객서비스,285,23.0
uphone,콘텐츠_교재,328,26.4
uphone,앱_UI_UX,162,13.1
uphone,앱_버그_오류,130,10.5
uphone,AI_기술,87,7.0
yanadu,앱_UI_UX,216,34.3
yanadu,가격_비용,147,23.3
yanadu,튜터_강사,304,48.3
yanadu,콘텐츠_교재,349,55.4
yanadu,학습효과_의문,109,17.3
yanadu,AI_기술,108,17.1
yanadu,고객서비스,76,12.1
yanadu,앱_버그_오류,204,32.4
carrot,앱_UI_UX,67,12.1
carrot,튜터_강사,404,72.7
carrot,콘텐츠_교재,167,30.0
carrot,학습효과_의문,97,17.4
carrot,AI_기술,42,7.6
carrot,가격_비용,79,14.2
carrot,앱_버그_오류,52,9.4
carrot,고객서비스,105,18.9
