service,competitor,mentions
ringle,tutoring,50
ringle,spik,99
ringle,malhae,99
ringle,duolingo,35
ringle,cambly,90
ringle,uphone,30
ringle,carrot,34
ringle,engoo,33
ringle,maxai,19
ringle,santa,11
ringle,siwonschool,20
ringle,yanadu,9
ringle,cake,15
ringle,hackers,14
cake,malhae,32
cake,duolingo,22
cake,santa,1
cake,spik,23
cake,carrot,5
cake,tutoring,3
cake,engoo,2
cake,siwonschool,4
cake,yanadu,2
hackers,spik,10
hackers,siwonschool,9
hackers,malhae,9
hackers,duolingo,3
hackers,yanadu,1
hackers,tutoring,2
hackers,santa,1
hackers,cake,12
malhae,spik,38
malhae,cake,5
malhae,duolingo,32
malhae,santa,1
malhae,carrot,1
malhae,hackers,2
malhae,siwonschool,2
malhae,maxai,2
malhae,tutoring,1
malhae,cambly,1
maxai,spik,46
maxai,malhae,38
maxai,carrot,3
maxai,santa,2
maxai,yanadu,7
maxai,siwonschool,8
maxai,duolingo,10
maxai,tutoring,3
maxai,ringle,2
maxai,cake,1
maxai,uphone,2
maxai,engoo,1
maxai,hackers,1
pagoda,spik,12
pagoda,uphone,7
pagoda,malhae,4
pagoda,hackers,16
pagoda,maxai,2
pagoda,santa,3
pagoda,cake,6
pagoda,yanadu,2
pagoda,tutoring,1
pagoda,siwonschool,4
santa,malhae,6
santa,spik,4
santa,siwonschool,1
santa,hackers,5
santa,duolingo,3
santa,tutoring,4
santa,maxai,1
uphone,malhae,25
uphone,spik,14
uphone,tutoring,6
uphone,engoo,9
uphone,cambly,11
uphone,siwonschool,1
uphone,yanadu,2
uphone,ringle,6
uphone,cake,1
uphone,maxai,1
uphone,carrot,3
uphone,santa,1
uphone,hackers,1
yanadu,malhae,27
yanadu,spik,12
yanadu,siwonschool,112
yanadu,duolingo,5
yanadu,maxai,5
yanadu,tutoring,1
yanadu,carrot,1
carrot,malhae,20
carrot,spik,9
carrot,ringle,2
carrot,engoo,2
carrot,cake,3
carrot,duolingo,5
carrot,cambly,1
carrot,siwonschool,1
carrot,hackers,1
