title,url,search_keyword,company,source_type,source_platform,content,collected_at
파란나라 영어요정의 문장숲,https://blog.naver.com/blue_eng_fairy,케이크 영어,cake,blog,naver_blog,,2026-01-18T14:17:39.132737
"'It's a piece of cake' 완전 쉬운 영어 표현! - 케이크처럼 쉬운 영어 표현, 바로 써보세요!",https://blog.naver.com/blue_eng_fairy/224137032742,케이크 영어,cake,blog,naver_blog,,2026-01-18T14:17:39.163683
"케이크 영어앱 유료 기능, 케이크 플러스 직접 써본 후기",https://blog.naver.com/psk200191/224067476434,케이크 영어,cake,blog,naver_blog,,2026-01-18T14:17:39.239793
연말연초 케이크 올라운드팩 솔직 후기 (포기 없는 영어공부 활용 방법),https://blog.naver.com/young0mom/224102529069,케이크 영어,cake,blog,naver_blog,,2026-01-18T14:17:39.308476
언어는 여행 중 – 영어의 뿌리를 찾아서 주제 : Cake – 단단한 빵에서 달콤한 가 되기까지,https://blog.naver.com/hkoala88/224101538279,케이크 영어,cake,blog,naver_blog,,2026-01-18T14:17:40.151716
"또산책
blog.naver.com›naebolso_o",https://blog.naver.com/naebolso_o/223167606027,케이크 영어,cake,blog,naver_blog,,2026-01-18T14:17:40.409342
"""걷기""는 나를 찾아가는 일상, 신이 주신 선물",https://blog.naver.com/marcus_staycool,케이크 영어,cake,blog,naver_blog,,2026-01-18T14:17:40.557724
<구어체 영어 표현 공부하기> You can't have your cake and eat it too.,https://blog.naver.com/marcus_staycool/224102663346,케이크 영어,cake,blog,naver_blog,,2026-01-18T14:17:40.599718
엘리버스 ️Ellieverse,https://blog.naver.com/chocsta,케이크 영어앱,cake,blog,naver_blog,,2026-01-18T14:17:56.626665
"스피킹 시험대비 케이크 영어앱, 케이크 영어로 공부하기",https://blog.naver.com/chocsta/224066088992,케이크 영어앱,cake,blog,naver_blog,,2026-01-18T14:17:56.652761
Cake 매일 새로운 영어 표현을 업데이트하는 어학 학습 앱,https://blog.naver.com/toreview/224106190285,케이크 영어앱,cake,blog,naver_blog,,2026-01-18T14:17:56.747590
영어회화앱 케이크 오픽 준비 케이크플러스 사용 후기,https://blog.naver.com/alwayuz/224070378368,케이크 영어앱,cake,blog,naver_blog,,2026-01-18T14:17:56.818418
영어회화앱 케이크 솔직후기,https://blog.naver.com/leticiamimi/224069266005,케이크 영어앱,cake,blog,naver_blog,,2026-01-18T14:17:56.928399
"글로벌리더 레드썬
blog.naver.com›red___sun",https://blog.naver.com/red___sun/223451394980,케이크 영어앱,cake,blog,naver_blog,,2026-01-18T14:17:57.656168
"영어스피킹 - 케이크 플러스
유블리
네이버 블로그",http://blog.naver.com/yuvinring/223651942243,cake english,cake,blog,naver_blog,,2026-01-18T14:18:11.950710
"케이크로 배우는 필수영어 회화 (unit 1~unit 4) | 할인링크,할인코드
y_study_02
네이버 블로그",http://blog.naver.com/y_study_02/223626573473,cake english,cake,blog,naver_blog,,2026-01-18T14:18:11.971477
"[뇌새김] 생일 케이크 레터링 영어 문구 추천 / 생일 케이크에 적기 좋은 영어 문구!
뇌새김
네이버 블로그",http://blog.naver.com/braintalk/223389318795,cake english,cake,blog,naver_blog,,2026-01-18T14:18:11.982695
"[쿠키인스토리,분당PSA,타퍼케이크,캐릭터케이크] 스파이더맨 2단 초코케이크 (어린이집,영어유치원 생일케이크,버터크림케이크)
혜시니
네이버 블로그",http://blog.naver.com/pinkvane/220376086302,cake english,cake,blog,naver_blog,,2026-01-18T14:18:12.004709
"무료 영어회화 어플 케이크 - 영상으로 배우기
Becoming
네이버 블로그",http://blog.naver.com/our-becoming/222383290317,cake english,cake,blog,naver_blog,,2026-01-18T14:18:12.025777
Piece of cake 뜻 완벽정리,https://blog.naver.com/freepmsb/224090958015,cake english,cake,blog,naver_blog,,2026-01-18T14:18:12.381649
"go bad, icing on the cake, pick at something | EBS Power English 파워 잉글리시",https://blog.naver.com/58teresa/224054929665,cake english,cake,blog,naver_blog,,2026-01-18T14:18:12.488931
