title,url,search_keyword,company,source_type,source_platform,content,collected_at
영어회화 케이크 스픽 듀오링고 어떤거 추천하시나요?,https://www.teamblind.com/kr/post/%EC%98%81%EC%96%B4%ED%9A%8C%ED%99%94-%EC%BC%80%EC%9D%B4%ED%81%AC-%EC%8A%A4%ED%94%BD-%EB%93%80%EC%98%A4%EB%A7%81%EA%B3%A0-%EC%96%B4%EB%96%A4%EA%B1%B0-%EC%B6%94%EC%B2%9C%ED%95%98%EC%8B%9C%EB%82%98%EC%9A%94-r7ca4M2C,케이크 영어,cake,community,blind,,2026-01-18T14:06:11.880811
케이크 영어 공부 어플 빈자리 있으신분,https://www.teamblind.com/kr/post/%EC%BC%80%EC%9D%B4%ED%81%AC-%EC%98%81%EC%96%B4-%EA%B3%B5%EB%B6%80-%EC%96%B4%ED%94%8C-%EB%B9%88%EC%9E%90%EB%A6%AC-%EC%9E%88%EC%9C%BC%EC%8B%A0%EB%B6%84-0NZKZdXd,케이크 영어,cake,community,blind,,2026-01-18T14:06:11.880837
영어어플 케이크vs레드키위vs스픽,https://www.teamblind.com/kr/post/%EC%98%81%EC%96%B4%EC%96%B4%ED%94%8C-%EC%BC%80%EC%9D%B4%ED%81%ACvs%EB%A0%88%EB%93%9C%ED%82%A4%EC%9C%84vs%EC%8A%A4%ED%94%BD-AXQXmYx3,케이크 영어,cake,community,blind,,2026-01-18T14:06:11.880852
케이크 영어어플 패밀리 1년구독 같이하실분!,https://www.teamblind.com/kr/post/%EC%BC%80%EC%9D%B4%ED%81%AC-%EC%98%81%EC%96%B4%EC%96%B4%ED%94%8C-%ED%8C%A8%EB%B0%80%EB%A6%AC-1%EB%85%84%EA%B5%AC%EB%8F%85-%EA%B0%99%EC%9D%B4%ED%95%98%EC%8B%A4%EB%B6%84-2ESMxOdF,케이크 영어,cake,community,blind,,2026-01-18T14:06:11.880867
영어회화 어플 케이크 쓰고있는데,https://www.teamblind.com/kr/post/%EC%98%81%EC%96%B4%ED%9A%8C%ED%99%94-%EC%96%B4%ED%94%8C-%EC%BC%80%EC%9D%B4%ED%81%AC-%EC%93%B0%EA%B3%A0%EC%9E%88%EB%8A%94%EB%8D%B0-dgOvyD5g,케이크 영어,cake,community,blind,,2026-01-18T14:06:11.880882
케이크앱 주식회사 케이크 직원들 다 연고대더라,https://www.teamblind.com/kr/post/%EC%BC%80%EC%9D%B4%ED%81%AC%EC%95%B1-%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC-%EC%BC%80%EC%9D%B4%ED%81%AC-%EC%A7%81%EC%9B%90%EB%93%A4-%EB%8B%A4-%EC%97%B0%EA%B3%A0%EB%8C%80%EB%8D%94%EB%9D%BC-J0dPeU1F,케이크앱,cake,community,blind,,2026-01-18T14:06:18.039860
케이크 영어회화 앱은 상업적으로 유튜브 영상 써도 되는거야?,https://www.teamblind.com/kr/post/%EC%BC%80%EC%9D%B4%ED%81%AC-%EC%98%81%EC%96%B4%ED%9A%8C%ED%99%94-%EC%95%B1%EC%9D%80-%EC%83%81%EC%97%85%EC%A0%81%EC%9C%BC%EB%A1%9C-%EC%9C%A0%ED%8A%9C%EB%B8%8C-%EC%98%81%EC%83%81-%EC%8D%A8%EB%8F%84-%EB%90%98%EB%8A%94%EA%B1%B0%EC%95%BC-isf5Sa54,케이크앱,cake,community,blind,,2026-01-18T14:06:18.039886
영어공부 앱 케이크 플러스 구독하실 분! (월 1930원),https://www.teamblind.com/kr/post/%EC%98%81%EC%96%B4%EA%B3%B5%EB%B6%80-%EC%95%B1-%EC%BC%80%EC%9D%B4%ED%81%AC-%ED%94%8C%EB%9F%AC%EC%8A%A4-%EA%B5%AC%EB%8F%85%ED%95%98%EC%8B%A4-%EB%B6%84-%EC%9B%94-1930%EC%9B%90-iraS1dGB,케이크앱,cake,community,blind,,2026-01-18T14:06:18.039904
남친이 하남자였으면 좋겠다,https://www.teamblind.com/kr/post/%EB%82%A8%EC%B9%9C%EC%9D%B4-%ED%95%98%EB%82%A8%EC%9E%90%EC%98%80%EC%9C%BC%EB%A9%B4-%EC%A2%8B%EA%B2%A0%EB%8B%A4-B4xPJhzo,케이크앱,cake,community,blind,,2026-01-18T14:06:18.039920
영어 회화 추천,https://www.teamblind.com/kr/post/%EC%98%81%EC%96%B4-%ED%9A%8C%ED%99%94-%EC%B6%94%EC%B2%9C-2DmP67gt,케이크앱,cake,community,blind,,2026-01-18T14:06:18.039935
