title,text,rating,author,date,company,source_type,source_platform,search_keyword,url,collected_at
훌륭합니다.,훌륭합니다.,5,개구리7173,2026-01-12T06:58:09-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
쮸쩐!👍,"ㅁㅎㅂㅋ 가격인상으로 케이크로 넘어왔는데 복합하게 느껴짐. 
진짜 컨텐츠가 많아서 뭘 해야할지 모르겠음ㅋㅋ
컨텐츠가 많아서 뭘봐야할지 몰라서 계속 둘러보기만 하다 잠들게 되는 넷플릭스같음. 
그래서 퀴즈를 통해 나의 레벨에 맞게끔 영상이든 뭐든 알아서 커리큘럼을 만들어주던가 아님 추천영상을 주던가했으면 좋겠음. 
또 퀴즈풀때 단어 선택시 음성이 나왔으면 좋겠음. 
또 예문의 단어들을 누르면 뜻이 바로 보였으면좋겠음. 
그리고 예문옆에 상시 음성듣기가 있었으면 좋겠음. 
아니면 틀렸으면 그때라도 음성듣기 버튼이 활성화가 됬으면 함. 배웠는데 까먹어서 어떻게 읽는몰라소 넘기기할때도 있음. 
그래도 ㅁㅎㅂㅋ보단 재미는덜 하지만 공부하는 느낌은 들어서 쫌더 기억에 남는것같음. 
그리고 패밀리팟으로 하면 가격이 개혜자임.",5,서국수,2026-01-06T19:32:53-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
굿,굿,5,구웃구구구굿,2026-01-05T06:51:13-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
재미있는 영상 덕분에 지루하지 않게 공부해요.,올해는 정말 매일매일 케이크 한조각씩 하려고 해요.,5,letsbuyhappiness,2026-01-03T01:49:14-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
음성 인식이 왜 이래요?,"아니 제 발음이 구리다고 쳐요
쟤네는 말할 때 연음쳐해서
저도 연음으로 쳐말하면 b등급 쳐주고 천천히 말해야지 a주네요
계속하다가 빡쳐서 폰 집어던져서 액정에 금갔네요
돈 내고 하는데 짜증나서 1점 드립니다",1,로군,2025-12-29T03:18:06-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
good,good,5,라드뮤지션,2025-12-26T15:55:30-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
Drill 오동작 드디어 수정됐나보군요.,"지난 번 업데이트로 Drill 모두가 제대로 동작 안하고 계속 끊겨서 고객센터와 여러 번 메일 왔다갔다했는데, 오늘 업데이트하고 2개 들어봤는데, 안 끊기고 잘 되네요. 

이젠 Drill 잘되는 버전으로 계속 쓰고,  자발적 업데이트는 안하겠습니다. ^^",5,EinFlaneur_KR,2025-12-22T03:27:35-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
공부하기 좋네요,다만 실전에 써먹으려면 생각은 안나더라구요. ㅠㅠ,5,연우연재,2025-12-19T22:11:18-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
영어공부,열심히 해보겠습니다,5,만리갓,2025-12-17T10:09:04-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
이제 막 사용해서 잘 모르겠지만,아직까진 좋습니다! 반복학습이 최고임,5,이거쓰고싶냐ㅋㅋ,2025-12-15T00:51:15-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
쓰고 따라말하고 듣고 좋네요,가격도 저렴하고 제게 맞는 어플 찾았어요.,5,ScreenX,2025-12-13T19:16:01-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
Why i like this apps,"Good so far, will considering to purchase the yearly plan",5,Panduinkorea,2025-12-10T17:17:22-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
돈내는거 빼곤 단점 없다,돈 내는게 많다,5,무언가인 사람,2025-12-06T04:29:13-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
So far so good,"초기 무료때 사용후 다시 깔아서 사용중
우선 지금까지는 무난함",4,증상개선 ㅠㅠ,2025-12-03T18:46:14-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
반복기능이 며칠 전부터 안돼요,"반복기능때문에 플러스 구매했는데, 고객센터도 닿기 힘들고, 반복기능이 계속 끊겨요, 손으로 매벙 눌러줘야 해요. drill기능도 한번 후에 끝나구요, 수정좀 부탁드려요",3,커피is,2025-12-02T15:55:19-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
유용해요,아주 유용하고 수준별학습 이디엄이 많아서 좋습니다,5,그레잇으,2025-11-23T03:17:16-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
컨텐츠는 너무 좋아요,"튜터부분에서만 음성인식이 갑자기
안되더라구요- 근데 관련 문의나 해결방법을 알아볼 수 있는 채널이 없어서 아쉬워요ㅠㅠ 장기권 끊었는데 계속 안되는건 아니겠죠-?",5,ssella,2025-11-20T20:32:08-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
제가 아는 앱 중에서 최고입니다.!,원어민의 영상(음성)+예문으로 계속 반복해서 연습할 수 있고 복습할 수 있어서 너무 좋습니다.! 향후 1년후 2~3마디 의사소통을 할 수 있도록 하는게 목표입니다.!,5,이스리1224,2025-11-18T18:06:53-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
최고예요,추천해요,5,ㅅㄱㅈㅣㅏㅓㅗ,2025-11-15T01:28:50-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
구독취소 ㅠㅠ부탁,일주일 무료 체험할려고 눌렀는데 구독되어버렸어요 취소 부탁드립니다,3,꾸르르루루ㅜ룰 잼,2025-11-14T01:25:41-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
Gooooood,That is the best way to learn english for starter,5,투투투덜덜투덜덣,2025-11-12T05:23:34-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
확실히 좋음…,"미드, 영화, 유튜브, 동화 영상으로 공부할수있는게 진짜 너무 ….너무 좋음 ㅜ",5,쓰레기겜에만 리뷰남김,2025-11-11T21:26:33-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
단연코 최고의 영어앱!,"진짜 영어를 재밌게 배울 수 있어요 
게다가 무료!!!!! 
이거 진짜 단연코 최고의 영어앱입니다",5,외로운인생 ㅠ,2025-11-11T16:54:55-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
영어초급 따라하기쉬워요,영어초급 따라하기 쉬워요,5,슈53,2025-10-29T18:50:46-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
좋아요,재밌고 좋아요!,5,아침의 노래,2025-10-23T20:30:04-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
업데이트하고 이상해짐,같은 환경에서 말하는데 오디오 인식률이 엄청 떨어짐. 자꾸 크게 말하라 하고.,1,슈카슈카슈카,2025-10-23T06:26:15-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
말해보카에서 갈아탔지만..,유료로 쓸 정도에 어플은 아닙니다. 공부가 체계적이지 않고 궁금한 문장 해석은 다른 어플을 이용해야하고 뭔가 혹하는 어플이지만 결제하고 써보니 겉할기식 느낌이네요.,2,실망 ㅜ,2025-10-18T19:33:23-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
