title,text,rating,author,date,url,company,source_type,source_platform,search_keyword,collected_at
,갑자기 자동 결제됨 심지어 구독도 안되어있음 메일 보냈으니까 환불 처리 해줘요,1,Eden,2026-01-15 10:51:25,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,갤럭시 패드 화면 영상이나 글씨가 잘려서 보이는데 이 오류 뭐죠? 이 어플 나온지가 오래됐을텐데 이걸 안고친다고요?,1,이승재,2026-01-11 16:22:08,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,"가끔 영상재생에 오류가 있어요. 그리고 타사 앱에 비해 마이크 인식율이 넘 떨어져요. 볼륨을 키우고 입을 가까이 대고 말해도 인식이 안되거나, 늦거나, 소리가 작거나 그래요. 제 목소리가 잘안잡히니깐 유료버전 사용중인데도 스피킹보다는 퀴즈위주로만 대충 맞추거나 영상재생만 하다가 말게 되네요. 타사앱도 말끝을 다잡아먹는 오류가 있긴하지만 목소리수음도 잘되고 크게 인식하더라구요. 좋은 컨텐츠 많은데 아까워요.",3,Eunice Lee,2026-01-05 09:28:07,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,영상과 함께 연습하니 참 좋아요,4,MOVIE 나도 (green song),2026-01-04 19:45:29,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,굿,5,김시우,2026-01-03 00:09:22,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,"I've learned so much, really",5,Bbdjb Jbdj,2025-12-28 21:41:07,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,시카고 노래를 잘부르는 유부녀가 날 이곳까지 이끌었어 2025,5,karl watson,2025-12-27 02:02:20,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,재밌게 하고있어요 듣기가 많이 늘겠어요,5,윤이나,2025-12-26 19:57:59,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,그냥 술술 보니까 단어 하나하나 외우라고 강요도 없고 릴스 대신 영어 술술 지나가고 궁금한 거 눌러 보면서 자연스럽게 느는 이 느낌이 좋아요 즐거운 공부 가능할 듯요 보기도ㅠ편하고 다른앱들 소리 쫙 듣고 싶은데 자꾸 외웠나고 문제내서 흐름 끊기고 너무 답답했는데 이건 제가 쭉 듣다가 선택해서 필요한 만큼 볼 수 있어서 좋아요 팝송은 쭉 듣고 조금씩 꺼내보고 이게 편해서,5,이승연,2025-12-26 19:08:14,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,좋아요,5,김희영,2025-12-25 23:41:50,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,좋아요,5,문지환,2025-12-25 20:16:57,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,어려움 토익공부용이 아닌 해외 용임,1,박재오,2025-12-24 20:44:55,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,정기 결제가 하루전날 10만원되고 플러스 등록도 안되어 있음 뭐야 이게,1,Jamming Code,2025-12-21 01:29:01,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,케이크는 영상을 보면서 학습을 할 수 있는데 너무 좋아요! 영어 공부에도 도움이 되고요 매일매일 즐겁게 학습할 수 있는게 기뻐요.,5,김지원,2025-12-19 07:01:52,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,너무 좋아요.발음도 정확하고 짧게 배울수 있게 살계되여 있어 편리해요.,5,Enhee Kim,2025-12-17 21:33:49,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,좋은 습관 만들고있어요,5,금치,2025-12-16 14:22:42,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,쌈뽕해여...? (아빠 테블릿 뺐어서 하기 힣힣힣힣힣힣),5,임태진,2025-12-14 20:22:18,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,굳,5,youngku kim,2025-12-13 16:44:46,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,Ai 튜터에서 다른앱처럼 핸즈프리 기능 추가해주세요. 3초 정도 대답없으면 순서 넘어가도록 하면 좋을것 같아요.,3,Kyle,2025-12-11 22:31:37,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,영어공부에 많은 도움이되고있어요,5,장재범,2025-12-09 22:11:06,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,와이씨 매번 켤때마다 알림 켜는 팝업 뜨네... 실수로 터치 해서 계속 알림 켜고.. 또 일일히 하나하나 알림 끄고... 돌아버리겠네....적당히 좀 합시다....,1,song j,2025-12-08 22:29:23,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,굿 ㅎ,5,수다리,2025-12-08 14:14:33,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,좋네요,5,hoony,2025-12-08 08:53:21,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,좋아요,5,바른샘물,2025-12-07 18:52:08,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,자동결제됨 환불요망,1,마장원,2025-12-05 20:13:41,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,좋네요,5,Jinkyu Jo,2025-12-02 18:29:20,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,굿,5,방재형,2025-12-01 22:23:28,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,?... 이건 좀.....,1,편집용,2025-12-01 14:43:30,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
,덕분에 ㅡ,4,김인수,2025-11-30 09:57:16,https://play.google.com/store/apps/details?id=me.mycake,cake,review,playstore,케이크,2026-01-18T14:34:38.745329
