title,url,search_keyword,company,source_type,source_platform,content,collected_at
당근영어 후기,https://www.teamblind.com/kr/post/%EB%8B%B9%EA%B7%BC%EC%98%81%EC%96%B4-%ED%9B%84%EA%B8%B0-EWjOE4OA,당근영어,carrot,community,blind,,2026-01-18T14:07:20.771983
당근영어 vs 유폰,https://www.teamblind.com/kr/post/%EB%8B%B9%EA%B7%BC%EC%98%81%EC%96%B4-vs-%EC%9C%A0%ED%8F%B0-0Q6dBb5E,당근영어,carrot,community,blind,,2026-01-18T14:07:20.772016
당근영어..?,https://www.teamblind.com/kr/post/%EB%8B%B9%EA%B7%BC%EC%98%81%EC%96%B4-qFxawGSS,당근영어,carrot,community,blind,,2026-01-18T14:07:20.772034
당근 영어회화 모임,https://www.teamblind.com/kr/post/%EB%8B%B9%EA%B7%BC-%EC%98%81%EC%96%B4%ED%9A%8C%ED%99%94-%EB%AA%A8%EC%9E%84-xeT5jhRc,당근영어,carrot,community,blind,,2026-01-18T14:07:20.772051
투표글스피쿠스 vs 당근영어투표,https://www.teamblind.com/kr/post/%EC%8A%A4%ED%94%BC%EC%BF%A0%EC%8A%A4-vs-%EB%8B%B9%EA%B7%BC%EC%98%81%EC%96%B4-zsnyZ14p,당근영어,carrot,community,blind,,2026-01-18T14:07:20.772071
민병철유폰,https://www.teamblind.com/kr/post/%EB%AF%BC%EB%B3%91%EC%B2%A0%EC%9C%A0%ED%8F%B0-77J0gLrF,민병철유폰,carrot,community,blind,,2026-01-18T14:07:24.011728
민병철유폰,https://www.teamblind.com/kr/post/%EB%AF%BC%EB%B3%91%EC%B2%A0%EC%9C%A0%ED%8F%B0-6xHDnf0m,민병철유폰,carrot,community,blind,,2026-01-18T14:07:24.011828
민병철유폰,https://www.teamblind.com/kr/post/%EB%AF%BC%EB%B3%91%EC%B2%A0%EC%9C%A0%ED%8F%B0-6eX1xtAq,민병철유폰,carrot,community,blind,,2026-01-18T14:07:24.011849
비즈니스 영어 민병철유폰 vs 잉그올,https://www.teamblind.com/kr/post/%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4-%EC%98%81%EC%96%B4-%EB%AF%BC%EB%B3%91%EC%B2%A0%EC%9C%A0%ED%8F%B0-vs-%EC%9E%89%EA%B7%B8%EC%98%AC-Jgh2uWvY,민병철유폰,carrot,community,blind,,2026-01-18T14:07:24.011869
투표글한달에 10만원 내외로 영어공부 하려는데 스픽이랑 민병철유폰 중에 뭐가 더 나을까요?투표,https://www.teamblind.com/kr/post/%ED%95%9C%EB%8B%AC%EC%97%90-10%EB%A7%8C%EC%9B%90-%EB%82%B4%EC%99%B8%EB%A1%9C-%EC%98%81%EC%96%B4%EA%B3%B5%EB%B6%80-%ED%95%98%EB%A0%A4%EB%8A%94%EB%8D%B0-%EC%8A%A4%ED%94%BD%EC%9D%B4%EB%9E%91-%EB%AF%BC%EB%B3%91%EC%B2%A0%EC%9C%A0%ED%8F%B0-%EC%A4%91%EC%97%90-%EB%AD%90%EA%B0%80-%EB%8D%94-%EB%82%98%EC%9D%84%EA%B9%8C%EC%9A%94-0UuP3tSb,민병철유폰,carrot,community,blind,,2026-01-18T14:07:24.012579
민병철 전화영어,https://www.teamblind.com/kr/post/%EB%AF%BC%EB%B3%91%EC%B2%A0-%EC%A0%84%ED%99%94%EC%98%81%EC%96%B4-Uyf01ZYq,민병철 전화영어,carrot,community,blind,,2026-01-18T14:07:27.219506
전화영어 추천좀(민병철 제외),https://www.teamblind.com/kr/post/%EC%A0%84%ED%99%94%EC%98%81%EC%96%B4-%EC%B6%94%EC%B2%9C%EC%A2%80%EB%AF%BC%EB%B3%91%EC%B2%A0-%EC%A0%9C%EC%99%B8-1SkVA4qJ,민병철 전화영어,carrot,community,blind,,2026-01-18T14:07:27.219538
민병철 전화영어 질문,https://www.teamblind.com/kr/post/%EB%AF%BC%EB%B3%91%EC%B2%A0-%EC%A0%84%ED%99%94%EC%98%81%EC%96%B4-%EC%A7%88%EB%AC%B8-TPvxoAvM,민병철 전화영어,carrot,community,blind,,2026-01-18T14:07:27.219555
민병철 유폰 전화영어 해본 사람?,https://www.teamblind.com/kr/post/%EB%AF%BC%EB%B3%91%EC%B2%A0-%EC%9C%A0%ED%8F%B0-%EC%A0%84%ED%99%94%EC%98%81%EC%96%B4-%ED%95%B4%EB%B3%B8-%EC%82%AC%EB%9E%8C-UbTMFQzC,민병철 전화영어,carrot,community,blind,,2026-01-18T14:07:27.219572
민병철 전화영어(유폰) 해보신 분!!!,https://www.teamblind.com/kr/post/%EB%AF%BC%EB%B3%91%EC%B2%A0-%EC%A0%84%ED%99%94%EC%98%81%EC%96%B4%EC%9C%A0%ED%8F%B0-%ED%95%B4%EB%B3%B4%EC%8B%A0-%EB%B6%84-sPt5Hn12,민병철 전화영어,carrot,community,blind,,2026-01-18T14:07:27.219588
