title,text,rating,author,date,company,source_type,source_platform,search_keyword,url,collected_at
겁먹지 마세요,"일단 강사님들이 너무 친절하고, 말도 안되는 영어도 잘 들어줘요. 수업외의 이야기도 할 수 있어서 좋아요.",5,oosda,2026-01-12T03:21:25-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
유폰 리뷰,"유폰 정말 만족합니다!
영어를 읽고 듣는 건 어느 정도 됐는데 말하기가 항상 약했거든요.
유폰 하면서 1:1로 계속 말하게 되니까 확실히 말하는 자신감이 많이 늘었어요.
강사분들이 발음이랑 표현을 바로바로 고쳐주셔서 실전",5,투터ㅓ,2025-12-27T02:04:18-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
똑똑한 유폰 GPT,세상 똑똑한 유폰 GPT 덕분에 한층 더 심화된 영어 공부를 할 수 있어요! 작문에 자신이 없었는데도 GPT가 바로 수정 & 쉬운 설명으로 이해가 쏙쏙되고 부담 없이 도전할 수 있어요 👍,5,뿌잉:D,2025-12-23T03:40:10-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
주말 수업 만들어주세요,몇년째 이용중입니다. 선생님을 잘 만나야 하지만 친절한 분이 많아서 좋아요. 다만 직장과 대학원을 병행하다 보니 평일에 시간이 안나서 보충 쿠폰만 쌓이고 있네요. 쿠폰을 더 차감하더라도 주말 수업이 생기면 좋겠어요.,5,Zzz허로오모,2025-12-04T06:00:49-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
자유로운 수업 시간,영어를 포기하지 않고 꾸준히 할 수 있어요.,5,쿠니는,2025-12-02T22:02:19-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
다양한 커리큘럼,"몇년째 꾸준히 수업 하고 있습니다. 수업 커리큘럼이 다양하게 있어, 내 수준에 따라 선택 할 수 있습니다.",5,나는페스츄리,2025-11-27T20:30:16-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
최고의 전화영어 수업!❤️,"유폰 수업은 언제나 최고! 기대뿜뿜✨
- 체계적인 교재를 통해 매일 예습
- gpt를 통해서 단어, 문장을 따라하며
- 발음도 교정할 수 있어서 좋아요!
- 작믄 연습을 통해 첨삭도 받을 수 있어요!✌️
- 꼼꼼하고 친절한 선생님❤️",5,파나시아,2025-11-23T19:58:31-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
복습할 때 추천,수업이 체계적이에요. 특히 수업 종료 2분 전 배운 문장을 다시 복습하고 마무리해서 좋아요,5,WonheeSeo,2025-11-23T19:45:39-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
유폰을 통한 기쁨,유폰을 통해 더디지만 주기적으로 대화하는 훈련을 해나가면서 외국인과 완전한 문장으로 소통해나갈 수 있다는 기쁨을 느낄 수 있습니다. 이런 희망과 기쁨이 배움의 원동력이 됩니다.,5,당근옹옹,2025-11-14T06:52:18-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
ㅇㅇ,전에도 전화영어를 한 적이 있는데 항상 체계적이지 않아 할 때마다 실망스러웠는데 민병철 유폰은 예습도 복습도 체계적으로 할 수 잇어 너무 좋습니다.,5,남길은,2025-11-13T20:09:22-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
수업,"쉽게 잘 설명해주시고
자신감있게 말할수 있도록 치얼업 해주셨습니다
감사합니다",5,Hoyanging,2025-11-12T19:18:34-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
채팅 상담들어가면 앱이 자동종료 ㅜ,수정해주세요ㅜㅠ,5,온리원오브미,2025-11-11T04:42:50-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
심각한 버그,"장문의 영어문장을 요약하는 패턴에서 인풋창에 요약내용을 쓰다가 지문쪽 화면을 좌우로 스와이프하면 인풋창이 닫히면서 작성하던 내용이 전부 사라지는 버그가 있는데,

이 앱을 사용하는 반년동안 꾸준히 수업 리뷰에 써놔도 고치질 않네요",1,하라아ㅏ라가아,2025-11-07T02:19:46-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
리뷰,처음해봤는데 외국 나가기 전에 입트이게 하기 정말 좋아요! 강사님도 바로 교정해주셔서 느는느낌이에오,4,체리레몬콜라,2025-11-04T17:07:50-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
추천드립니다,"매번 수강을 신청해서 듣고 있는데 교육 컬리큐럼, 시스템이 잘되어 잇어 실력 향살시키는데 큰 도움이 되고 있습니다",5,ㅃ머벼,2025-10-26T22:16:31-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
좋아요,강사님이랑 재밌게 수다 떠는 느낌이었어요. 제가 무슨 말을 해도 다 찰떡 같이 알아들으시고 추가질문을 통해 영어답변을 잘 이끌어주셨던 것 같아요. 덕분에 웃으면서 수업해서 긴장도 덜 되었어요.,5,까치까치설날은내일,2025-10-24T08:02:49-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
스케쥴정하기와 변경 및 취소를 편하게 이용해요,바쁠때나 시간이 생겼을때 일정을 정하기 편햐요. 강사님 모두 지적이고 매우 열정적이고 또한 친절해요,5,닐리리맘보맘,2025-10-21T17:04:03-07:00,carrot,review,appstore,민병철유폰,https://apps.apple.com/kr/app/id1507100534,2026-01-18T14:39:55.941442
