title,url,search_keyword,company,source_type,source_platform,content,collected_at
혹시 해커스 토익강사 연봉 중위값 아는 사람?,https://www.teamblind.com/kr/post/%ED%98%B9%EC%8B%9C-%ED%95%B4%EC%BB%A4%EC%8A%A4-%ED%86%A0%EC%9D%B5%EA%B0%95%EC%82%AC-%EC%97%B0%EB%B4%89-%EC%A4%91%EC%9C%84%EA%B0%92-%EC%95%84%EB%8A%94-%EC%82%AC%EB%9E%8C-s6xact56,해커스토익,hackers,community,blind,,2026-01-18T14:06:49.893885
해커스토익 인강 같이 들으실분(강좌변경),https://www.teamblind.com/kr/post/%ED%95%B4%EC%BB%A4%EC%8A%A4%ED%86%A0%EC%9D%B5-%EC%9D%B8%EA%B0%95-%EA%B0%99%EC%9D%B4-%EB%93%A4%EC%9C%BC%EC%8B%A4%EB%B6%84%EA%B0%95%EC%A2%8C%EB%B3%80%EA%B2%BD-0xnwzes8,해커스토익,hackers,community,blind,,2026-01-18T14:06:49.893916
토익 할때 해커스현장강의 가서안듣는사람도 많나??,https://www.teamblind.com/kr/post/%ED%86%A0%EC%9D%B5-%ED%95%A0%EB%95%8C-%ED%95%B4%EC%BB%A4%EC%8A%A4%ED%98%84%EC%9E%A5%EA%B0%95%EC%9D%98-%EA%B0%80%EC%84%9C%EC%95%88%EB%93%A3%EB%8A%94%EC%82%AC%EB%9E%8C%EB%8F%84-%EB%A7%8E%EB%82%98-lluqjvvr,해커스토익,hackers,community,blind,,2026-01-18T14:06:49.893939
"해커스 김동영,한승태 실강토익 들어본사람?",https://www.teamblind.com/kr/post/%ED%95%B4%EC%BB%A4%EC%8A%A4-%EA%B9%80%EB%8F%99%EC%98%81%ED%95%9C%EC%8A%B9%ED%83%9C-%EC%8B%A4%EA%B0%95%ED%86%A0%EC%9D%B5-%EB%93%A4%EC%96%B4%EB%B3%B8%EC%82%AC%EB%9E%8C-pbk1c45b,해커스토익,hackers,community,blind,,2026-01-18T14:06:49.893956
혹시 해커스 토익강사 연봉 중위값 아는 사람 있을까?,https://www.teamblind.com/kr/post/%ED%98%B9%EC%8B%9C-%ED%95%B4%EC%BB%A4%EC%8A%A4-%ED%86%A0%EC%9D%B5%EA%B0%95%EC%82%AC-%EC%97%B0%EB%B4%89-%EC%A4%91%EC%9C%84%EA%B0%92-%EC%95%84%EB%8A%94-%EC%82%AC%EB%9E%8C-%EC%9E%88%EC%9D%84%EA%B9%8C-oufq0mtj,해커스토익,hackers,community,blind,,2026-01-18T14:06:49.893973
"해커스, 파고다, YBM 토익, 토플 강사 연봉 얼마야??",https://www.teamblind.com/kr/post/%ED%95%B4%EC%BB%A4%EC%8A%A4-%ED%8C%8C%EA%B3%A0%EB%8B%A4-YBM-%ED%86%A0%EC%9D%B5-%ED%86%A0%ED%94%8C-%EA%B0%95%EC%82%AC-%EC%97%B0%EB%B4%89-%EC%96%BC%EB%A7%88%EC%95%BC-QOP4A0cE,파고다토익,hackers,community,blind,,2026-01-18T14:06:52.542921
부산 경성대부경대 파고다토익 강의 들어보신분 계심?,https://www.teamblind.com/kr/post/%EB%B6%80%EC%82%B0-%EA%B2%BD%EC%84%B1%EB%8C%80%EB%B6%80%EA%B2%BD%EB%8C%80-%ED%8C%8C%EA%B3%A0%EB%8B%A4%ED%86%A0%EC%9D%B5-%EA%B0%95%EC%9D%98-%EB%93%A4%EC%96%B4%EB%B3%B4%EC%8B%A0%EB%B6%84-%EA%B3%84%EC%8B%AC-RgMwD1gx,파고다토익,hackers,community,blind,,2026-01-18T14:06:52.542948
라떼는 토익은 종로 파고다였는데 요즘도 유효해?,https://www.teamblind.com/kr/post/%EB%9D%BC%EB%96%BC%EB%8A%94-%ED%86%A0%EC%9D%B5%EC%9D%80-%EC%A2%85%EB%A1%9C-%ED%8C%8C%EA%B3%A0%EB%8B%A4%EC%98%80%EB%8A%94%EB%8D%B0-%EC%9A%94%EC%A6%98%EB%8F%84-%EC%9C%A0%ED%9A%A8%ED%95%B4-mekaLmyF,파고다토익,hackers,community,blind,,2026-01-18T14:06:52.542965
파고다 토익스피킹 인강 환급반 같이 도전 할 분?,https://www.teamblind.com/kr/post/%ED%8C%8C%EA%B3%A0%EB%8B%A4-%ED%86%A0%EC%9D%B5%EC%8A%A4%ED%94%BC%ED%82%B9-%EC%9D%B8%EA%B0%95-%ED%99%98%EA%B8%89%EB%B0%98-%EA%B0%99%EC%9D%B4-%EB%8F%84%EC%A0%84-%ED%95%A0-%EB%B6%84-w4ruvGSj,파고다토익,hackers,community,blind,,2026-01-18T14:06:52.542982
여의도 파고다 어학원 토익 어때요?,https://www.teamblind.com/kr/post/%EC%97%AC%EC%9D%98%EB%8F%84-%ED%8C%8C%EA%B3%A0%EB%8B%A4-%EC%96%B4%ED%95%99%EC%9B%90-%ED%86%A0%EC%9D%B5-%EC%96%B4%EB%95%8C%EC%9A%94-GGFVtPMy,파고다토익,hackers,community,blind,,2026-01-18T14:06:52.542999
