title,url,date,platform,company,source_type,search_keyword,collected_at,text
직장 다니면서 공부하는게 생각보다 많이 어렵습니다.,https://www.clien.net/service/board/park/18803821?combine=true&q=%ED%95%B4%EC%BB%A4%EC%8A%A4%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,hackers,community,hackers,2026-01-18T15:04:43.286947,"두 달전 해커스에서 환급반 과정으로 결제할 때까지만 해도 공부도 하고 환급도 받고 개이득!!!이라고 자신하고 있었는데..
퇴근하고 집에와서 매일 한시간 공부하는게 생각보다도 훨씬 어렵습니다.
그간 제대로 못들은 것 반성하며 선풍기 켜놓고 추석 때 몰아서 듣기 시작합니다.
시험은 내년 7월인데 이전 두 달동안 공부한 것 생각하면 합격할 수 있을지 걱정이 됩니다. ㅋㅋ
명절 잘 보내시기 바랍니다."
요즘 출판계 어렵다는데 학원도 그런가요?,https://www.clien.net/service/board/kin/18633711?combine=true&q=%ED%95%B4%EC%BB%A4%EC%8A%A4%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,hackers,community,hackers,2026-01-18T15:04:43.286947,"‌최근 영어 교재 연구/개발 취업에 관심이 생겼는데

출판계는 상황이 어렵다는데

영어학원도 그런가요?

해커스, 정상어학원, 아발론 이런 큰 학원 프랜차이즈에는 자체 교재 개발하는 직원이 있다고 들었는데

이 쪽은 엄밀히 말하면 출판계가 아니라 학원이잖아요? 학원의 교재 연구 쪽도 어렵나요?"
영어 문장 암기 도우미 구글 스프레드 시트 버전,https://www.clien.net/service/board/pds/18570277?combine=true&q=%ED%95%B4%EC%BB%A4%EC%8A%A4%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,hackers,community,hackers,2026-01-18T15:04:43.286947,"<2025-11-16 메모>
하단 포스팅의 구글시트를 수정, 보완한 버전을 아래 포스팅에서 만나보실 수 있습니다.
◾ 실전영어 독학 팁 + 구글시트: 기존 버전에 F5 랜덤 복습 시트 추가

<하단 포스팅>
예전에 '심플 일본어 문장 암기 도우미 엑셀(No 매크로)' 포스팅을 올렸었는데, 지인이 '문장 수집 & 학습' 용도라면 엑셀보다는 접근성이 뛰어난 구글스프레드 시트가 더 적합할 것 같다고 해서 예전 엑셀을 약간 수정, 보완하여 구글 스프레드 시트 버전을 만들어 보았습니다. 
<스샷>

<구글 스프레드시트 링크 >  https://docs.google.com/spreadsheets/d/1KMRPKdVve5zjRzA2sW9mjLWaMWeccAVsq9EY5LhraNQ/edit?usp=sharing 

위 시트에 사용방법도 포함되어 있는데, 보다 친절한 설명 원하시는 분들은 아래 내용 참조하시기 바랍니다.
--------
* 위 파일은 링크만 있으면 누구나 열 수 있지만, 자신의 문장을 입력하고 자유롭게 이용하기 위해서는 사본을 자신의 드라이브에 저장한 후 사용하셔야 합니다. (PC에서 연 경우, 상단 메뉴 [파일] > [사본 만들기] 클릭)

*  참고로, 모바일 기기에서 구글 스프레드시트를 자유롭게 사용하기 위해서는 Google 스프레드시트 앱이 있어야 하는데, 모바일에서는 열람 정도를 하시고 편집은 가능하면 PC를 이용하시기 바랍니다. 

* 문장 모으는 법
각자가 필요하거나 관심 있는 문장을 자유롭게 모을 수 있습니다. 학생이라면 각 문법 사항에 대한 대표 예문(예, 현재진행형: We're having dinner now. Can I call you later?)을 모을 수 있고, 실용영어에 관심 있는 성인이라면 유튜브, 영화, 미드, 뉴스 등에서 자유롭게 관심 문장을 모을 수 있습니다. 해외 여행을 준비하시는 분은 여행 영어 문장(예, Can you recommend a good restaurant nearby?)을, 무역업에 종사하시는 분은 무역 영어 문장(예, We would like to place an order for 100 units of your model #A123.)을 모으실 수 있습니다.

문장 모으는 게 귀찮으신 분들은 ChatGPT에게 관심사를 말하고 문장을 추천해달라고 한 후 그중에서 고르실 수도 있습니다. ^^ 아래와 같이 있어 보이는 Prompt를 써도 되지만 그냥 '야, 나 해외여행 갈 건데 여행 가서 써먹을 수 있는 영어 문장 10개 추천해줘.'와 같이 요청하셔도 됩니다.
I'm planning a trip overseas and would like to be prepared. Could you suggest 10 common and practical English sentences that I might find useful during my travels? 

* [알아요: 1, 보류: 2] 열
학습자에게 선택권이 주어지면 보다 자기주도적인 학습이 가능합니다. 학습 후 충분히 익숙해진 문장에는 1(알아요)을 너무 어렵거나 관심 없는 문장은 2(보류)를 입력할 수 있습니다. 1이 입력되면 오른쪽에 있는 문장 및 해석은 녹색으로 하이라이트되고 2가 입력되면 회색으로 칠해집니다. 문장 암기를 목표로 삼으시는 분은 해석을 보고 문장을 말할 수 있으면 1을 입력합니다. 
[알아요] or [보류] 문장만 보고 싶은 경우 열 제목에 있는 필터(역삼각형 아이콘)를 이용합니다. 알아요, 분류 외에 더 많은 항목을 넣고 싶은 경우, [서식] > [조건부 서식]에 들어가 조건을 수정, 추가할 수 있습니다.

* [구글 자동 번역]열
[자동 번역]열에는 구글 번역 함수가 적용되어 있습니다. 일본어 문장을 모으는 경우 자동번역 함수에서 en 대신에 ja를 넣습니다. (중국어 zh, 프랑스어 fr, 독어 de, 스페인어 es, 러시아어 ru) 
=GOOGLETRANSLATE(D2,""en"",""ko"")
구글 자동 번역이 마음에 들지 않으면 파파고나 DeepL에서 번역된 내용을 복사해서 가져오시기 바랍니다. (아래 댓글에서 어떤 분이 구글 자동 번역이 틀렸다고 지적하셨는데, 네, 자동 번역은 틀릴 수 있습니다. ^^ 번역 품질만 놓고 보면, 구글 번역보다는 파파고가, 파파고보다는 DeepL이 괜찮습니다.)

* [텍스트 반복  횟수: n]? [TTS용 텍스트 (n번 반복)]
텍스트 반복 횟수(n)를 입력하면(2번 듣고 싶으면 2, 3번 듣고 싶으면 3), [TTS용 텍스트]에 n번 반복된 텍스트가 나타납니다. 이 열을 복사하여 TTS 사이트로 이동한 후 붙여넣기 하고, 해당 사이트의 지시에 따라 소리를 재생합니다. 파파고의 경우 좌측하단에 있는 스피커 아이콘을 누르면 소리가 재생됩니다.

요즘은 TTS에도 AI 기술이 적용되어 정말 Top TTS의 경우 사람인지 기계인지 구분을 거의 할 수 없습니다. 경제적으로 여유가 있으신 분들은 무료 TTS 대신 유료 TTS 사용해보실 수 있습니다. 몇 개 추천합니다. 소리 들어보시기 바랍니다. 정말 성우라는 직업은 미래가 불투명한 것 같습니다.
https://play.ht/ (고객사 중에 현대자동차도 보이네요. 재생 버튼 눌렀을 때 나오는 소리 진짜 사람 아닙니다.)
https://elevenlabs.io/ (우리나라 유튜버들이 가장 선호하는 ai TTS입니다.)
https://lovo.ai/ (산타클로스 소리 한번 들어보시기 바랍니다.)
https://www.naturalreaders.com/online/ (원래 전통의 강자인데, 솔직히 위에 있는 업체들보다 딱히 더 나아보이지는 않습니다.)
--------
구글 스프레드시트에 막연한 두려움이 있는 분들을 위해 엑셀 버전도 첨부합니다. 다만, 이번 기회에 용기내어 구글 스프레드시트도 사용해보시기 바랍니다. 엑셀 버전에는 [구글 자동 번역]열이 빠져 있습니다. 사실, 엑셀에서도 구글 번역 함수를 사용할 수 있는 방법은 있는데 좀 복잡합니다. 관심 있는 분들은 아래 오빠두 엑셀 영상 참조하시기 바랍니다. 

---------
<2월 5일 오후 9시6분 작성>
PS 1. 아래 댓글에서 몇 분이 언급해주셨는데, Quizlet, Anki, 워드톡 등 구글에서 Flashcard app으로 검색하면 많은 좋은 앱들이 뜹니다. 기회되시면 한두 개는 꼭 사용해보시기 바랍니다. 사실 제가 개발한 단어, 문장앱도 있습니다. 다만, 엑셀, 구글 스프레드시트 등은 앱에 비해 접근성이 뛰어나고, 학습자가 원하면 입맛대로 수정할 수 있고, 회원가입 등의 절차도 없어 나름 장점이 있는 것 같습니다. 특히, 문장을 이삭 줍듯이 하나하나 모을 때, 인터넷에서 찾은 문장 리스트를 copy & paste로 가져올 때 좋습니다.

PS 2.
TTS 중에는 mp3로 다운로드 기능을 제공하는 곳들도 있습니다. 스프레드시트 내에도 나와 있는데, 무료 중에서는 ttsmaker.com 이 이 기능을 제공하고 소리도 나름 괜찮습니다. 유료TTS는 대부분 mp3로 다운로드 받을 수 있습니다. 아시겠지만, mp3는 출퇴근 시간에 자유롭게 들을 수 있어 화면을 봐야하는 앱보다 나름 장점이 있습니다.

파파고에서 mp3 파일 추출하는 방법은 아래 영상 참고하시기 바랍니다. 아래 방법은 꼭 파파고가 아니어도 다른 사이트에도 적용할 수 있습니다. 물론, TTS 재생해놓고 곰녹음기 등으로 녹음해서 mp3를 얻을 수 있는데, 녹음 후 앞뒤 잘라야 하고, 아무래도 원본보다는 음질이 떨어져서 아래 방법 추천합니다.

PS 3. 
엑셀 및 스프레드시트에서도 셀을 클릭하면 셀 내용을 TTS가 읽게 할 수 있는 기능을 제공하는데, 아직은 TTS 품질이 너무 떨어지고, 절차도 번거로운 면이 있습니다. 관심 있는 분들은 구글에서 '엑셀에서 TTS 사용하기', '구글 스프레드시트에서 TTS 사용하기'로 검색해보시기 바랍니다.

<2025-10-07 메모>
실용영어 관심 있는 분들은 아래 포스팅 참조하시기 바랍니다.
◾ 베이직 그래머 인 유즈 공부법 총정리 — MP3, 유튜브, 쉐도잉, 필사, EI 등
출처 :
https://blog.naver.com/walire/223344374835
첨부파일 :
영어문장암기_도우미_스샘(240205).zip"
오픽 시나리오 짜고 있습니다..,https://www.clien.net/service/board/park/18227770?combine=true&q=%ED%95%B4%EC%BB%A4%EC%8A%A4%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,hackers,community,hackers,2026-01-18T15:04:43.286947,"한달뒤에 오픽 시험이 있습니다.

해커스 강의 하나 다 들었구요.
음..
시험을 지금까지 파악한 바로는 영어로 말하기 무척 중요하죠.
그런데 이걸 먼저 한국어로 전달력있게 말할 수 있어야겠더군요.

팬시한 표현이나 현지인들이 쓰는 표현은 부가적인거고..
중요한건 40분 내내 쉬지 않고( 소위 마가 안뜨고) 떠들만한 컨텐츠 확보이더군요.

일단 내일 오전까지 시나리오 완성해서....
챗GPT에다가 번역을 시켜볼까합니다?
음..AI와 결합한 시험 공부방식이라 나름 기대됩니다???"
"‘3,4,1,2’ 토익 시험장 화장실서 발견된 쪽지…답안지였다",https://www.clien.net/service/board/park/18223849?combine=true&q=%ED%95%B4%EC%BB%A4%EC%8A%A4%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,hackers,community,hackers,2026-01-18T15:04:43.286947,"경찰에 따르면, A씨는 2021년 7월부터 2022년 10월까지 사회관계망서비스(SNS)를 통해 토익과 텝스(TEPS) 등 영어시험 고득점을 원하는 의뢰자를 모집한 뒤 23회에 걸쳐 건당 300만에서 500만원의 수수료를 받고 답안을 건넨 혐의를 받는다.
A씨는 듣기평가가 끝난 뒤 읽기평가 시간에 화장실을 다녀올 수 있다는 점을 이용했던 것으로 경찰은 파악했다.

A씨는 의뢰자와 함께 시험에 응시하고 빠르게 문제를 푼 후, 화장실 이용 시간에 미리 숨겨둔 휴대전화로 답안을 전송한 것으로 조사됐다.
휴대전화는 화장실 변기나 라디에이터에 각자 미리 숨겨뒀다. 같은 고사장에서 시험을 칠 경우에는 화장실에 답안 쪽지를 숨겨 정답을 알려주기도 했다.
미국에서 대학을 졸업한 A씨는 국내 유명 어학원에서 일하다가 퇴직한 뒤 도박 자금과 생활비를 벌기 위해 범행을 시작했다. 주로 자신이 등장하는 어학원 동영상과 강의자료 등을 내세워 의뢰인을 모았다.

https://v.daum.net/v/20230803145003157

고전적인 방법이죠"
유학을 2년동안 준비했는데 요즘 불안합니다,https://www.clien.net/service/board/park/17854838?combine=true&q=%ED%95%B4%EC%BB%A4%EC%8A%A4%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,hackers,community,hackers,2026-01-18T15:04:43.286947,"안녕하세요
이런 글은 처음인데 어딘가에 털어놓고 싶어서 적어봅니다

30대 중반에 제 분야와 동떨어진 곳으로 석사 유학을 준비 중입니다
전문대 전자과 졸업 후 4년제 재료공학과로 편입하여 졸업 후,
현재의 회사에 소프트웨어 개발자로 만 10년을 근무했습니다
하고 싶은 공부는 커뮤니케이션 디자인입니다
뒤죽박죽이죠

직장생활 열심히 하며 퇴근 후 시간과 주말에 학원 다니며 준비했습니다
2월이면 제가 목표로 했던 학교들의 접수가 마감됩니다
미대다 보니 포트폴리오 준비하느라 2년이라는 시간이 투입됐어요
그래도 다행히 아이엘츠는 한번의 시험으로 최소 요건을 만족했습니다
2년동안 포트폴리오만 열심히 준비하면 될 줄 알았습니다
12월 부로 포트폴리오에 넣을 작업은 모두 끝냈고
사진 촬영과 레이아웃 구성도 거의 마쳤습니다

이제 끝인가 싶었는데
연구 제안서(research proposal), Statement, Application Brief, Video 등등....
추가로 요구하는 것들이 아직도 꽤 많고 가이드라인이 디테일하네요
여기서 요즘 좌절을 하고 있습니다
자신이 없어지고, 과연 잘 준비할 수 있을지 두렵더라구요
그동안 투입한 시간과 돈, 열정 후회는 없지만
합격을 할 수 있을지, 남은 한달 마무리 잘 할 수 있을지...
뭔가 불안감에 자꾸 자신감을 잃고 있네요

응원 부탁드립니다....
읽어주셔서 감사합니다"
(펌)인강 한국사 1타강사 yo,https://www.clien.net/service/board/park/17238762?combine=true&q=%ED%95%B4%EC%BB%A4%EC%8A%A4%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,hackers,community,hackers,2026-01-18T15:04:43.286947,"무신 내용잉지능 모르겠지만

암튼 상당히 알차고 풍만한

아니 풍성한 강의였읍니다

그르타구연 

ㄷㄷㄷㄷㄷ"
생각보다 괜찮은 산타토익 앱 후기 (직장인 토익공부 앱 추천),https://www.clien.net/service/board/use/17086659?combine=true&q=%ED%95%B4%EC%BB%A4%EC%8A%A4%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,hackers,community,hackers,2026-01-18T15:04:43.286947,"각 잡고 토익 공부하시는 취준생, 수험생들을 제외하고 직장인분들 중에 캐주얼하게 영어공부 혹은 출퇴근시 좀 더 건설적으로 인생을 설계하기 위한 추천앱입니다.

예전부터 종이에다가 OMR마킹하고 또 답안지 찾아 체크하고 하는 행위를 극도록 싫어했던터라, 비슷한 유형의 앱들을 많이 찾아봤지만 결론적으로 산타토익(구 riiid?) 으로 정착을 하게 되었습니다.

광고하기는 무슨 AI기반의 어쩌고 광고를 하는데, 정확도는 딱히 모르겠고 그것보다는 근본적으로 그냥 앱구성이 깔끔하고, 심플하게 문제가 제시되고, 답을 고르면 바로 답안과 해설이 나오게 된다는게 장점입니다. 이게 뭐라고 장점이냐? 라고 하실분이 계실지 모르겠는데, 의외로 많은 앱들이 제시된 모든 문제를 다 풀지않으면 답이 안나오는 앱이 많고, 지저분하고 난잡하게 구성된 앱이 정말정말 많기 때문에...... (도무지 이해가 안감)

전체적인 레이아웃입니다. 심플해서 마음에 듭니다.

직장인이라 취미로 영어공부를 하거나 그냥 현상유지를 위해서 공부를 하시는거면, 각 잡고 모의고사 몇회분을 푼다던지 문제집을 사서 푼다던지 하는 방식보단, 출퇴근 길에 몇분-몇십분 짬을 내어서 공부를 하실텐데, 앱으로 공부하는게 의외로 효과도 좋고 재미도 좋아서 나름 영어 실력을 유지하는데 도움을 많이 받았습니다. 2022년 세운 목표중에 유일하게 조기 목표달성한 토익점수 따기..
실제 문제가 나오는 화면구성인데,  위아래 남은 문제수, 책갈피 등이 자리를 차지하고 빈공간이 많아 스크롤을 많이 해야합니다.
그나마 장점인 멀티디바이스 기능을 이용하여, part 7처럼 지문이 긴 경우는 웹으로 접속하여 태블릿이나 노트북으로 접속해서 풀었습니다. 바꾸어 말하면 모바일 화면 구성이 너무 이상합니다.

가격은 워낙 패키지가 다양해서 어떤 패키지는 여러 조건 맞는 경우 (주로 고득점) 의 경우 돈을 돌려주는 환급패키지가 있기도 한데 이벤트성으로 기간한정이니 한번 본인에게 맞는 패키지를 찾아보시는게 좋을 것 같습니다.

[장점]
추천학습이 있어 하루에 하루분만 풀어서 꾸준히 지속 가능
중간 중간 강의도 있고, 단어도 암기퀴즈도 있고 지루하지 않게 문제를 추천해 줌
AI분석을 통해서 점수를 예측해줌
오답노트 등 있을건 다 있음
멀티 디바이스 기능
너무 빨리 풀면 빨리푼다, 대충 찍지말라 등등 멘트가 찰짐
토익책 사러 서점에 가는 것 자체가 힘든 직장인에게는 이보다 더 쉬울수 없음

[단점]
긴 지문의 경우 화면 구성이 답이 없다 최소 8인치 이상의 태블릿 추천
캐주얼하게 풀기에는 좋으나 만점을 목표로 한다면 다른 방법(모의고사)을 병행하는 것을 추천
뭘 골라도 뭔가 손해보는 듯한 요금구성
고객센터가 좀 불편(카톡만 됨)




딱히 이직을 목표로 하거나, 토익이 필요한 상황은 아니었지만.. 그냥 점수를 유지하고 있으면 쓸데가 있을까 싶어서 3개월 동안 매일 출퇴근 30분을 불태운 결과입니다.  소소하지만, 이 앱과 유튜브(영어로 된 콘텐츠 시청)로만 공부해서 얻은 성적입니다.

추가결재하여 부족한 RC를 채울까 아니면 2년뒤에 다시 도전할까 고민이 되는군요.

이상으로 간단한 사용기를 마칩니다"
쿠팡플레이에 해커스 외국어 강좌도 올라 왔더군요...,https://www.clien.net/service/board/park/16321579?combine=true&q=%ED%95%B4%EC%BB%A4%EC%8A%A4%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,hackers,community,hackers,2026-01-18T15:04:43.286947,"쿠팡에 주문한게 있었어...
어플 열었더니 해커즈 강좌 쿠팡플레이 이용자 모두 무료
광고 뜨길래 봤더니 진짜 중국어 영어 등등 외국어 강의가  몇개
올라 왔더군요..."
2021년 3월 넷째주 당원들 영상리스트,https://www.clien.net/service/board/cm_onair/15987907?combine=true&q=%ED%95%B4%EC%BB%A4%EC%8A%A4%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,hackers,community,hackers,2026-01-18T15:04:43.286947,"2021년 3월 넷째주 당원들 영상리스트

아래에 댓글로 본문에 있는 양식에 맞춰 댓글로 영상을 남겨주세요.


/ 댓글 작성양식

----------------------------------------------------------
- 영상링크 :
- 영상제목 :
- 영상 카테고리 : 
- 촬영기종 : 
- 편집프로그램 :
- 영상설명 : 
----------------------------------------------------------"
