title,text,rating,author,date,url,company,source_type,source_platform,search_keyword,collected_at
,"어느날부터 매일 토익LC 음성 안 나오는 게 버그인줄 알았는데, 다른 리뷰 보니 일부러 사이트 들어가게하려는 거였구나... 잘 경청하고 이거 어플 좀 고쳐주이소.",1,최제이크,2025-10-05 08:08:16,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,밤 10시기준 뭔 오류가 났는지 자꾸 접속이 안되고 지웠다 다시깔고 이짓거리를 10번을 반복했네요;; 이런건 좀 빨리빨리 고칩시다 너무 스트레스 받네요;;;;;;;,1,JH YOU,2025-07-24 22:28:52,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,매번 사이트에 들어가게 할거면 앱은 왜 만든거임?,1,정원우,2025-07-07 13:09:51,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,토익 공부하는데 제일 믿음직한 곳입니다!,5,시현,2025-07-03 00:28:57,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,좋아요,5,강동영,2025-05-10 07:30:48,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,갑자기 화면 안떠요. 흰색만 떠서 사용못했습니다.,3,강경민,2025-02-28 20:47:03,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,설치,4,깐깐징어,2025-01-01 07:42:33,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,굿,5,최준범,2024-10-25 08:29:47,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,매일 TOEIC RC 풀기가 많이 도움되고 있어요.,5,오범석,2024-09-05 13:36:46,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,"샐 탭 S6 lite에서 앱 버그가 있다고 하면서, 동작하지 않음. 고쳐주세요.",3,어수일,2024-08-01 17:06:27,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,계 속 에 러 납 니다 I,2,Maxwell Kind,2024-07-30 00:00:49,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,평소 ap 뉴스 받아쓰기를 꾸준히 이용하고 있었는데 앱 업데이트 후 앱에서 해당 항목을 찾아볼수가 없네요,3,khsunny87,2024-07-26 23:03:35,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,정말 좋은 어플입니다ㅎㅎ 추천해요,5,전지현,2024-07-06 12:03:37,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,"매일 오늘RC,LC유용하게 잘쓰고 있습니다. lc재생시 파트별 디렉션 스킵하는 부분 있으면 좋겠습니다.",4,피아노건반,2024-02-18 03:28:24,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,토익 어플 중 베스트 1,5,송준형,2023-09-16 14:38:19,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,조아여!,5,별하늘,2023-09-08 09:15:52,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,ㄱㅂㄹㅂ닙ㄴㄱㄹㅍㄱㅂㄴᆞㄴ,1,도은정,2023-09-05 15:18:37,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
,로그인도 접속 할 때마다 풀리고 맨날 뭔 어플에서 웹으로 연결되고 이럴 거면 어플은 왜 만들었습니까.. 강의는 만족하는데 진짜 접근성 별로네요,1,박승현,2023-07-29 16:29:44,https://play.google.com/store/apps/details?id=com.hackers.app,hackers,review,playstore,해커스,2026-01-18T14:34:40.224349
