title,url,search_keyword,company,source_type,source_platform,content,collected_at
말해보카 진짜 별로다,https://www.teamblind.com/kr/post/%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4-%EC%A7%84%EC%A7%9C-%EB%B3%84%EB%A1%9C%EB%8B%A4-kqxeirzf,말해보카,malhae,community,blind,,2026-01-18T14:06:03.083883
말해보카vs 스픽,https://www.teamblind.com/kr/post/%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4vs-%EC%8A%A4%ED%94%BD-aruaqawd,말해보카,malhae,community,blind,,2026-01-18T14:06:03.083911
"말해보카 1년 해보고, 스픽 2달 비교/답해드림",https://www.teamblind.com/kr/post/%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4-1%EB%85%84-%ED%95%B4%EB%B3%B4%EA%B3%A0-%EC%8A%A4%ED%94%BD-2%EB%8B%AC-%EB%B9%84%EA%B5%90%EB%8B%B5%ED%95%B4%EB%93%9C%EB%A6%BC-lhs76q1w,말해보카,malhae,community,blind,,2026-01-18T14:06:03.083926
말해보카 듀오링고 고민중이었는데 말해보카 광고 땜에 거부감 들었음,https://www.teamblind.com/kr/post/%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4-%EB%93%80%EC%98%A4%EB%A7%81%EA%B3%A0-%EA%B3%A0%EB%AF%BC%EC%A4%91%EC%9D%B4%EC%97%88%EB%8A%94%EB%8D%B0-%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4-%EA%B4%91%EA%B3%A0-%EB%95%9C%EC%97%90-%EA%B1%B0%EB%B6%80%EA%B0%90-%EB%93%A4%EC%97%88%EC%9D%8C-osh30jw5,말해보카,malhae,community,blind,,2026-01-18T14:06:03.083944
스픽 말해보카중 추천좀,https://www.teamblind.com/kr/post/%EC%8A%A4%ED%94%BD-%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4%EC%A4%91-%EC%B6%94%EC%B2%9C%EC%A2%80-bwllrf0c,말해보카,malhae,community,blind,,2026-01-18T14:06:03.083958
"영어공부 방법(지피티, 스픽, 말해보카 등) 추천좀!",https://www.teamblind.com/kr/post/%EC%98%81%EC%96%B4%EA%B3%B5%EB%B6%80-%EB%B0%A9%EB%B2%95%EC%A7%80%ED%94%BC%ED%8B%B0-%EC%8A%A4%ED%94%BD-%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4-%EB%93%B1-%EC%B6%94%EC%B2%9C%EC%A2%80-ozpf4yft,말해보카 영어,malhae,community,blind,,2026-01-18T14:06:06.438021
공부할거 디지게 많네,https://www.teamblind.com/kr/post/%EA%B3%B5%EB%B6%80%ED%95%A0%EA%B1%B0-%EB%94%94%EC%A7%80%EA%B2%8C-%EB%A7%8E%EB%84%A4-0mv2gltr,말해보카 영어,malhae,community,blind,,2026-01-18T14:06:06.438048
말해보카 스픽 영어회화어플,https://www.teamblind.com/kr/post/%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4-%EC%8A%A4%ED%94%BD-%EC%98%81%EC%96%B4%ED%9A%8C%ED%99%94%EC%96%B4%ED%94%8C-6EvCxsnf,말해보카 영어,malhae,community,blind,,2026-01-18T14:06:06.438063
영어회화 공부 어플(말해보카 vs 스픽),https://www.teamblind.com/kr/post/%EC%98%81%EC%96%B4%ED%9A%8C%ED%99%94-%EA%B3%B5%EB%B6%80-%EC%96%B4%ED%94%8C%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4-vs-%EC%8A%A4%ED%94%BD-m7CkBMdi,말해보카 영어,malhae,community,blind,,2026-01-18T14:06:06.438078
영어 초보인데 공부 시작하고 싶습니다!,https://www.teamblind.com/kr/post/%EC%98%81%EC%96%B4-%EC%B4%88%EB%B3%B4%EC%9D%B8%EB%8D%B0-%EA%B3%B5%EB%B6%80-%EC%8B%9C%EC%9E%91%ED%95%98%EA%B3%A0-%EC%8B%B6%EC%8A%B5%EB%8B%88%EB%8B%A4-8K5uUoXj,말해보카 영어,malhae,community,blind,,2026-01-18T14:06:06.438094
