title,url,date,platform,company,source_type,search_keyword,collected_at,text
anki 이거 진짜 효율적이네요,https://www.clien.net/service/board/park/19011362?combine=true&q=%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,malhae,community,malhae,2026-01-18T15:04:43.281492,"어지간한 영단어 암기어플 다 후려치는 암기 속도네요

항상 말해보카 어플로 꾸준히 공부해왔는데

말해보카는 이미 충분히 다 외운걸 자꾸 노출시키고

아직 못 외운 단어 노출빈도는 적어서 애매하다 느꼈는데

anki는 외웠다 싶은건 치워버리고 아직 못 외웠다 싶은건 머리에 들어올 때까지 때려박는군여 ㅋㅋ

UI만 빼고 모든게 완벽한.."
말해보카 환불 (앱 스토어 장기 결재 환불),https://www.clien.net/service/board/kin/18968499?combine=true&q=%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,malhae,community,malhae,2026-01-18T15:04:43.281492,"결재해서 사용한지 3개월 정도 되었는데,
부분 환불? 남은 기간을 환불 처리해서 돌려 받을 수 있나요?

환불 요청을 확인했습니다. 그러나 구매하신 항목이 Google 정책에 부합하지 않습니다. 불편을 끼쳐 드려 죄송합니다.

1년 결재한것에 대하여 환불 처리 해 본적이 처음이라
남은 부분에 대해서 환불 받을수 있을거라 생각해서
구글 플레이 스토어에 환불 신청 했는데,
저런 답변을 받아서 문의 드려 봅니다."
100일 연속 스픽(speak) 앱 사용후기,https://www.clien.net/service/board/use/18888760?combine=true&q=%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,malhae,community,malhae,2026-01-18T15:04:43.281492,"https://blog.naver.com/pilog2017/223712950598
본문 그대로 가져왔지만, 블로그가 가독성은 더 좋습니다! 

먼저 100일 연속 인증부터 갑니다.  

일전에 전화영어와 스픽 비교글 올린 적 있습니다. 

https://blog.naver.com/pilog2017/223507261860
(5년 넘게 전화영어, 화상영어, Chatgpt, 스픽(Speak) 모두 해보고 남기는 장단점 비교)

당시보다 스픽은 에러나는 비율이 확연히 줄어들었고, 점점 더 진화한 것이 느껴집니다. 
예를 들면, 

ex) 배우고 있는 문장을 암기할 때까지 시키고, 특정 부분을 말하지 못하면, 말하지 못한 부분만 바로 스피킹 연습을 자동으로 시켜주는 것

ex) AI와 다양한 대화모드를 만들어 대화를 하고 난 다음, 부족하거나 개선할만한 표현 3가지를 제시해주고 그걸 스피킹 연습까지 한 큐에 진행되는 것

ex) 매일 꾸준하게 할 수 있도록 동기부여 시스템이 잘되어 있는 것
- 불꽃시스템(매일 1개의 수업을 완료해야 불꽃이 꺼지지 않음)의 도입
- 어쩌다 수업을 까먹은 날이 분명 발생할텐데, 그러면 그 다음날 2개의 수업을 들으면 이 불꽃을 유지시켜줍니다(한번 불꽃을 꺼트리면 좌절해서 안하게 되는데, 이런 방식이 100일 연속을 유지하는데 도움)
- 수업, 복습, AI와 대화하기 완료 시 학습 경험치가 쌓이고 이걸 다른 유저와 경쟁하게 만드는 티어 시스템 도입
- 짧은 수업(수업 당 10분 이내)으로 학습량을 잘게잘게 쪼개서 조금 가벼운 마음으로 들을 수 있는 점
- 아름다운 선생님


100일 동안 해본 간단한 소감은

그냥 영어선생님이나 친구와 수다만 떨다보면, 그 주제는 내가 자신있게 말할 수 있는 주제로 한정되기 마련이고, 거기서 사용하는 단어나 어구 등도 굉장히 제한적입니다. 

선생님이 몇번 고쳐주기는 하지만, 내가 한 말을 모두 고쳐줄 수 없기 때문에 그냥 이해가 되면 넘어가곤 합니다 → 내 영어는 교정되지 않습니다. 

여기서는 수업을 통해 실제로 쓰이는 문장을 수백번 입에 붙을 때까지 말하기 때문에 나의 단어와 어구의 사용이 확장됨을 느낍니다. 

정확한 영어 문장을 접하고 수없이 반복합니다 → 내 영어가 교정될 수 있습니다.




100일 동안 겨우 수업 1~2개만 들었지만, 말한 문장은 거진 만개가 되고, 5,920분이나 공부했다고 하네요. 원어민을 만나 당장 이야기할 기회가 많이 없어, 실력이 올라갔음을 크게 체감하지는 못합니다. 다만, 내 표현이 더 풍부해지고 자신감이 더 생긴 건 확실합니다. 

그리고

100일 동안 불꽃을 유지했다고 티셔츠를 선물로 준다고 합니다.
100일 동안 불꽃 유지를 인증하고 포스팅하려 했는데, 포스팅이 더 풍요로워 질 것 같습니다.
(오늘 신청해서 아직 받지는 못했습니다)

스피킹이 영어의 전부는 아니지만, 가장 유용하고 다른 영역에 비해 돋보이는 것도 사실!

스피킹 연습을 위해서는 지금 세상에 나와있는 다양한 학습 툴 중 가장 진보된 방법이 틀림 없다고 생각합니다. 200일 불꽃 유지로 다음 포스팅을 할 수 있었으면 좋겠습니다. 

읽어주셔서 감사합니다. 


같이 보면 좋은 글 
한 선생님과 전화영어 3년째 하는 이야기(1)
https://blog.naver.com/pilog2017/222537110756"
넷플릭스 음원만 다운로드 받을 수 있을까요?,https://www.clien.net/service/board/cm_lang/18793546?combine=true&q=%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,malhae,community,malhae,2026-01-18T15:04:43.281492,"안녕하세요? 
여기 어학당에서 말해보카 파트너로 구독도 해보고, 스픽도 구독해보고, 학원도 다녀보고, 
이것저것 해봤는데 저한테 안맞는지 큰 취미를 못 붙이겠더라고요. 
그동안 공부한 것을 바탕으로 곰곰히 생각하니 영화대본을 자막없이 듣는것이 저한테는 가장 도움이 될 것 같더라고요. 
그러고보니 제가 좋아하는 영화가 무엇인가 생각해보니 어벤저스 같은 히어로물 이었어요. 
아뭏튼 그래서 넷플릭스 어벤저스 또는 디즈니 스파이더맨 대본으로 영어공부를 하고 싶다는 생각이 들었습니다. 
크롬에 자막을 옮겨주는 프로그램은 있는데, 
넷플릭스나 디즈니 음원만 따주는 프로그램은 없는 것 같더라고요. 
그래서 혹시 그런게 있는데 제가 모르고 있을 수도 있어서 질문드립니다. 
혹시 OTA  영상에서 음원만 MP3로 추출할 수 있는 프로그램이 있으면 소개 좀 부탁드릴게요~~ ^^"
당신의 '어휴력'을 시험해보세요,https://www.clien.net/service/board/park/18683297?combine=true&q=%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,malhae,community,malhae,2026-01-18T15:04:43.281492,"https://epop.ai/event/april
말해보카 만우절이벤트 아재개그 영어퀴즈 입니다.
영어공부도 하고 어휴력(!)도 측정하고 일석이조입니다?"
샤오신패드 P12에서 (말해보카) 앱의 마이크 권한 설정이 안되요...,https://www.clien.net/service/board/kin/18430181?combine=true&q=%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,malhae,community,malhae,2026-01-18T15:04:43.281492,"레노버 P12 샤오신패드를 구입했어요. (4GB버전)

구글 플레이 스토어를 설치했고, 구글 플레이 스토어에서 말해보카(ePop) 앱을 설치했습니다. 그런데, 발음 테스트하려고 마이크 버튼 누르면 권한이 없다고 설정에 가서 변경하라고 합니다.

Permission manager에 가서, Audio Recorder 권한을 허용시켜줬는데도 여전히 안되네요. 혹시 이런 문제 해결하신분 계실까요?

태블릿 구입 이유중 하나가 말해보카할때 큰 화면에서 하라는 거였는데, 이거 안되면 태블릿 구입한 의미가 퇴색해서요..."
"(완료)말해보카, 영어학습앱, 4인프리미엄멤버쉽(연간구독) 함께 하실분 찾습니다.",https://www.clien.net/service/board/cm_lang/18361583?combine=true&q=%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,malhae,community,malhae,2026-01-18T15:04:43.281492,"절친과 2인 프리미엄 시작했는데, 초5 아들이 제꺼 해보더니 넘 좋다고 자신도 한다고 해서, 현재 4인 12개월 요금제 가입되어 있습니다.
  2024년 10월 11일 오후 10시 43분까지 프리미엄 함께 하실분 찾습니다. 이미 시작해서 사용하고 있으니 일할 계산해서, 74,000원 정도로 금액 책정하겠습니다. (함께 사용하는 날짜가 줄어들면 일할 계산해서 금액 낮추겠습니다)
  아래 오픈채팅방으로 연락주세요~

https://open.kakao.com/o/sizOSSld"
[마감] 말해보카 연구독 파트너 구해요~,https://www.clien.net/service/board/cm_lang/18110334?combine=true&q=%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,malhae,community,malhae,2026-01-18T15:04:43.281492,"애플스토어에서 말해보카로 영어공부를 할까 하는데, 연 구독 파트너를 구합니다. 
2인 플랜이 149,000₩ 니까 1인 74,500₩ 네요. 
우선 이번주까지만 파트너 구매봅니다~
쪽지주시면 감사하겠습니다. 
(제가 실시간으로 쪽지 확인은 못하니 답장은 한두시간 늦게 드릴 수 있어요)
쪽지 수발신 시간은 09:00-21:00 입니다^^
-----------------------------------------------------------------------------------------------------------------------
동참해주신 클리앙 회원님께 깊은 감사의 말씀을 드립니다. 
모두 좋은 결과 있었으면 좋겠습니다 ^^"
ChatGPT를 쓸 때는 유의해야겠네요.,https://www.clien.net/service/board/park/17940978?combine=true&q=%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,malhae,community,malhae,2026-01-18T15:04:43.281492,"그동안 열풍이었지만 뒤늦게 오늘에서야 사용해봤습니다.
제가 요즘 영어공부를 [말해보카]앱을 통해 하고있는데 
(그래봤자 하루 30분 대략 출석이벤트 하는 기분으로 하고 있지만요)
갑자기 사람들이 많이 쓰는지 진짜 효과는 있는건지 궁금해서
물어봤습니다.
그랬더니 말해보카가 일본회사에서 개발한 앱이라는거니다.
첨 듣는 소리에 검색해보니 국내 회사인 
이팝소프트에서 만든 앱이라고 나오는데
정정을 해줘도 계속 일본회사의 번역본이라고 우기네요.
갑자기 든 생각이 잘못된 학습으로 잘못된 정보를 제공한다면
외국 사람들에게 중국이 우기는 동북공정같은걸 그대로 알려줘서
우리나라 문화에 대한 오해가 생기고 그게 굳어지는게 아닐까 그런 걱정도 드네요.
저도 뭔가 의구심을 갖고 다시 검색하지 않았으면 일본회사인줄 알았을 것 같아요.
이런 정보에서는 더블체크가 필요하다는건데....실망이야 챗지피티..."
목표 없는 영어 공부를 취미로 하고 있습니다.,https://www.clien.net/service/board/park/17841100?combine=true&q=%EB%A7%90%ED%95%B4%EB%B3%B4%EC%B9%B4&p=0&sort=recency&boardCd=&isBoard=false,,clien,malhae,community,malhae,2026-01-18T15:04:43.281492,"수능 본 이후로 각 잡고 영어 공부를 해본 적은 없지만, 
어느 날 영어 공부를 하고 싶더라구요. 

배운 게 도둑질이라고 고등학생 때 공부했던 것처럼 문법책부터 폈습니다. 재미가 없지는 않았는데 꾸준하게 하기는 힘들더라구요. Grammer in use 사서 거기 문장 많이 발음해 가면서 공부하면 좋다고 들어서 그렇게도 해봤지만, 잘 안 되더라구요. 그리고 Grammar in use 내용이 그렇게 쉽진 않더라구요. 

그렇게 시간을 허비하다, 듀오링고라는 걸 알게 되었는데, 이거 되게 쉽습니다. 
초등학생이 하면 딱인 수준인 것 같은데 문제는 생각보다 많이 틀리더라구요. 자존심이 상할 정도로요. 
그리고 나름 재밌게 되어 있습니다. 스테이지를 차근차근 깨면 점수도 주고 나름 리그도 있어서 승급하는 재미도 있더라구요. 이런 시스템을 게이미피케이션이라고 부르더라구요. 
사용자에게 게임에서와 같은 성공의 경험을 주어 공부에 연속성을 주는 개념이었습니다. 

집에서 쉴 때 쇼츠 보는 시간을 줄여 하게 되고 담배 피면서도 하고 나름 열심히 했습니다. 
영어와 한국어를 다 깰 때쯤 좀 지루해 지더라구요. 같은 문장이 너무 자주 나오니 재미가 없더라구요. 

케이크라는 앱을 하기 시작했습니다. 듀오링고 결제할 때쯤 같이 결제했던 앱인데, 손이 잘 안가서 안 하게 됐었습니다. 이건 짧은 유투브 영상에 자막을 입히고 주요 문장을 나중에 복습할 수 있게 해놓은 앱입니다. 복습 시스템이 나름 잘 되어 있고, 짧은 강의도 있어서 지루하지 않더라구요. 네이버 사내 벤처로 시작한 앱인 듯 했습니다.

듀오링고와 케이크만 하니 또 지루했습니다. 무슨 앱이 또 유명한가 찾다보니 말해보카 라는 앱이 있더라구요. 
연 결제 금액은 듀오링고와 케이크보다 비싸지만, 2인 파티로 결제하면 싼데 중고나라에 파티원 구한다고 글 올리니 바로 연락 오더라구요. 이건 영어 문장에 주요 단어를 빈칸으로 두고 번역된 한국어 문장을 보고 영어 단어를 맞추는 형식입니다. 중고등학생이 많이 쓰는 앱인 것 같더라구요. 중고나라 글 보고 저한테 연락한 분도 높게 쳐줘야 고등학생인 듯 했습니다. 목소리로 봤을 때도 그랬지만, 돈을 보낼 때 계좌로 보내는 게 아니라 네이버 페이로 보내더라구요. 중고나라에서 그렇게도 가능한지 처음 알았습니다. 대부분의 문장 출처가 중고등학교 영어 교과서이더라구요.

한달 정도 말해보카와 케이크를 열심히 했는데 또 지루해졌습니다. 말해보카는 순위권 안에 머물 수 있도록 열심히 하는데 케이크는 그렇게 잘 안 되더라구요. 건방지긴 하지만, 좀 쉽다 느껴졌습니다. 물론 모르는 생활 영어들이 많지만, 문장들이 먼가 짧은 느낌이랄까요. 어제 공부한 문장 목록에 ""Were you born yesterday?"" 가 있는데 뜻은 ""어떻게 그걸 몰라"" 라더라구요. 긴 문장으로 많이 연습해 보고 싶은데, 그런 부분에서 아쉬워서 또 앱스토어를 뒤져봤습니다. 

테드 영상으로 학습하는 리스닝 드릴이라는 앱이 있더라구요. 앱 UI는 아이폰 4 시절 같았는데 기능은 훌륭하길래, 바로 유료 결제했습니다. 무료 버전도 있는데 광고가 없었음 싶어서 샀습니다. 3천원이더라구요. 그래서 이걸 꾸준히 쓰자 했는데, 슈퍼팬 이라는 앱이 좋아보이더라구요.  

하루에 하나씩 무료로 볼 수 있고 영상 길이가 꽤 길어서 무료로 하루에 하나씩만 하면 충분하겠다 싶어 일주일 정도 쓰다가 그냥 1년 결제했습니다. 이건 아직 많이 안 써봤습니다. 영상은 아주 많더라구요.
영상 대본도 제공해주니 영작하면서 공부하면 리스닝과 라이팅 둘다 도움이 되겠다 싶은 생각이 있지만 아직 실천은 안 해봤습니다.

그외에도 써보고 싶은 영어 앱이 많더라구요. 스픽, 플랭, 레드키위 등, 앱스토어 전전하다 발견한 앱들입니다. 
다 좋아보이더라구요. 지금 쓰고 있는 앱들도 지루해질 타이밍이 올테고, 결제 기한이 끝날 때가 올텐데 아마 언젠가 써보지 않을까 싶습니다.

영어 회화를 잘 하려면 직접 입 밖으로 소리를 내야 한다고 하는데, 아직은 그렇게는 잘 안 되더라구요... 
단어 별로 아는 것도 없고 문장도 잘 안 만들어지고 발음도 구려서 챙피하고... 
케이크 앱에서 따라 말하기 하면 별을 주는데, 그거 따겠다고 하고 있으면 옆에서 와이프가 몰래 웃고 있습니다.

듀오링고로 시작한지 7개월 조금 넘었는데 계산해보니 평균적으로 하루에 2-3시간씩 앱을 이용했더라구요. 
애기가 태어나면서 사용 시간이 오히려 늘었습니다. 
품에 안고 재울 때 한 손은 놀고 있으니, 에어팟 한 쪽에 끼고 영어 앱을 쓰게 되더라구요.

영어 실력이 늘었는지는 잘 모르겠습니다. 유투브나 넷플릭스 보면 여전히 안들립니다. 
목표 의식이 딱히 생긴 건 아니고 재미로 하고 있습니다... 

영어 공부 앱을 찾기 전에 유튜브도 서치를 해봤었는데, 굉장히 많고 유용한 채널도 많더라구요. 
그 중에서 한마디로 TV 채널을 전 보고 있습니다. 출퇴근 왕복 50분 정도 되는데, 그때 차에서 들으면 재밌더라구요. 

대부분 유료 앱들이 무료로도 가능하지만, 광고를 봐야 한다던가, 시간 제한이 있거나 합니다. 완전 무료로 영어 공부를 시작해 보고 싶다 하시면, 유투브 한마디로 TV를 추천드립니다. 채널 내 시크릿 그래머 영상이 10-20분 분량으로 440개 정도 되는데, 양이 엄청 많지만 퀄이 매우 매우 좋더라구요.

별 생각 없이 쓰다보니 길어졌는데, 음, 요즘 영어 공부 앱이 잘 나와서 나름 영어 공부를 재밌게 할 수 있다 정도가 결론이 아닐까 싶습니다... ㅎ"
