title,text,rating,author,date,company,source_type,source_platform,search_keyword,url,collected_at
가성비 쩜,"효율 짱
이렇게나 단어 짧은시간 안에 많이 외워본 적 없음
복습 주기도 알아서 정해주고 단기 기억력 걱정 없음
광고 아니니까 믿고 질러보셈",5,후니✨,2026-01-16T01:13:46-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
말해보카 리뷰,영어..참 잘하고싶은데 진짜 뭘 어떻게하는지 모르겠고 인스타 알고리즘도 영어로 도배되어있어서 광고가 떴길래 그래 그냥 한번 해보자했거든요 솔직히 다른 앱에 비해서 저랑은 좀 맞는부분이 있는거같아요..매일매일 꾸준히가 어려운거라니까 매일하다보면 달라지는게 있겠죠…진짜 잘하고싶다..,5,영어무식이,2026-01-15T17:42:29-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
좋아요,재밌어요,5,Saeip새잎,2026-01-15T17:20:37-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
그냥 말이 안나옴,광고에선 맨날 홍보 잘하고 사람들도 잘 사용하는 것 같아서 깔았더니 자꾸 돈내라함,1,읁이지,2026-01-15T08:55:12-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
기억력 개선에 도움이됩니다.,치매 예방용으로 꾸준히 해보려고요 … Tks,5,영서기,2026-01-15T08:49:55-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
굿,재밋네요,5,Joinglee12,2026-01-15T07:44:01-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
좋아요,취준에 영어공부까지 막막했는데 좋네요 재밌어요,5,왕초보영,2026-01-15T06:11:35-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
굿굿,쉽고 재미잇어서 아이들과해도 무방하게 할수잇어 너무 좋아요,5,leehyosun,2026-01-15T04:53:32-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
말해보카 vs 듀오링고,솔직히 말해보카 성능이 더 좋습니다.,5,ㅁㅎㅂㅋ11,2026-01-15T03:48:41-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
안녕하세요,"혹시 년 단위 말고 
월 단위로 결제 할 순 없나요?",4,kbg0127,2026-01-15T03:18:28-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
