title,text,rating,author,date,url,company,source_type,source_platform,search_keyword,collected_at
,재미있네요,5,iloo Nam,2026-01-17 12:04:12,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,돈내고 구독중인데 실전회화 렉걸리고 난리임 개선되면 별점 바꿀게요,2,도리,2026-01-17 12:01:39,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,작년까지 사용자입니다. 잘 사용했고 감사합니다. 제가 취소를 했는데 취소가 잘됐는지 확인이 어려웠는데 확인 부탁드려요. 오래되긴했지만.,4,이주형,2026-01-17 11:27:43,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,시작은 단어를 통해서 가볍게 할수 있어요. 더 학습하고 후기 남길게요.,5,강준모,2026-01-17 10:41:11,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,굿..혼자 학습하기 너무 좋네요.,5,Jung Soo Lee,2026-01-17 10:37:52,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,재밌어요,4,권잘규,2026-01-17 10:00:13,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,듀오링고 처럼 무료를 기대하면 영어공부 0%,2,유희상,2026-01-17 00:43:00,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,재미있습니다,5,소병조,2026-01-16 23:29:39,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,정말 도움이 많이 되고요. 사운드나 글씨 쓰는 느낌도 너무 재미져요. 계속 열심히 할래요^^,5,이혜연,2026-01-16 22:39:17,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,좋아요,5,youngku kim,2026-01-16 22:28:26,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
