title,url,search_keyword,company,source_type,source_platform,content,collected_at
"한 달 사용해본 스피킹맥스 맥스AI 후기 어디서나 영어공부하기
율마
네이버 블로그",http://blog.naver.com/aejiniyam/223664797876,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:28.490494
"영어회화공부혼자하기 MAX AI로 학습한 후기
Homo Ludens
네이버 블로그",http://blog.naver.com/artist_juju/224078681693,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:28.504050
"성인화상영어회화 고민하다 간편하게 수업 들을 수 있는 맥스 AI (MAX AI)
Homo Ludens
네이버 블로그",http://blog.naver.com/artist_juju/224073581033,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:28.516529
"성인 왕초보영어 MAX AI로 쉽게 공부할 수 있는 방법
Homo Ludens
네이버 블로그",http://blog.naver.com/artist_juju/224090796263,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:28.528687
"영어스피킹공부 왕초보 영어 말문 트이는 맥스AI(MAX AI) 후기
Homo Ludens
네이버 블로그",http://blog.naver.com/artist_juju/224067746983,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:28.553685
"직장인 영어회화 독학 부담 없이 MAX AI로 공부하게 된 방법
Homo Ludens
네이버 블로그",http://blog.naver.com/artist_juju/224082587280,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:28.564885
"영어공부독학 맥스AI (MAX AI)로 시작한 찐 후기
Homo Ludens
네이버 블로그",http://blog.naver.com/artist_juju/224071985976,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:28.576779
"직장인 전화영어 맥스 AI (MAX AI) 솔직 후기 (B2B 기업 영어 교육 추천)
봉티풀
네이버 블로그",http://blog.naver.com/rbh881029/224112306016,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:28.588496
"영어회화어플 추천 MAX AI 학습 후기
Homo Ludens
네이버 블로그",http://blog.naver.com/artist_juju/224087643796,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:28.600532
원어민 전화영어 맥스 AI(MAX AI) 영어공부 앱으로 영어스피킹 습관 만들기,https://blog.naver.com/sunzooland/224105257984,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:29.541692
맥스 AI 화상영어 어플 솔직 후기 (왕초보 영어공부 혼자하기 방법),https://blog.naver.com/young0mom/223898272700,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:29.936366
나를 미소짓게 하는 하루,https://blog.naver.com/extra26,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:30.106214
화상영어 쉽게 맥스AI(MAX AI) 전화영어 시작해 보니 (기업영어교육 추천),https://blog.naver.com/extra26/224112713121,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:30.152233
전화영어 어디서든 영어공부 맥스AI (화상영어 같은 오픽어플),https://blog.naver.com/extra26/224036568016,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:30.187676
맥스AI(MAX AI) 영어공부어플 통한 화상영어 후기: 내돈내산 하고 싶은 이유,https://blog.naver.com/claykim999/224123670807,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:30.251055
알뜰살뜰 베짱 여행기 ✈️,https://blog.naver.com/smjd22,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:30.371670
스피킹맥스 맥스AI 전화영어 어플 해지 위약금 고객센터 문의 후기,https://blog.naver.com/smjd22/223922135396,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:30.402938
"봉봉츄
blog.naver.com›lemon8363",https://blog.naver.com/lemon8363/223859380537,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:30.636434
"미류
blog.naver.com›for_sm",https://blog.naver.com/for_sm/224112752465,맥스ai 영어,maxai,blog,naver_blog,,2026-01-18T14:15:30.699604
