title,url,search_keyword,company,source_type,source_platform,content,collected_at
스피킹 맥스AI 사용중인 사람있나요?,https://www.teamblind.com/kr/post/%EC%8A%A4%ED%94%BC%ED%82%B9-%EB%A7%A5%EC%8A%A4AI-%EC%82%AC%EC%9A%A9%EC%A4%91%EC%9D%B8-%EC%82%AC%EB%9E%8C%EC%9E%88%EB%82%98%EC%9A%94-5UsLKrhA,맥스ai,maxai,community,blind,,2026-01-18T14:05:11.654619
스피킹맥스 맥스 ai 해보거나 관심있는사람 있어..?,https://www.teamblind.com/kr/post/%EC%8A%A4%ED%94%BC%ED%82%B9%EB%A7%A5%EC%8A%A4-%EB%A7%A5%EC%8A%A4-ai-%ED%95%B4%EB%B3%B4%EA%B1%B0%EB%82%98-%EA%B4%80%EC%8B%AC%EC%9E%88%EB%8A%94%EC%82%AC%EB%9E%8C-%EC%9E%88%EC%96%B4-sjxs5LJq,맥스ai,maxai,community,blind,,2026-01-18T14:05:11.654647
종목추천,https://www.teamblind.com/kr/post/%EC%A2%85%EB%AA%A9%EC%B6%94%EC%B2%9C-s11bhugf,맥스ai,maxai,community,blind,,2026-01-18T14:05:11.654667
애플 주식은 처분하고,https://www.teamblind.com/kr/post/%EC%95%A0%ED%94%8C-%EC%A3%BC%EC%8B%9D%EC%9D%80-%EC%B2%98%EB%B6%84%ED%95%98%EA%B3%A0-3vwleuy5,맥스ai,maxai,community,blind,,2026-01-18T14:05:11.654683
오늘 옵션만기,https://www.teamblind.com/kr/post/%EC%98%A4%EB%8A%98-%EC%98%B5%EC%85%98%EB%A7%8C%EA%B8%B0-ffhqg1vx,맥스ai,maxai,community,blind,,2026-01-18T14:05:11.654697
요즘 갤럭시 어때?,https://www.teamblind.com/kr/post/%EC%9A%94%EC%A6%98-%EA%B0%A4%EB%9F%AD%EC%8B%9C-%EC%96%B4%EB%95%8C-svvf3q18,맥스ai,maxai,community,blind,,2026-01-18T14:05:11.654714
저가형커피 프랜차이즈 창업,https://www.teamblind.com/kr/post/%EC%A0%80%EA%B0%80%ED%98%95%EC%BB%A4%ED%94%BC-%ED%94%84%EB%9E%9C%EC%B0%A8%EC%9D%B4%EC%A6%88-%EC%B0%BD%EC%97%85-tnu6owwa,맥스ai,maxai,community,blind,,2026-01-18T14:05:11.654778
사람들이 이더 무시하는디 ㅋㅋ,https://www.teamblind.com/kr/post/%EC%82%AC%EB%9E%8C%EB%93%A4%EC%9D%B4-%EC%9D%B4%EB%8D%94-%EB%AC%B4%EC%8B%9C%ED%95%98%EB%8A%94%EB%94%94-%E3%85%8B%E3%85%8B-ZKYVs281,맥스ai,maxai,community,blind,,2026-01-18T14:05:11.654818
투표글영어 스피킹 공부 (스픽vs스피킹맥스)투표,https://www.teamblind.com/kr/post/%EC%98%81%EC%96%B4-%EC%8A%A4%ED%94%BC%ED%82%B9-%EA%B3%B5%EB%B6%80-%EC%8A%A4%ED%94%BDvs%EC%8A%A4%ED%94%BC%ED%82%B9%EB%A7%A5%EC%8A%A4-7YtiwBgE,맥스AI 영어,maxai,community,blind,,2026-01-18T14:05:13.426707
영어 리스닝 스피킹 공부 진짜 효과 본 분만,https://www.teamblind.com/kr/post/%EC%98%81%EC%96%B4-%EB%A6%AC%EC%8A%A4%EB%8B%9D-%EC%8A%A4%ED%94%BC%ED%82%B9-%EA%B3%B5%EB%B6%80-%EC%A7%84%EC%A7%9C-%ED%9A%A8%EA%B3%BC-%EB%B3%B8-%EB%B6%84%EB%A7%8C-H5Q3AAyh,맥스AI 영어,maxai,community,blind,,2026-01-18T14:05:13.426731
이번 애플 신제품 발표회 후기,https://www.teamblind.com/kr/post/%EC%9D%B4%EB%B2%88-%EC%95%A0%ED%94%8C-%EC%8B%A0%EC%A0%9C%ED%92%88-%EB%B0%9C%ED%91%9C%ED%9A%8C-%ED%9B%84%EA%B8%B0-pQJrP366,맥스AI 영어,maxai,community,blind,,2026-01-18T14:05:13.426752
일찍이 맨시티 펩 후계자로 거론되던 두 사나이 현황,https://www.teamblind.com/kr/post/%EC%9D%BC%EC%B0%8D%EC%9D%B4-%EB%A7%A8%EC%8B%9C%ED%8B%B0-%ED%8E%A9-%ED%9B%84%EA%B3%84%EC%9E%90%EB%A1%9C-%EA%B1%B0%EB%A1%A0%EB%90%98%EB%8D%98-%EB%91%90-%EC%82%AC%EB%82%98%EC%9D%B4-%ED%98%84%ED%99%A9-5vunydfp,위코치,maxai,community,blind,,2026-01-18T14:05:16.018022
안세영이 혼자 금메달을 땄을거라 생각하시나요,https://www.teamblind.com/kr/post/%EC%95%88%EC%84%B8%EC%98%81%EC%9D%B4-%ED%98%BC%EC%9E%90-%EA%B8%88%EB%A9%94%EB%8B%AC%EC%9D%84-%EB%95%84%EC%9D%84%EA%B1%B0%EB%9D%BC-%EC%83%9D%EA%B0%81%ED%95%98%EC%8B%9C%EB%82%98%EC%9A%94-nrBbnrWz,위코치,maxai,community,blind,,2026-01-18T14:05:16.018050
PT트레이너 추천좀 부탁해,https://www.teamblind.com/kr/post/PT%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%84%88-%EC%B6%94%EC%B2%9C%EC%A2%80-%EB%B6%80%ED%83%81%ED%95%B4-05ne6eqx,위코치,maxai,community,blind,,2026-01-18T14:05:16.018066
"'팀 타율 10위' 한화, 타격 코치 교체…강동우 코치 1군 등록",https://www.teamblind.com/kr/post/%ED%8C%80-%ED%83%80%EC%9C%A8-10%EC%9C%84-%ED%95%9C%ED%99%94-%ED%83%80%EA%B2%A9-%EC%BD%94%EC%B9%98-%EA%B5%90%EC%B2%B4%E2%80%A6%EA%B0%95%EB%8F%99%EC%9A%B0-%EC%BD%94%EC%B9%98-1%EA%B5%B0-%EB%93%B1%EB%A1%9D-S6UpUPdS,위코치,maxai,community,blind,,2026-01-18T14:05:16.018082
"슈퍼매치 폭력사태 FC 서울 고요한, 정훈기 코치 상벌위 회부",https://www.teamblind.com/kr/post/%EC%8A%88%ED%8D%BC%EB%A7%A4%EC%B9%98-%ED%8F%AD%EB%A0%A5%EC%82%AC%ED%83%9C-FC-%EC%84%9C%EC%9A%B8-%EA%B3%A0%EC%9A%94%ED%95%9C-%EC%A0%95%ED%9B%88%EA%B8%B0-%EC%BD%94%EC%B9%98-%EC%83%81%EB%B2%8C%EC%9C%84-%ED%9A%8C%EB%B6%80-6fhy8ixR,위코치,maxai,community,blind,,2026-01-18T14:05:16.018101
프로포즈링 브랜드나 샵 추천 부탁드립니다 (선물 고민 포함),https://www.teamblind.com/kr/post/%ED%94%84%EB%A1%9C%ED%8F%AC%EC%A6%88%EB%A7%81-%EB%B8%8C%EB%9E%9C%EB%93%9C%EB%82%98-%EC%83%B5-%EC%B6%94%EC%B2%9C-%EB%B6%80%ED%83%81%EB%93%9C%EB%A6%BD%EB%8B%88%EB%8B%A4-%EC%84%A0%EB%AC%BC-%EA%B3%A0%EB%AF%BC-%ED%8F%AC%ED%95%A8-lw5wg814,위코치,maxai,community,blind,,2026-01-18T14:05:16.018119
(선발야구) 잘 싸운 SSG,https://www.teamblind.com/kr/post/%EC%84%A0%EB%B0%9C%EC%95%BC%EA%B5%AC-%EC%9E%98-%EC%8B%B8%EC%9A%B4-SSG-xf8hxbjy,위코치,maxai,community,blind,,2026-01-18T14:05:16.018141
나보다 못난 사람에게 절대 돈자랑 하면 안됨,https://www.teamblind.com/kr/post/%EB%82%98%EB%B3%B4%EB%8B%A4-%EB%AA%BB%EB%82%9C-%EC%82%AC%EB%9E%8C%EC%97%90%EA%B2%8C-%EC%A0%88%EB%8C%80-%EB%8F%88%EC%9E%90%EB%9E%91-%ED%95%98%EB%A9%B4-%EC%95%88%EB%90%A8-1PFMaOWH,위코치,maxai,community,blind,,2026-01-18T14:05:16.018159
