data_id,company,source_type,source_platform,search_keyword,title,text,rating,author,date,url,collected_at
1,maxai,sns,youtube,맥스ai,,"‘맥스AI’의 유료광고를 포함하고 있습니다. 

✔️ 전화영어, 화상영어, 학원 등 영어학습이 불편했던 경험이 있는 분 …
...더보기",,,,https://www.youtube.com/watch?v=muEggIUMNDM,2026-01-18T14:03:59.354065
2,maxai,sns,youtube,맥스ai,,"할 말은 많은데
영어가 나오다 말아서 속상했던 적 있다면?
 …
...더보기",,,,https://www.youtube.com/watch?v=Y5lGlv58AZc,2026-01-18T14:03:59.354075
3,maxai,sns,youtube,맥스ai,,"회사에서 영어 회의가 많아지면서,
갑작스럽게 질문이 들어왔을 때
입이 딱 막혔던 순간… 경험해보셨나요? …
...더보기",,,,https://www.youtube.com/watch?v=Z2FOCrEWCNA,2026-01-18T14:03:59.354077
6,maxai,sns,youtube,맥스ai,,"🇺🇸미국 교육학 석사가 매일 사용하는 무료 영어공부 AI✨
자세한 내용은 고정댓글 참고해주세요!
 …
...더보기",,,,https://www.youtube.com/watch?v=5IepL3KBrC0,2026-01-18T14:03:59.354080
7,maxai,sns,youtube,맥스ai,,"영어는 앞으로도 평생의 숙제일 거 같아요. 
그치만 맥스 AI 덕분에 정말 편하고 재밌게 영어 공부 하고 있습니다 !!
 …
...더보기",,,,https://www.youtube.com/watch?v=7-DixA7VU7E,2026-01-18T14:03:59.354080
8,maxai,sns,youtube,맥스ai,,"이렇게 많은 사람들이 영어로 돈 벌고 있었다고⁉️
나만 몰랐던 말하면서 돈 버는 방법
스피킹맥스 돈버는영어에선 이게 가능하다🙌 …
...더보기",,,,https://www.youtube.com/watch?v=u7ZZ1YVQhEY,2026-01-18T14:03:59.354083
9,maxai,sns,youtube,맥스ai,,"영어회화 잘하고 싶을 땐,
사람보다 더 사람 같은 AI코치, 맥스AI!
 …
...더보기",,,,https://www.youtube.com/watch?v=Bc7CIn7lMts,2026-01-18T14:03:59.354084
13,maxai,sns,youtube,맥스ai,,"안녕하세요 여러분, 명절 잘 보내셨나요?

작년 8월 약속했던대로 2년간의 학습을 마치고 스피킹맥스 돈 버는 영어 후기로 오랜만에 영상을 올립니다. …
...더보기",,,,https://www.youtube.com/watch?v=yumeJ51FPe4,2026-01-18T14:03:59.354088
14,maxai,sns,youtube,맥스ai,,"맥스AI, 맥스AI 후기, AI화상영어, 회화앱 추천, 영어회화, 영어회화공부법https://speakingmax.com/ev/?k=8c 
...더보기",,,,https://www.youtube.com/watch?v=omjaSAfs95o,2026-01-18T14:03:59.354088
15,maxai,sns,youtube,맥스ai,,"영어는 배우고 싶은데
학원은 비싸고 시간은 없고…
이젠 침대 위에서 AI 튜터랑 영어 회화 끝내자! …
...더보기",,,,https://www.youtube.com/watch?v=g-_YVye8Ny8,2026-01-18T14:03:59.354089
