title,url,platform,company,source_type,collected_at,text
"위버스브레인, '맥스AI·맥스AI월드' 휴넷 입점",http://v.daum.net/v/20260116103810087,daum_news,maxai,news,2026-01-18T15:32:33.204162,"휴넷에 입점한 '맥스AI·맥스AI월드'.[이미지=위버스브레인]
위버스브레인의 AI(인공지능) 외국어 튜터 서비스를 휴넷에서 만나볼 수 있다.
위버스브레인은 '휴넷'에 AI 외국어 회화 학습 서비스 '맥스AI'와 '맥스AI월드'를 공식 입점했다고 16일 밝혔다.
맥스AI와 맥스AI월드는 AI 튜터 기반 일대일 외국어 학습 서비스로 시·공간의 제약 없이 이용할 수 있다. 학습자의 발화를 정밀하게 인식해 상황에 맞는 피드백을 제시한다.
영어 회화 서비스 맥스AI는 학습자의 수준과 관심사에 따라 학습할 수 있도록 28개 코스, 580개 레슨을 제공한다. 토익스피킹, 오픽 등 주요 말하기 시험 대비 과정을 통해 기업 임직원들의 인사·승진 및 글로벌 업무 대응 역량을 강화한다.
맥스AI월드는 중국어·일본어 과정을 주력으로 한다. 초·중·고 레벨로 구성된 회화 학습 커리큘럼을 갖췄고 VOD 강의와 AI 원어민과의 1:1 대화, 반복 학습 등의 프로그램으로 구성됐다. 올해 상반기 중 스페인어, 베트남어 등 다양한 언어를 순차적으로 출시할 예정이다.
해당 서비스는 이달부터 휴넷을 이용하는 기업·기관 고객을 대상으로 제공되며 개인별 학습 진도 확인 등 학습 관리 기능도 함께 지원한다.
조세원 위버스브레인 대표는 ""맥스AI와 '맥스AI월드가 휴넷 입점을 통해 기업 교육용 AI 외국어 학습 콘텐츠로서 경쟁력을 인정받았다""며 ""앞으로 더 많은 기업이 맥스AI와 맥스AI월드를 활용해 임직원들의 글로벌 업무 대응 역량을 강화하고 다국적 인력을 위한 체계적 어학 교육 환경을 구축할 수 있을 것""이라고 말했다.
[신아일보] 이명학 기자"
"위버스브레인, ‘맥스AI’, 토스·SPA 시험 대비 코스 출시",http://v.daum.net/v/20260108093101107,daum_news,maxai,news,2026-01-18T15:32:33.204162,"(지디넷코리아=안희정 기자)AI 교육기업 위버스브레인(대표 정연중, 조세원)의 AI 튜터 기반 일대일 화상 영어 서비스 ‘맥스AI’가 토익스피킹과 SPA 시험 대비 전용 코스를 새롭게 출시했다.
토익스피킹과 SPA(Speaking Proficiency Assessment)는 취업 및 이직 과정에서 활용되는 대표적 영어 말하기 시험이다. 특히 SPA는 현대자동차그룹을 비롯한 국내 대기업의 채용 및 승진 과정에서 실무 중심의 커뮤니케이션 역량을 평가하는 데 활용되고 있다.
앞서 위버스브레인은 맥스AI 오픽(OPIc) 대비 코스를 선보이며 영어 말하기 자격증 대비 커리큘럼을 확대해왔다. 이번 토익스피킹·SPA 시험 대비 코스 출시로 취업준비생과 직장인이 목적과 상황에 맞춰 필요한 과정을 선택해 활용할 수 있는 학습 환경을 갖추게 됐다.
위버스브레인 ‘맥스AI’, 토스·SPA 시험 대비 코스 출시
‘맥스AI’ 토익스피킹·SPA 시험 대비 코스는 실전 말하기 중심으로 설계됐다. 학습자가 문제를 듣고 답변하면 AI 튜터가 표현과 문법 오류를 교정해주며, 정해진 답을 암기하는 방식이 아닌 개인의 상황에 맞는 답변을 자연스럽게 익힐 수 있도록 돕는다. 목표 레벨과 발화 수준에 따라 맞춤형 피드백을 제공해 초보자부터 상급자까지 단계별 학습이 가능하다.
모바일 앱을 통한 일대일 학습 방식으로 시간과 장소에 제약 없이 학습할 수 있으며, 하루 10분의 학습으로 시험에서 요구되는 답변 분량을 충분히 말해보는 실전 발화 연습이 가능하다. 해당 서비스는 현재 국내 주요 대기업의 임직원 교육 과정에서도 활용되고 있다.
위버스브레인의 조세원 대표는 “실제로 말하는 경험이 중요한 시험인 만큼, 맥스AI의 AI 튜터 기반 일대일 맞춤형 학습 방식이 수험생들에게 실질적인 도움이 될 것으로 기대한다”며 “바쁜 일상 속에서 짧은 시간을 활용해 말하기 실력을 집중적으로 끌어 올릴 수 있도록 지원하겠다”고 말했다.
안희정 기자(hjan@zdnet.co.kr)"
'어학연수 갈 필요 없어요'…AI 선생님으로 1000억 잭팟 노린다[원종환의 中企줌인],http://v.daum.net/v/20260113100249130,daum_news,maxai,news,2026-01-18T15:32:33.204162,"위버스브레인의 영어 AI 회화 앱 '맥스 AI'. 사진=위버스브레인
새해를 맞아 성인 학습자가 외국어 앱으로 공부를 열정적으로 하는 기간은 통상 3개월이다. 온라인 영어강의 서비스 '뇌새김'으로 유명한 위버스마인드의 자회사 위버스브레인이 선보인 화상 영어 앱 ‘맥스 AI(Max AI)’는 가상의 인공지능(AI) 인물과 대화하도록 설계해 학습 몰입도를 높였다. 평균 학습 기간은 17개월로 매일 전체 이용자가 말하는 문장 수는 약 100만 개다.
최근 만난 조세원 위버스브레인 대표는 “지난해 11월 기준으로 회사의 주력 앱인 맥스 AI의 이용자 수가 전년 동기 대비 다섯배 가량 늘었다”며 “내년 기업공개(IPO)를 목표로 국내 주요 증권사와 협의를 진행하고 있다”고 밝혔다.
세간의 인식과 달리 자기개발을 중시하는 사람이 늘어나면서 외국어 공부 시장은 더 커질 것이라는 게 조 대표의 생각이다. 이 회사의 영어 학습 콘텐츠를 활용하는 이용자 가운데 40대 이상의 비율은 2023년 38％에서 지난해 48％로 증가했다.
AI 맞춤화 콘텐츠로 B2B 공략
조세원 위버스브레인 대표. 사진=원종환 기자

매출 확대를 위해 조 대표가 주목하는 것은 기업 간 거래(B2B) 외국어 교육 시장이다. 비상장사인 위버스브레인은 2023년 일찍이 외국어 교육에 최적화한 자체 AI 도구 ‘위코치’를 개발했다.
이를 기반으로 이듬해 출시한 외국어 교육 앱 ‘맥스 AI 월드’는 각 산업군에 맞춤화한 커리큘럼을 제공한다. 업계 용어나 표현을 손쉽게 배울 수 있어 기존 앱 맥스 AI보다 전문성을 강화했다.
조 대표는 “앱에 각 산업과 관련한 문서 자료를 넣으면 학습 목적에 맞춰 AI가 주요 표현 따라 하기, 대화 나누기, 피드백 등의 학습 콘텐츠를 생성한다”며 “영어 외에도 일본어, 중국어, 스페인어 등 총 8개 국어를 지원해 범용성을 넓혔다”고 설명했다.
맥스 AI 월드를 주력으로 15％에 그친 B2B 매출 비중을 3년 내로 50％로 끌어올리는 것이 목표다. 조 대표는 “국내 기업 및 공공기관 100여 곳에서 맥스 AI 월드 도입을 검토하고 있다”고 덧붙였다.
조세원 위버스브레인 대표. 사진=원종환 기자
이런 사업 모델로 미국과 일본을 두 축으로 해외 시장 공략을 본격화한다. 이민이나 일자리 등을 이유로 현지 언어를 배워야 하는 사람들이 주 타깃이다.
조 대표는 “현지 교육, 출판 기업의 콘텐츠를 우리 기술로 학습 자료화하는 방식을 추진 중”이라며 “대부분 기업과 소비자간 거래(B2C)가 강세인 영어교육 앱 시장에서 출혈 경쟁을 최소화하고 점유율을 끌어올릴 것”이라고 내다봤다.
지난해 일본 교육 기업 마네비, 네트러닝 등과 업무협약(MOU)을 맺은 데 이어 다른 회사와 협력 논의를 진행하고 있다. 국내외 대학에도 사업 영역을 넓힐 계획이다.
 'AI 튜터'로 4년치 학습량 제공 
조 대표는 사업 강화를 위해 그간 AI 성능을 개선하는 데 주력했다. B2C에서 성과를 내는 맥스 AI는 지난 5월 앱 사용자가 말하는 맥락을 더 명확히 파악하도록 기능을 강화했다. 실제 원어민이 화면에 나와 눈을 맞추며 대화한 뒤 틀린 외국어 표현을 할 때마다 곧바로 올바른 문장을 알려주는 것이 한 예다.
조 대표는 “특히 영어 기반의 AI 모델이 취약한 한자를 제대로 가르치기 위해 반년 넘게 발음과 문장을 교정했다”며 “오류 없이 일본어, 중국어 AI 회화 서비스가 가능한 곳은 사실상 우리가 유일하다”고 자부했다.
일상회화 외에도 토익스피킹, 오픽(Opic) 등 외국어 시험에 특화한 수업을 지원한다. 조 대표는 “AI가 단순히 대화 상대가 아니라 선생님 역할을 한다는 게 경쟁사와의 차별점”이라며 “현재 약 4년 동안 학습할 수 있는 콘텐츠량을 확보하고 있다”고 강조했다.
2027년 내로 매출 1000억원을 내는 게 조 대표의 목표다. 2024년 336억원의 매출을 낸 이 회사는 지난해 역대 최대 매출을 낼 것으로 예상되고 있다. 조 대표는 “5년간 꾸준히 흑자를 내온 저력을 토대로 일반 상장을 추진하고 있다”며 “한국에서 통한 성공 방정식을 해외에 접목해 글로벌 에듀테크 기업으로 성장할 것”이라고 의지를 다졌다.
원종환 기자 won0403@hankyung.com"
"위버스브레인, '맥스AI 왕초보 MATE' 출시",http://v.daum.net/v/20251127091414482,daum_news,maxai,news,2026-01-18T15:32:33.204162,"위버스브레인은 인공지능(AI) 튜터 기반 1:1 화상영어 서비스 '맥스AI'에 초급 학습자들을 위한 프리토킹 서비스 '왕초보 MATE'를 도입했다고 27일 밝혔다.
'맥스AI'는 인간 실사 기반의 원어민 AI 튜터와 직접 대화하는 방식의 영어 학습 애플리케이션이다. 정규 커리큘럼을 따라 학습하는 'PT' 모드와 자유롭게 대화를 나누는 'MATE' 모드로 구성된다.
위버스브레인은 AI 튜터 기반 1:1 화상영어 서비스 '맥스AI'에 초급 학습자들을 위한 프리토킹 서비스 '왕초보 MATE'를 도입했다. 위버스브레인
'왕초보 MATE'는 기존 'MATE' 기능을 초급 학습자에 맞춰 재설계한 서비스다. 한국어와 영어가 함께 쓰이는 대화 방식을 적용해 AI 튜터의 발화를 이해하기 쉽게 했으며, 학습자의 한국어 발화도 자연스럽게 이어받아 원어민과의 1:1 대화에서 느끼는 심리적 부담을 덜어냈다는 설명이다. 강아지 캐릭터 'Lucky(복돌이)'를 도입해 시각적 요소도 새롭게 설계했다.
조세원 위버스브레인 대표는 ""'왕초보 MATE'는 기존 프리토킹 기능에서 부담을 느끼던 초보자들이 말하기 경험을 쌓고, 자신감과 학습 효과를 높이는 데 초점을 맞췄다""며 ""학습자의 니즈에 맞춘 더욱 정교한 1:1 말하기 코칭 서비스를 제공할 수 있도록 노력하겠다""고 했다.
최호경 기자 hocance@asiae.co.kr"
"위버스브레인, '맥스AI월드'로 AES 워어드 동상 수상",http://v.daum.net/v/20251120161427320,daum_news,maxai,news,2026-01-18T15:32:33.204162,"위버스브레인이 AES 글로벌 어워드에서 동상을 수상했다. 사진 제공=위버스브레인
[서울경제]
위버스브레인은 인공지능(AI) 외국어 학습 서비스 맥스AI월드로 AES 글로벌 어워드에서 동상을 수상했다고 20일 밝혔다.
AES 글로벌 어워드는 아시아 에듀테크 분야의 대표적인 시상식이다. 기술 혁신성 및 실제 교육 현장에서의 활용도, 해외 시장 확장성 등을 기준으로 수상작을 선정한다.
수상작인 맥스AI월드는 위버스브레인의 자체 AI 엔진을 기반으로 한 맞춤형 AI 외국어 학습 서비스다. 책, 워드, PDF 등 다양한 자료를 입력하면 AI가 이를 분석 후 학습 목적에 맞는 커리큘럼을 자동 생성해 기업 및 기관이 필요로 하는 외국어 교육을 짧은 기간에 구현할 수 있다.
현재 맥스AI월드는 원자력, 화학, 항공 등 전문 산업군에서 활용도가 높아 국내외 기업과 기관의 임직원 교육 프로그램으로 도입되며 긍정적 반응을 얻고 있다. 위버스브레인은 이번 수상을 계기로 해외 기업 및 기관과의 파트너십을 넓혀 글로벌 사업 기반을 강화할 계획이다.
조세원 위버스브레인 대표는 “이번 수상은 기술력뿐 아니라 기업, 기관 등 다양한 교육 현장에서 실제 변화를 만들어낸 성과가 글로벌 시장에서 가치를 인정받은 것”이라며 “이번 수상을 계기로 글로벌 파트너사와 협력을 더욱 확대하고 교육 시장 혁신을 가속화하겠다”고 말했다.
김태호 기자 teo@sedaily.com"
"스피킹맥스, ‘돈버는챌린지’ 2차 캠페인 진행",http://v.daum.net/v/20251231150243669,daum_news,maxai,news,2026-01-18T15:32:33.204162,"(지디넷코리아=안희정 기자)AI 교육기업 위버스브레인(대표 정연중, 조세원)이 새해 학습 동기 강화를 위한 ‘돈버는챌린지’ 2차 캠페인을 진행한다고 31일 밝혔다. 이번 캠페인에는 신규 인플루언서 6명이 합류해 챌린지를 이어간다.
‘돈버는챌린지’는 새해를 앞두고 외국어 학습을 통해 자기계발에 도전하려는 자들을 학습자들을 독려하기 위해 기획됐다. 보상형 학습 시리즈 ‘돈버는영어’, ‘돈버는일본어’, ‘맥스AI’ 구매자를 대상으로 첫 달 이용료 면제 등 다양한 혜택이 제공된다.
2차 챌린지에는 국어 강사 출신 인플루언서 밍찌를 비롯해 유튜브 채널 ‘숏플레이’ 현정, ‘싱글벙글’의 이송경, ‘김종구TV’의 김종구, 한일 국제커플 사라패밀리, 수능 응원 영상으로 주목받은 대한영국인 다니엘 등 총 6명이 새롭게 참여했다. 이들은 외국어 학습 서비스를 직접 체험한 뒤, 학습 경험을 각자의 콘텐츠 스타일로 소개하며 챌린지 확산에 나서고 있다.
스피킹맥스, 새해 맞이 ‘돈버는챌린지’ 2차 캠페인 진행
김종구는 ‘돈버는영어’로 일주일간 14만 원의 보상을 받았다고 공개하며, ‘외국 갔다고 자랑하는 친구를 영어로 혼쭐내는 방법’이라는 유쾌한 특강 콘텐츠를 선보여 화제를 모았다. 숏플레이 현정은 ‘재벌 여친’ 콘셉트를 활용해 돈버는영어 보상 시스템을 체험하는 영상을 선보일 예정으로, 재미와 동기부여를 동시에 전달할 계획이다.
위버스브레인의 조세원 대표는 “보상형 학습은 새해 결심으로 시작한 외국어 공부를 꾸준히 이어가게 만드는 강력한 동기부여 수단이 될 것”이라며 “다양한 인플루언서들의 참여를 통해 더 많은 학습자가 즐겁게 도전하고 성과를 경험하길 기대한다”고 말했다.
안희정 기자(hjan@zdnet.co.kr)"
"[2025 하반기 Best Goods] 델 테크놀로지스, AI 시스템 '델 프로 맥스 위드 GB10'",http://v.daum.net/v/20251222170448025,daum_news,maxai,news,2026-01-18T15:32:33.204162,"델 테크놀로지스의 AI 시스템 '델 프로 맥스 위드 GB10'
델 테크놀로지스의 '델 프로 맥스 위드 GB10(Dell Pro Max with GB10)'은 네트워크 연결 없이 데스크 환경에서 최대 2000억개 매개변수의 LLM(대규모 언어 모델)을 지원하는 책상 위의 AI 시스템이다. AI 모델을 보안 걱정 없이, 비용 효율적이고 빠르게 개발할 수 있는 로컬 컴퓨팅 환경 중요성이 커지고 있는 가운데, 델 테크놀로지스는 국내 시장에 가장 먼저 엔비디아 GB10 슈퍼칩을 탑재한 초고성능 시스템을 선보였다.
'델 프로 맥스 위드 GB10'은 AI 개발에 특화된 최대 1페타플롭(1초당 1000조번 연산 처리)의 AI 연산 성능을 제공한다는 점이 가장 큰 특징이다. 128GB LPDDR5x 통합 시스템 메모리는 물론, 1TB, 2TB 및 4TB NVMe SSD 옵션을 제공해, 이를 기반으로 최대 2000억개 매개변수를 가진 언어모델을 로컬 환경에서 직접 프로토타이핑, 미세조정, 추론까지 할 수 있다. 초저지연 네트워킹을 지원하는 엔비디아 커넥트X-7(ConnectX®7)으로 '델 프로 맥스 위드 GB10' 두 대를 연결하면 최대 4000억개 매개변수 모델까지 원활히 처리할 수 있다.
오프라인 환경에서 언어 모델을 개발하고 테스트할 수 있는 샌드박스 환경을 제공하고, TPM2.0을 탑재했다. 더불어, 데이터를 클라우드로 이전하지 않기에 금융, 국방, 헬스케어와 같이 민감한 데이터를 다루는 업계에 적합하며, 클라우드 사용량에 따른 요금 과금에 대한 부담도 적다.
본 제품은 엔비디아 쿠다(NVIDIA CUDA), 엔비디아 AI 워크벤치(NVIDIA AI Workbench) 및 주피터랩(JupyterLab)과 독커(Docker) 등 엔비디아 AI 소프트웨어 스택을 기본 탑재해 AI 개발 입문자도 개봉 즉시 AI 모델 개발과 테스트를 시작할 수 있다. 우분투 리눅스 기반의 엔비디아 DGX OS 기반이기에 코드 재작업 없이 AI 모델을 데이터센터 환경으로 손쉽게 확장할 수 있다는 장점도 있다.
강력한 성능을 지녔지만 작은 폼팩터를 갖췄기에 사무실, 산업 현장, 연구소 등 공간 제약이 있는 환경에도 손쉽게 배포할 수 있고, 공기 흐름을 최적화한 섀시 덕에 장시간 사용에도 온도와 소음을 효과적으로 제어하며 안정적인 성능을 유지한다.
AI 개발 환경이 클라우드에서 온디바이스로 확장되는 추세다. '델 프로 맥스 위드 GB10'는 그 변화의 중심에 있는, 강력한 성능을 지닌 초소형 AI 시스템이다. 압도적인 성능을 개인의 책상 위로 가져온 이 시스템은 AI 개발자들이 다양한 규모의 언어 모델을 빠르게 미세조정하고 테스트하며, 데이터센터 환경으로 확장할 수 있도록 자율성과 유연성을 제공하며, AI 시대의 새로운 가능성을 제시한다.
김현민 기자 minkim@etnews.com"
"위버스브레인, 맥스AI·맥스AI월드 휴넷 입점",http://v.daum.net/v/20260115162025182,daum_news,maxai,news,2026-01-18T15:32:33.204162,"(지디넷코리아=안희정 기자)AI 교육기업 위버스브레인(대표 정연중, 조세원)이 기업 교육 플랫폼 ‘휴넷’에 AI 외국어 회화 학습 서비스 ‘맥스AI’와 ‘맥스AI월드’를 공식 입점했다고 15일 밝혔다.
‘맥스AI’와 ‘맥스AI월드’는 AI 튜터 기반 일대일 외국어 학습 서비스로, 시간 제약 없이 언제, 어디서나 학습할 수 있는 것이 특징이다. 학습자의 발화를 정밀하게 인식해 상황에 맞는 피드백을 제공함으로써 외국어 회화 역량 강화를 돕는다.
영어 회화 서비스 ‘맥스AI’는 학습자의 수준과 관심사에 따라 학습할 수 있도록 28개 코스, 580개 레슨을 제공한다. 토익스피킹, 오픽 등 주요 말하기 시험 대비 과정을 제공해 기업 임직원들의 인사·승진 및 글로벌 업무 대응 역량 강화에 도움을 준다.
위버스브레인, 맥스AI·맥스AI월드 휴넷 입점…기업 임직원 대상 서비스 확대
‘맥스AI월드’는 중국어·일본어 과정을 제공하며, 초·중·고 레벨로 구성된 체계적 회화 학습 커리큘럼을 갖췄다. VOD 강의와 AI 원어민과의 1:1 대화, 반복 학습을 통해 학습 내용을 체화할 수 있다. 올해 상반기 중 스페인어, 베트남어 등 다양한 언어를 순차적으로 출시할 예정이다.
해당 서비스는 이달부터 휴넷을 이용하는 기업·기관 고객을 대상으로 제공되며, 개인별 학습 진도 확인 등 학습 관리 기능도 함께 지원한다.
위버스브레인의 조세원 대표는 “’맥스AI’와 ‘맥스AI월드’가 휴넷 입점을 통해 기업 교육용 AI 외국어 학습 콘텐츠로서 경쟁력을 인정받았다”며 “앞으로 더 많은 기업이 ‘맥스AI와 ‘맥스AI’월드를 활용해 임직원들의 글로벌 업무 대응 역량을 강화하고, 다국적 인력을 위한 체계적 어학 교육 환경을 구축할 수 있을 것”이라고 말했다.
위버스브레인은 글로벌 AI 교육 기업이다. 국내 최초로 인간과 동일한 원어민 AI가 화상으로 영어를 가르치는 ‘맥스AI’와 AI 비즈니스 교육 엔진 ‘위코치’를 개발했다. 2천여 명의 원어민이 함께하는 ‘스피킹맥스’는 누적 회원 120만 명을 돌파했으며, 게이미피케이션과 보상이 결합된 ‘돈버는영어’로 국내외에서 큰 인기를 끌고 있다. 2024년에는 AI 서비스 도입과 B2B, 글로벌 사업 확장으로 역대 최고의 실적을 달성했다.
안희정 기자(hjan@zdnet.co.kr)"
"맥스AI, 토익스피킹·SPA 시험 대비 코스 출시",http://v.daum.net/v/20260108085741495,daum_news,maxai,news,2026-01-18T15:32:33.204162,"위버스브레인은 인공지능(AI) 튜터 기반 일대일 화상 영어 서비스 '맥스AI'가 토익스피킹과 SPA 시험 대비 전용 코스를 새롭게 출시했다고 8일 밝혔다.
토익스피킹과 SPA는 취업 및 이직 과정에서 활용되는 대표적 영어 말하기 시험이다. 특히 SPA는 현대자동차그룹을 비롯한 국내 대기업의 채용 및 승진 과정에서 실무 중심의 커뮤니케이션 역량을 평가하는 데 활용되고 있다.
위버스브레인 '맥스AI', 토익스피킹과 SPA 시험 대비 전용 코스 출시. 위버스브레인
해당 전용 코스는 실전 말하기 중심으로 설계됐다. 학습자가 문제를 듣고 답변하면 AI 튜터가 표현과 문법 오류를 교정해주며, 정해진 답을 암기하는 방식이 아닌 개인의 상황에 맞는 답변을 자연스럽게 익힐 수 있도록 돕는다. 목표 레벨과 발화 수준에 따라 맞춤형 피드백을 제공해 초보자부터 상급자까지 단계별 학습이 가능하다.
또한, 모바일 앱을 통한 하루 10분 일대일 학습 방식으로 시험에서 요구되는 답변 분량을 충분히 말해보는 실전 발화 연습이 가능하다.
조세원 위버스브레인 대표는 ""바쁜 일상 속에서 짧은 시간을 활용해 말하기 실력을 집중적으로 끌어올릴 수 있도록 지원하겠다""고 했다.
최호경 기자 hocance@asiae.co.kr"
"새해 '갓생러' 꿈꾼다면...""T우주 구독 어때?""",http://v.daum.net/v/20260118084435801,daum_news,maxai,news,2026-01-18T15:32:33.204162,"(지디넷코리아=홍지후 기자)SK텔레콤이 새해를 맞아 자기 계발, 절약, 취미 생활을 위한 다양한 구독 서비스를 제공한다.
우선 독서, 영어, 학습 등 '갓생러'(신처럼 치열하고 성실하게 살아가는 사람)를 위해 ‘밀리의서재’, ‘스피킹맥스’, ‘폴인라이트’ 구독 상품을 준비했다.
‘with 밀리의서재’엔 밀리의서재 1개월 이용권과 원하는 구독 상품 한 가지가 포함된다.
‘T 우주패스 쇼핑’을 통해선 11번가/아마존 또는 지마켓 할인 쿠폰 중 하나를 선택할 수 있고, 구글 클라우드 100GB도 이용할 수 있다. ‘T 우주패스 편의점&카페’를 통해선 세븐일레븐과 투썸플레이스 이용 시 최대 30% 할인받을 수 있다.
스피킹맥스는 AI 원어민에게 배우는 영어 회화 앱이다. T우주에선 두근톡 30일 이용권을 월 7천900원에 제공한다. 폴인라이트는 비즈니스 트렌드와 인사이트를 함께 확인할 수 있는 플랫폼이다. 1개월 이용권은 7천500원이다.
SK텔레콤
‘사운드짐’은 온라인 피트니스 서비스로, 개인의 운동 상황에 따른 맞춤 운동 콘텐츠를 제공한다. 1개월 멤버십 쿠폰은 6천500원이다.
‘플로’는 음악 스트리밍 서비스다. 이용권은 FLO 앤 데이터, FLO 앤 데이터 플러스, FLO 콘텐츠 팩, FLO 콘텐츠 팩 플러스로 구성됐다.
또한 올리브영&스타벅스&이마트24 상품은 올리브영 4천원 모바일 상품권과 3천원 할인 쿠폰, 무료 배송 쿠폰, 스타벅스 제조 음료 20% 할인, 이마트24 1천 원당 200원 할인으로 구성됐다.
배달의민족에선 알뜰한, 집배달 3천원 상품권 3장을 제공한다.
취향과 취미를 찾아가는 콘텐츠 구독 상품으론 ‘클래스 101’, ‘티빙’, ‘멜론’이 있다.
클래스 101은 5천300개 이상 클래스를 통해 다양한 분야의 취미와 관심사를 탐색할 수 있는 플랫폼이다. T우주에선 월간 구독권을 1만9천900원에 이용할 수 있다.
사진_SK텔레콤
티빙은 프로야구 생중계부터 최신 드라마, 예능 등 콘텐츠를 무제한으로 즐길 수 있는 OTT 플랫폼이다. T우주는 시청 환경에 따라 ‘티빙 광고형 스탠다드 이용권’, ‘티빙 스탠다드 이용권’, ‘티빙 프리미엄 이용권’을 제공한다. 멜론은 스트리밍 서비스다. T우주에선 멜론 모바일 스트리밍클럽 이용권, 멜론 스트리밍클럽 이용권을 제공하고 있다.
SK텔레콤은 ""올해 새로운 변화를 준비하고 있다면, T우주 구독으로 일상을 채워가길 바란다""고 밝혔다.
홍지후 기자(hoo@zdnet.co.kr)"
