data_id,company,source_type,source_platform,search_keyword,title,text,rating,author,date,url,collected_at
maxai_appstore_0,maxai,app_review,appstore,MaxAI,굳이,"굳이 이 어플을 쓸 필요가 잇나 싶긴 해요 비슷한 계열의 더 좋은 어플이 많아서 진짜 “굳이”임
뭐 돈주는 영어 회화라더니 알게 모르게 주는 돈도 줄어들고..
되게 메리트 있는 시스템인 것처럼 하지만 큰 메리트 없습니다
그렇다고 별로도 아니긴 하고 해지도 못 해서 쓰긴 하는데 돌아간다면 안 할 듯 하네요",2,누아ㅏㅐ다나,2026-01-13,https://apps.apple.com/kr/app/id6498548111,2026-01-18T16:27:42.279628
maxai_appstore_1,maxai,app_review,appstore,MaxAI,습관에 최고에요~~,"맬 공부가 넘 재미있게 잘되요~
벌써2년 하면서 습관이 되었요~~",5,1004몽이,2026-01-10,https://apps.apple.com/kr/app/id6498548111,2026-01-18T16:27:42.279628
maxai_appstore_2,maxai,app_review,appstore,MaxAI,절대하지마,오류 개많고 비쌈 해지할래도 위약금 40만원내라는데 사기꾼들 같다는 생각밖에 안듦,1,김둥실,2026-01-10,https://apps.apple.com/kr/app/id6498548111,2026-01-18T16:27:42.279628
maxai_appstore_3,maxai,app_review,appstore,MaxAI,나쁘지않아요,"계속 발화할 수 있게 해주는 점 좋아요 
근데 가끔 로딩이 길때가 있어서 그런 부분 개선 시켜주면 좋을거같네요",3,ㅇㅇㅇ42,2026-01-09,https://apps.apple.com/kr/app/id6498548111,2026-01-18T16:27:42.279628
maxai_appstore_4,maxai,app_review,appstore,MaxAI,렉과 버퍼링이 너무 심해요,그동안 많은 사람들이 리뷰도 남긴거 같은디 아직도 개선 되어야 할 부분이 많은 것 같아요.. 알림은 공부를 해도 안했다고 오고.. 손을 봐야 할 곳이 많다고 생각이 듭니다,2,매우매우사랗래,2026-01-08,https://apps.apple.com/kr/app/id6498548111,2026-01-18T16:27:42.279628
maxai_appstore_5,maxai,app_review,appstore,MaxAI,인터페이스가 심플하고 재미있게 영어 학습 가능,전화영어는 부담스러워서 요즘 AI로 영어회화를 할 수 있다고 해서 설치 해봤는데 생각보다 전문성도 있고 매일 틈틈히 짧은 시간 내에 영어 회화 연습이 가능한 거 같아요 :) 꾸준하게 하면 능숙한 영어회화… 가능할지도? 힣,5,Susikl_,2026-01-05,https://apps.apple.com/kr/app/id6498548111,2026-01-18T16:27:42.279628
maxai_appstore_6,maxai,app_review,appstore,MaxAI,처음써봤는데 좋네요!!,ai로 영어 회화를 학습해보니까 재밌고 또 효율적인것같아요! 근데 또 전문적이라서 신뢰도 가네요!!! 짧은 시간 내에 확실하게 공부하고 싶을때 사용하면 좋은것같습니다!,5,샤다ㅓㅇ우느,2026-01-05,https://apps.apple.com/kr/app/id6498548111,2026-01-18T16:27:42.279628
maxai_appstore_7,maxai,app_review,appstore,MaxAI,Ai를 통한 영어 회화 학습에 도움되었어요 !,Ai를 통해 쉽고 재미있게 영어를 배울 수 있어 좋아요.,5,UNIT_3233,2026-01-05,https://apps.apple.com/kr/app/id6498548111,2026-01-18T16:27:42.279628
maxai_appstore_8,maxai,app_review,appstore,MaxAI,좋은 앱이에요!,"AI 기반 영어회화 학습으로 짧은 시간 안에 효율적으로 실전 영어를 익힐 수 있으며, 체계적인 피드백으로 전문성도 높은거 같아요! 또한 대화형 콘텐츠 덕분에 재미있게 학습할 수 있었어요!",5,어흥흥호랑이,2026-01-05,https://apps.apple.com/kr/app/id6498548111,2026-01-18T16:27:42.279628
maxai_appstore_9,maxai,app_review,appstore,MaxAI,쌰걀 수업하다가 로딩하느라 멈추는 거 좀 어떻게 해주세요,저 백만년만에 영어가 좀 재미있으려고 하는데 로딩 기다리느라 늘 빡쳐요 ㅜ 젭알 끊기는 것 좀 어떻게 해주세요. 똥 싸다가 끊기는 기분 아시잖아염 ㅜ plz,3,화려강산,2026-01-03,https://apps.apple.com/kr/app/id6498548111,2026-01-18T16:27:42.279628
