data_id,company,source_type,source_platform,search_keyword,title,text,rating,author,date,url,collected_at
maxai_playstore_0,maxai,app_review,playstore,MaxAI,,왕초보인데 말하는 속도가 조금은 빠른듯해요^^;,4,하야니,2026-01-15,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_1,maxai,app_review,playstore,MaxAI,,실질적인 회화연습. 너무 유용합니다,5,김현숙,2026-01-15,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_2,maxai,app_review,playstore,MaxAI,,다른 ai 회화 어플보다 훨씬 인식률 좋고요 오픽 등의시험 특화 PT도 굉장히 만족합니다.,5,이창재,2026-01-14,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_3,maxai,app_review,playstore,MaxAI,,동기부여에 차ㅏ고인 앱입니당!,5,Cubby Kiki,2026-01-11,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_4,maxai,app_review,playstore,MaxAI,,*위약금 41만원 붙으니 잘생각하고 가입하세요* 광고 영상 대부분 과장 광고여서 영어공부하면서 돈번다 하루에 600원~1200원 씩 벌어서 절대 100만원~150만원 못 벌어요. 그냥 기초 적인회화 등등 영어 실력을 늘리고 싶다면 가급적 위약금 없는 앱에서 영어 공부 를 하시길 위약금 붙는것 자체가 학원도 아닌데 Ai앱 으로 운영하면서 위약금을 붙이는것 자체가 사기부분에 적합하다고 봅니다.,1,미우,2026-01-08,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_5,maxai,app_review,playstore,MaxAI,,나름 지속하게 되어서 좋습니다 아직까진 그래도 무난해요!,5,박민주,2026-01-07,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_6,maxai,app_review,playstore,MaxAI,,최고 였어요 AI 지만 친구가 생긴것 같습니다,5,김민수,2026-01-06,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_7,maxai,app_review,playstore,MaxAI,,최상의 실용적 영어습득 방법,5,Jaegyun PARK,2025-12-31,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_8,maxai,app_review,playstore,MaxAI,,효과 좋아요,5,JAEHYUK PARK,2025-12-28,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_9,maxai,app_review,playstore,MaxAI,,타사 앱 처럼 복습주기 좀 넣어주세요.,4,JongWon Seo,2025-12-26,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_10,maxai,app_review,playstore,MaxAI,,맥스ai 처음써보는데 너무 재밌어용 ㅋㅋㅋ 대화 하는거 자체가 재밌어서 자주 해요,5,김은효,2025-12-23,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_11,maxai,app_review,playstore,MaxAI,,"계속해서 하니까 예전실력에는 문법어휘 토익중심이였는데 회화까지더해져서 머리는 좀 아프지만 발음, 대화능력이 천천히 쌓이고 있어서 만족합니다.",5,bs포르튜나 (1st),2025-12-23,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_12,maxai,app_review,playstore,MaxAI,,ai 영어 학습 처음 써봤는데 좋아요!,5,호야가을,2025-12-23,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_13,maxai,app_review,playstore,MaxAI,,연결 오류에 인식 오류에.. 오류범벅인 앱을 만들어 놓고 돈 받는게 웃챙..,1,한설지,2025-12-23,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
maxai_playstore_14,maxai,app_review,playstore,MaxAI,,사용해보니 학원 다니는 것보다 이 앱 사용하는 게 이익입니다,5,안성진,2025-12-23,https://play.google.com/store/apps/details?id=com.studymax.maxai_b2c,2026-01-18T16:22:37.361948
