title,url,platform,keyword,company,source_type,collected_at
러시아인들은 중국에서 새로운 롤모델을 찾는다 (뉴욕 타임스),https://www.clien.net/service/board/park/19022137?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 영어,pagoda,community,2026-01-18T17:07:40.296703
영어회화,https://www.clien.net/service/board/cm_japanlive/18875506?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 영어,pagoda,community,2026-01-18T17:07:40.296703
귀가 트이는 영어(EBS) 개편했었네요.,https://www.clien.net/service/board/park/18516567?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 영어,pagoda,community,2026-01-18T17:07:40.296703
"2020년 1월 1일 미얀마 여행기 10 끝 (바고, 양곤)",https://www.clien.net/service/board/use/17384551?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 영어,pagoda,community,2026-01-18T17:07:40.296703
"2020년 1월 1일 미얀마 여행기 9 (바고도착, 짜익티요)",https://www.clien.net/service/board/use/17384458?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 영어,pagoda,community,2026-01-18T17:07:40.296703
"2020년 1월 1일 미얀마 여행기 3 (바간, 뽀빠산)",https://www.clien.net/service/board/use/17382448?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 영어,pagoda,community,2026-01-18T17:07:40.296703
일본어 공부 어떻게 하고 계시나요? (중급→고급),https://www.clien.net/service/board/cm_japanlive/17292874?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 영어,pagoda,community,2026-01-18T17:07:40.296703
한자인 줄 알았는데 영어인 단어.jpg,https://www.clien.net/service/board/park/16329538?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 영어,pagoda,community,2026-01-18T17:07:40.296703
영어회화가 필요한 분들께 전화영어를 추천 드립니다.,https://www.clien.net/service/board/park/16313678?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 영어,pagoda,community,2026-01-18T17:07:40.296703
교사의 폭력이 일상이었던 세대들에게,https://www.clien.net/service/board/park/15897720?combine=true&q=%ED%8C%8C%EA%B3%A0%EB%8B%A4+%EC%98%81%EC%96%B4&p=0&sort=recency&boardCd=&isBoard=false,clien,파고다 영어,pagoda,community,2026-01-18T17:07:40.296703
