title,url,platform,keyword,company,source_type,collected_at
뉴시스,https://v.daum.net/channel/21/home,daum_news,파고다 영어,pagoda,news,2026-01-18T17:07:40.295787
2,http://v.daum.net/v/20251220081145223,daum_news,파고다 영어,pagoda,news,2026-01-18T17:07:40.295787
전자신문,https://v.daum.net/channel/82/home,daum_news,파고다 영어,pagoda,news,2026-01-18T17:07:40.295787
"파고다토쿨, 영어·중국어·일본어 '3회 무료 체험' 이벤트",http://v.daum.net/v/20220713102103742,daum_news,파고다 영어,pagoda,news,2026-01-18T17:07:40.295787
"파고다인강, 피터 빈트 '영국 문화 영어 축구EPL편' 강의 오픈",http://v.daum.net/v/20231201134004555,daum_news,파고다 영어,pagoda,news,2026-01-18T17:07:40.295787
"파고다, '어쩌다 영어터짐' 베트남 출판사에 수출",http://v.daum.net/v/20210322134106778,daum_news,파고다 영어,pagoda,news,2026-01-18T17:07:40.295787
이데일리,https://v.daum.net/channel/6/home,daum_news,파고다 영어,pagoda,news,2026-01-18T17:07:40.295787
"파고다교육그룹, 영어교재 '어쩌다 영어터짐' 베트남 판권 수출",http://v.daum.net/v/20210322082132940,daum_news,파고다 영어,pagoda,news,2026-01-18T17:07:40.295787
한국경제,https://v.daum.net/channel/3/home,daum_news,파고다 영어,pagoda,news,2026-01-18T17:07:40.295787
파고다북스 출간 '어쩌다 영어터짐' 판권 베트남에 수출,http://v.daum.net/v/20210322080102511,daum_news,파고다 영어,pagoda,news,2026-01-18T17:07:40.295787
"파고다인강·파고다원, 제로웨이스트 컬래버 굿즈 선봬",http://v.daum.net/v/20231207155004987,daum_news,파고다원,pagoda,news,2026-01-18T17:07:40.295787
머니S,https://v.daum.net/channel/157/home,daum_news,파고다원,pagoda,news,2026-01-18T17:07:40.295787
"파고다원, 추석 맞이 고객 이벤트 진행",http://v.daum.net/v/20150921144608433,daum_news,파고다원,pagoda,news,2026-01-18T17:07:40.295787
"파고다원, 특별 할인 이벤트 진행",http://v.daum.net/v/20190314145203575,daum_news,파고다원,pagoda,news,2026-01-18T17:07:40.295787
"파고다원, 창립 36주년 기념 특별 할인 이벤트 진행",http://v.daum.net/v/20190314200005586,daum_news,파고다원,pagoda,news,2026-01-18T17:07:40.295787
헤럴드경제,https://v.daum.net/channel/19/home,daum_news,파고다원,pagoda,news,2026-01-18T17:07:40.295787
"[헤럴드에듀] 파고다원, 창립 36주년 기념 특별 할인 이벤트 진행",http://v.daum.net/v/20190315073249954,daum_news,파고다원,pagoda,news,2026-01-18T17:07:40.295787
뉴스1,https://v.daum.net/channel/396/home,daum_news,파고다원,pagoda,news,2026-01-18T17:07:40.295787
"파고다원, 창립 36주년 기념 특별할인..수강료 최대 10% 할인",http://v.daum.net/v/20190314112727538,daum_news,파고다원,pagoda,news,2026-01-18T17:07:40.295787
세계일보,https://v.daum.net/channel/38/home,daum_news,파고다 토익,pagoda,news,2026-01-18T17:07:40.295787
[파고다 강남 끝토익 RC김나래] PART 5,http://v.daum.net/v/20260115182605028,daum_news,파고다 토익,pagoda,news,2026-01-18T17:07:40.295787
[파고다 강남 끝토익 RC김나래] PART 5,http://v.daum.net/v/20260108183324094,daum_news,파고다 토익,pagoda,news,2026-01-18T17:07:40.295787
[파고다 강남 끝토익 RC김나래] PART 5,http://v.daum.net/v/20260101190124319,daum_news,파고다 토익,pagoda,news,2026-01-18T17:07:40.295787
[파고다 강남 끝토익 RC김나래] PART 5,http://v.daum.net/v/20251225181729101,daum_news,파고다 토익,pagoda,news,2026-01-18T17:07:40.295787
[파고다 강남 끝토익 RC김나래] PART 5,http://v.daum.net/v/20251218183305893,daum_news,파고다 토익,pagoda,news,2026-01-18T17:07:40.295787
머니투데이,https://v.daum.net/channel/5/home,daum_news,파고다어학원,pagoda,news,2026-01-18T17:07:40.295787
2,http://v.daum.net/v/20251111050149949,daum_news,파고다어학원,pagoda,news,2026-01-18T17:07:40.295787
"파고다어학원, 평생교육바우처 선정",http://v.daum.net/v/20231018112204402,daum_news,파고다어학원,pagoda,news,2026-01-18T17:07:40.295787
데일리안,https://v.daum.net/channel/43/home,daum_news,파고다어학원,pagoda,news,2026-01-18T17:07:40.295787
우리은행 '원비즈플라자'에 파고다어학원 강의 탑재,http://v.daum.net/v/20240331090025129,daum_news,파고다어학원,pagoda,news,2026-01-18T17:07:40.295787
파이낸셜뉴스,https://v.daum.net/channel/139/home,daum_news,파고다어학원,pagoda,news,2026-01-18T17:07:40.295787
"우리은행 ""원비즈플라자에서 파고다어학원 강의 들으세요""",http://v.daum.net/v/20240331090149247,daum_news,파고다어학원,pagoda,news,2026-01-18T17:07:40.295787
서울경제,https://v.daum.net/channel/129/home,daum_news,파고다어학원,pagoda,news,2026-01-18T17:07:40.295787
우리은행 '원비즈플라자'서 파고다어학원 강의 듣는다,http://v.daum.net/v/20240331100109184,daum_news,파고다어학원,pagoda,news,2026-01-18T17:07:40.295787
"우리은행, 원비즈플라자에 파고다어학원 강의 탑재",http://v.daum.net/v/20240331090046181,daum_news,파고다어학원,pagoda,news,2026-01-18T17:07:40.295787
한국경제TV,https://v.daum.net/channel/134/home,daum_news,파고다어학원,pagoda,news,2026-01-18T17:07:40.295787
