data_id,company,source_type,source_platform,search_keyword,title,text,rating,author,date,url,collected_at
pagoda_playstore_0,pagoda,app_review,playstore,파고다원,,태블릿 가로화면 전환 좀 시켜주세요.....,2,Yujeong Han,2023-12-10,https://play.google.com/store/apps/details?id=com.pagoda.one.srunning,2026-01-18T17:04:32.939737
pagoda_playstore_1,pagoda,app_review,playstore,파고다원,,로그인도 안되고 최악이네요. 안드로이드인데 로그인 됐다 안됐다.. 개선해주세요.,1,이석희,2021-03-13,https://play.google.com/store/apps/details?id=com.pagoda.one.srunning,2026-01-18T17:04:32.939737
pagoda_playstore_2,pagoda,app_review,playstore,파고다원,,자동로그인 기능좀 넣어주세요. 핸드폰 앱 올때마다 로그인 다시하기 불편해요,2,Sean lee,2020-09-11,https://play.google.com/store/apps/details?id=com.pagoda.one.srunning,2026-01-18T17:04:32.939737
pagoda_playstore_3,pagoda,app_review,playstore,파고다원,,제발 예전 버전으로 돌려주세요,1,jinsung jung,2020-05-11,https://play.google.com/store/apps/details?id=com.pagoda.one.srunning,2026-01-18T17:04:32.939737
pagoda_playstore_4,pagoda,app_review,playstore,파고다원,,완전 불편합니다.,1,TaeSang Eum,2020-05-09,https://play.google.com/store/apps/details?id=com.pagoda.one.srunning,2026-01-18T17:04:32.939737
pagoda_playstore_5,pagoda,app_review,playstore,파고다원,,너무 불편함,1,Google 사용자,2020-04-26,https://play.google.com/store/apps/details?id=com.pagoda.one.srunning,2026-01-18T17:04:32.939737
pagoda_playstore_6,pagoda,app_review,playstore,파고다원,,노답,1,Google 사용자,2019-08-15,https://play.google.com/store/apps/details?id=com.pagoda.one.srunning,2026-01-18T17:04:32.939737
pagoda_playstore_7,pagoda,app_review,playstore,파고다원,,저 원래 이런 거 잘 안 남기는데요 유튜브 파고다 광고 좀 어떻게 해주시면 안되나요 화면이 시뻘개서 눈만 아파요 파고다 잘 알지도 못했는데 이젠 좀 싫어질라 그래요,1,Google 사용자,2019-07-09,https://play.google.com/store/apps/details?id=com.pagoda.one.srunning,2026-01-18T17:04:32.939737
pagoda_playstore_8,pagoda,app_review,playstore,파고다원,,동영상 재생이 안 됩니다.,1,Google 사용자,2019-05-07,https://play.google.com/store/apps/details?id=com.pagoda.one.srunning,2026-01-18T17:04:32.939737
pagoda_playstore_9,pagoda,app_review,playstore,파고다원,,"Video A, watch video 가 구동을 안합니다. 조치 부탁드립니다. 4월 말에 업데이트된 어플도 여전히 Video A, watch video 가 구동을 안합니다. 제발 제대로 좀 고쳐줘요. 도대체 이게 뭡니까?",2,Google 사용자,2019-04-28,https://play.google.com/store/apps/details?id=com.pagoda.one.srunning,2026-01-18T17:04:32.939737
