platform,rating,title,text,author,date,version
App Store,3,노쇼에 대한 조치가 너무 부족합니디,서로 약속을 잡은 것인데 튜터 측에서 노쇼를 해버리고 수업권만 띡 쥐어주면 제가 연습하고 기다린 시간은 무엇이 되는 건가요ㅠㅠ,아보카도떡볶이,2026-01-11,9.5.1
App Store,3,아이패드 화면 불편/어플 버벅거림,아이패드로 진행시 앱화면이 작아지거나 이래서 불편하고 모바일도 튜터 스케줄 알람 떠서 누르면 앱 화면 하얗게 되면서 먹통 최근들어 어플 자체에서 버벅거림 심해짐,moogg,2026-01-09,9.5.1
App Store,5,아이패드 최적화,"링글 4개월 째 잘 사용하고 있습니다. 특히 1대1 상담 빠르게 대응해주셔서 좋아요. 예복습할 때 아이패드를 사용하곤하는데, 아이패드 landscape UI도 최적화해주시면 좋겠네요",왈..,2026-01-04,9.5.0
App Store,1,앱 개선 좀 하세요,앱이 너무 무겁고 오류가 잦아요. 무엇보다 수업준비한 내용이 날아갈 때가 많아서 너무 짜증나요. 앱으로 수업 준비도 하고 진행도 하는데 앱이 이 모양이라 공부할 맛이 안나요,룰루벨,2025-12-22,9.4.10
App Store,5,접근이 안돼요,"왠지 지금 next.js 서버 털리셔서 채굴당하고 계실 것 같은느낌인데, npm audit --fix 하셔야할듯",랜덤닉이름,2025-12-22,9.4.10
App Store,3,아이패드 앱 개발 안되나요,"아이패드 활용이 안되는게 넘넘 아쉽네요. 세로모드로 보여지고, 튜터 노트 보기도 어렵구요 ㅠㅠ",zzbora,2025-12-10,9.4.10
App Store,5,훌륭한 영어공부어플,3년이상 쓰고 있지만 넘 만족하고 좋습니다.,팡세77,2025-11-21,9.4.10
App Store,1,광고문자인데 공지인 것 처럼 문자보냄,"앞단에 광고 표시, 후면에 수신거부번호라도 붙어있으면 합법적으로 광고인가보다는 생각이라도 들었을텐데 편법으로 공지인것처럼 광고문자를 보내니 어플 자체에 대한 비호감이 생김",1!1!1!1!1!1111,2025-11-21,9.4.10
App Store,1,앱만 잘만들면 괜찮은 서비스,"제곧내입니다.. 앱 버그가 너무 많아요 앱개발팀에 QA하는 분이 없나요.. 없으면 외주로 줘서라도 하셔야할듯요. 서비스는 좋은데 앱이 못받춰주네요. 아이패드에서 가로로 줌미팅하는것도 안되고,, 질문은 몇번씩을 눌러야 넘어가는건지. 잠깐 다른 앱으로 넘어갔다가 돌아오면 그대로 뻑나버려요. 결국은 앱을 껐다 켜야되는데 몇번씩 끄는질 모르겠어요",901진우짱,2025-10-27,9.4.0
App Store,1,모바일 앱 버벅거림이 너무 심합니다,"링글 서비스 자체는 3년이상 사용중인데 대중교통 이동 중이나 시간이 날 때 모바일로 수업준비를 하려고 하면 어려움이 너무 많습니다. 모바일에서 수업 준비 시 버튼 탭이 잘 되지 않는 문제나, 푸시메시지를 눌러 들어갔을 때 딥링크 연결이 잘 안되서 결국 앱을 재시작해야 하는 문제, 1:1 수업의 예정된 수업을 불러오는 데 로딩이 너무 오래걸리는 문제는 앱 업데이트를 해도 버그가 개선되지 않아 남깁니다. AI 전화 등 신규 기능 개발도 좋지만 기본적인 필수 기능들에 대한 개선이 없으면 만족도가 떨어질 수밖에 없는 것 같습니다.",가보쟈고,2025-10-25,9.4.0
App Store,2,"최악의 ux, 최악의 최적화",너무너무 느리고 버벅거립니다 제가 써본 앱 중에 제일 구려요... 너무 느리고 앱이 너무 구려서 들어가기가 싫어요.,문어입니다,2025-10-04,9.3.0
App Store,5,제발 앱 개선좀,해외살고있는데 앱 진짜 너무 불안정해요. 휴대폰 셋팅이 영어로 바뀌어서 그런지 로그인도 안됨ㅋㅋ아 스트레스,삼성동거북목,2025-09-16,9.2.2
App Store,3,앱 개선 좀 제발,비싼 돈 주고 사용하는데 앱 상태가 오류도 자주나고 개선이 없음 AI 영어 전화는 AI가 안 받음 ㅋㅋㅋㅋ 수업 질문 선택 버튼 맨날 안 눌림 링글 알림 떠서 들어가면 앱 먹통임 백그라운드에서 삭제했다가 다시 들어가야함 개선이 정말 필요합니다..;;,@@2527,2025-08-06,9.2.0
App Store,1,별로,상담사에따라 수업 해지 시 위약금이 있댔다가 없댔다가 말도 맘대로고 신뢰가 안가네요.,zxczxczxvzv,2025-07-07,9.1.8
App Store,1,어플이 안 열려요,"아이폰 유저입니다. 업데이트 최신버전으로 다 되어있구요.
내일 수업 준비하려는데 몇분째 ‘Ringle’ 글자만 뜨고 어플이 켜지지 않습니다. 컴퓨터로만 수업 준비할 수 있는 건가요…",asbdidsoxk,2025-07-07,9.1.8
App Store,1,앱 완성도 떨어져요,"앱이 반웅속도 너무 느리고 계속 끊어지거나 오류가 많습니다. 
회사 계정이라 그냥 참고 쓰지만 빠른개선 되면 좋겠네요.",Mh0070,2025-06-24,9.1.5
App Store,4,링글,진짜 링글 좋아요!!! 근데 아이패드로 수업할때 세로로 보여져서 좀 불편하네요.. 가로로는 지원 안되나요ㅠ,니카모모,2025-06-08,9.1.5
App Store,3,AI calling,"AI 전화 포함 패키지를 구매했는데, 바로 전화하기를 누르면 체험수업을 진행 후 추가결제가 된다고 나옵니다 문의는 어디로 할 수 있는건가요",Harry4191,2025-06-03,9.1.3
App Store,2,로그인안됨,카톡으로 눌렀더니 이미 가입된 번호라 뜨고 네이버도 안되고 개명해서 그런지 어떤 방법으로도 로그인이 안됨 문의하라는데 로그인 화면에 문의하는 창도 없고 어쩌란거임,이거진짜빨리고쳐봐요좀,2025-05-20,8.3.5
App Store,4,앱 안정성 개선 요청,"안녕하세요. 링글 애용자 입니다. 제공되는 기능에 전체적으로 만족합니다. 다만 모바일 앱 안정성에 문제가 많아요
. 앱 백그라운드 실행 이후 재진입시 하얀 화면 만 나오고 무반응 
. 백그라운드 이후 지난 수업 듣기 시 싱크 안맞는 문제 , 구간 제어 안되는 문제
. 백그라운드 이후 404 메시지 문제 등

앱 개선 되면 더욱 나은 서비스가 될 것 같네요. 응원합니다",donkeysama,2025-05-13,8.3.5
App Store,2,모바일 영어 교육 서비스 중 앱 편의성 최하,"1:1 수업 등 중요한 영역에 내용 자체가 로딩되지 않아서 앱 지우고 다시 다운로드 받기만 3-4번입니다

링글 서비스 자체는 좋다고 생각하지만, 요즘 나오는 모바일 영어 교육 서비스랑 비교했을 때, 가격까지 고려한다면 앱 편의성은 최하점이라고 생각합니다",reviewalllllll,2025-05-10,8.3.5
App Store,4,아이패드 버전이 필요해요!,"수업 컨텐츠는 너무너무 만족하고있지만 아이패드로 수업을 듣기는 너무 불편해요ㅠㅠ 물론 컴퓨터로 수업을 듣는게 훨씬 간편한건 맞지만,, 아이패드로 인사이트를 읽거나 수업 준비를 하는데 화면이너무 작게 나와서 늘 불편했습니다.. 꼭 아이패드 버전을 만들어주세요..!! 그리고 인사이트를 읽을때 단어장기능 혹은 사전기능이 있었으면 좋겠어요! 모르는 단어를 찾아보고 저장해두면 훨씬 학습이 편하고 좋을것같습니다!",dhiwndnfhejejs,2025-03-10,8.2.6
App Store,4,메일... 빈도 수 좀 줄여주세요,"앱이랑 기능(문장 피드백), 타겟 충족이 넘 좋다고 생각해요ㅠ 근데 별개로 메일 특히 지금은 알람 껐지만 ........ 너무 많이 와요",noonoooupdate,2025-02-12,8.2.6
App Store,4,유용하게 쓰고 있습니다. 다만 몇가지 개선 부탁드립니다.,"오랜기간동안 링글로 영어공부 하고 있는 유저입니다. 살면서 만나기 힘든 튜터들을 만나 얘기할 수 있어서 참 좋은 것 같아요. 다만 몇가지만 개선해주시면 더 좋을 것 같습니다 !!
- 아이패드로 어플 사용하기가 조금 불편한 것 같아요. 가로모드 지원 부탁 드립니다 ! 
- 컴퓨터에서도 AI튜터 이용 가능하면 더 잘 쓸 수 있을 것 같아요",UJNYILCATX,2025-02-07,8.2.6
App Store,5,아이패드용 앱은 언제 나오나요?,링글 너무 잘쓰고 있습니다 감사합니다! 다만 아이패드용 앱이 없는 점이 너무 아쉽습니다 ㅠ 혹시 언제쯤 개발될까요?,아느므,2025-01-13,8.2.6
App Store,2,들어올 때마다 업데이트하라고,"앱 푸시 알림 떠서 들어갈 때도 그렇고 그냥 앱 열었을 때도 그렇고
몇주째 업데이트하라는 팝업이 계속 떠서 불편해요
앱 최신앱이고 업데이트도 다 되어있습니다",삑삑망고,2024-12-18,8.2.6
App Store,3,서비스는 좋지만 앱/웹 기능 개선이 필요합니다.,"저는 6개월째 링글을 잘 이용하고 있는 mba 준비생입니다.

링글이 다 좋은데 앱/웹 환경에서 작동이 이상한 부분들이 있어요. 분명히 개선이 필요해 보입니다.

1. 모바일에서, 제 눈에 보이는 메뉴를 클릭하면 그 근방에 있는 메뉴로 연결됩니다. 재정렬하라고 로딩 시간을 기다려도 마찬가지예요. 

2. 모바일에서, 어떤 페이지로 들어가면 뒤로 돌아가기, 홈으로 가기 같은 링크가 전혀 없습니다. 그냥 껐다 재접속 해야해요.

3. 웹에서, 어떤 페이지에서 스크롤이 안 내려갑니다. 웨비나 소개 페이지였고, 저는 맥북 유저예요.",lillybrown-,2024-11-08,8.2.5
App Store,1,오류 좀 개선해주세요,Ai튜터로 바뀐 이후로 단어 인식이 전혀 안되고 오류만 떠서 학습 진행을 할 수가 없어요… 벌써 일주일도 넘은것 같은데 빨리 개선좀…,Fudnr,2024-10-30,8.2.5
App Store,1,Ai 튜터,Ai 튜터로 업글되고 나서 프로그램 사용하면 단어를 인식하지 못했다고 나옵니다. 언능 개선 부탁드려요,ㅏㅡ으트ㅜㅇㅇ,2024-10-21,8.2.5
App Store,2,수업 예약 안 되는 버그 픽스,"수업예약이 안 됩니다
시간대까비 누르는 건 되는데
그 이후로 넘어가질 않습니다
빨리 수업 예약하고싶은데 안 돼서 너무 답답하네요
빨리 고쳐주세요!!!!
웹도 마찬가지입니다",소오오오오오오오옹,2024-09-08,8.2.0
App Store,1,지금 렉 장난 아님,빨리 시정해주세여 앱 구동이 안돼요,운양동인기쟁이,2024-09-01,8.1.48
App Store,5,맞춤형 난이도 대박입니당,"인터뷰 대비로 단기로 결제했는데요, 제 니즈에 딱 맞는 튜터를 찾을 수 있는게 최대 장점입니다.
다른 언어도 링글같은 어플이 있다면 배우기 너무 수월할 것 같은데 언어 확장 계획은 없으신가요? 같은 비즈니스 모델로 다른 언어로 확장하는 것도 대박날 것 같아요! 링글팀 응원합니다",흰나비개쩔00,2024-07-05,8.1.41
App Store,1,쿠폰,5만원짜리 쿠폰을 어느 플랜을 구매하든 쓸 수 있는 것처럼 지급하지 않으셨으면 좋겠습니다. 신나서 이용권 구매하러 갔다가 짜게 식습니다.,둔타벅스,2024-06-24,8.1.39
App Store,5,수업준비 모드에서 듣기 할 때,"스크롤이라고 해야될까요? 듣고 있는 부분을 다시 듣거나 앞뒤로 옮기고 싶은데 전혀 작동을 안해요.
화면 나갔다가 다시 들어도 이어듣기 안되고 1초부터 시작인데, 뒤로도 못가니까답답하네요
5초뒤 버튼 이런게 있긴한데 전혀 먹통이에요",hpw해줘요,2024-06-21,8.1.39
App Store,4,알람 눌러도 글로 안 넘어가요 (또…),"이렇게 된지 좀 됐는데.. 개선이 안 되고 있어서 남깁니다. 아이폰 홈, 링글 어플 내 알람 게시판 다 아티클 본 글로 안 넘어가네요

추가: 한번 오류 수정되었다가 또 오류나네요… 뭔가 엉키신듯….",likoo617,2024-06-04,8.1.36
App Store,2,"계속 사용할지는 잘,,,,","수업은 영어 실력 향상에 도움이 되는 것 같긴 한데, 갑작스럽게 인터넷 연결이 안 되거나 하는 등의 이유로 수업에서 나가진 이후에 인터넷 연결 문제를 해결하고 나서 다시 들어갔는데 수업 시간이 끝난 이후라 튜터랑 소통을 할 수 없었던 적이 있었는데, 그 때 튜터랑 소통할 방법이 없어서 아쉬웠던 적이 있었습니다. 그리고 가장 좀 그랬던 점은 별점 5점 안주고 4점만 줘도 굉장히 싫어하고 튜터가 학생에게 보복성?으로 기분 나쁜 코멘트를 남긴다는 점,,,,,,,,돈 내고 수업 들으러 와서 기분 나빠지는 경험을 해서 2달권 끊어놓긴 했는데 계속 사용할지 고민되네요",Ssongg___,2024-05-28,8.1.36
App Store,1,현재 웹화면이 원활하지 않은데 왜이러죠?,어제부터 로그인만하면 화면이 공백으로 넘어가지 않아요 ㅜ 다른 웹 익스플로러로 연결해봐도 같은 상황입니디.... 모바일로 수업듣기 힘든데 빨리 조치해주세요,ghtyasqw,2024-05-15,8.1.36
App Store,1,기본적인 튜터 훈련 좀..,튜터 다섯명 중 두명의 표정이나 말투가 너무 불친절합니다,구둥우우욷,2024-05-12,8.1.36
