title,url,search_keyword,company,source_type,source_platform,content,collected_at
토익 공부하려는데 산타토익,https://www.teamblind.com/kr/post/%ED%86%A0%EC%9D%B5-%EA%B3%B5%EB%B6%80%ED%95%98%EB%A0%A4%EB%8A%94%EB%8D%B0-%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5-uhstwveD,산타토익,santa,community,blind,,2026-01-18T14:05:51.673997
산타토익,https://www.teamblind.com/kr/post/%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5-cronZtij,산타토익,santa,community,blind,,2026-01-18T14:05:51.674030
산타토익 어이없네,https://www.teamblind.com/kr/post/%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5-%EC%96%B4%EC%9D%B4%EC%97%86%EB%84%A4-TwpSa2zT,산타토익,santa,community,blind,,2026-01-18T14:05:51.674048
형들 산타토익 500% 환급 ㄹㅇ 됨?,https://www.teamblind.com/kr/post/%ED%98%95%EB%93%A4-%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5-500-%ED%99%98%EA%B8%89-%E3%84%B9%E3%85%87-%EB%90%A8-fkZb4CQn,산타토익,santa,community,blind,,2026-01-18T14:05:51.674070
산타토익 장학금 진짜 줌?,https://www.teamblind.com/kr/post/%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5-%EC%9E%A5%ED%95%99%EA%B8%88-%EC%A7%84%EC%A7%9C-%EC%A4%8C-j6Kp7h4v,산타토익,santa,community,blind,,2026-01-18T14:05:51.674097
뤼이드,https://www.teamblind.com/kr/post/%EB%A4%BC%EC%9D%B4%EB%93%9C-MkjSAQ5E,뤼이드,santa,community,blind,,2026-01-18T14:05:54.579432
뤼튼 ax cic,https://www.teamblind.com/kr/post/%EB%A4%BC%ED%8A%BC-ax-cic-e5e6b72f,뤼이드,santa,community,blind,,2026-01-18T14:05:54.579459
뤼튼 다니는 분들!,https://www.teamblind.com/kr/post/%EB%A4%BC%ED%8A%BC-%EB%8B%A4%EB%8B%88%EB%8A%94-%EB%B6%84%EB%93%A4-6mf2mhsu,뤼이드,santa,community,blind,,2026-01-18T14:05:54.579477
뤼이드 ai 직무 어떤가요?,https://www.teamblind.com/kr/post/%EB%A4%BC%EC%9D%B4%EB%93%9C-ai-%EC%A7%81%EB%AC%B4-%EC%96%B4%EB%96%A4%EA%B0%80%EC%9A%94-uLykq23M,뤼이드,santa,community,blind,,2026-01-18T14:05:54.579494
뤼이드 데이터 엔지니어 직군 현황,https://www.teamblind.com/kr/post/%EB%A4%BC%EC%9D%B4%EB%93%9C-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EC%A7%81%EA%B5%B0-%ED%98%84%ED%99%A9-fYCufMKm,뤼이드,santa,community,blind,,2026-01-18T14:05:54.579513
"인강 영어 추천, 시원스쿨 vs 야나두 vs 산타토익 vs ???",https://www.teamblind.com/kr/post/%EC%9D%B8%EA%B0%95-%EC%98%81%EC%96%B4-%EC%B6%94%EC%B2%9C-%EC%8B%9C%EC%9B%90%EC%8A%A4%EC%BF%A8-vs-%EC%95%BC%EB%82%98%EB%91%90-vs-%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5-vs-SW4k2v3g,산타 영어,santa,community,blind,,2026-01-18T14:05:59.804312
혹시 영어 공부 어플 추천 해 줄 사람?(내가 해본 영어 어플 후기도 있음),https://www.teamblind.com/kr/post/%ED%98%B9%EC%8B%9C-%EC%98%81%EC%96%B4-%EA%B3%B5%EB%B6%80-%EC%96%B4%ED%94%8C-%EC%B6%94%EC%B2%9C-%ED%95%B4-%EC%A4%84-%EC%82%AC%EB%9E%8C%EB%82%B4%EA%B0%80-%ED%95%B4%EB%B3%B8-%EC%98%81%EC%96%B4-%EC%96%B4%ED%94%8C-%ED%9B%84%EA%B8%B0%EB%8F%84-%EC%9E%88%EC%9D%8C-4F3HXaUF,산타 영어,santa,community,blind,,2026-01-18T14:05:59.804352
토익 봤는데,https://www.teamblind.com/kr/post/%ED%86%A0%EC%9D%B5-%EB%B4%A4%EB%8A%94%EB%8D%B0-RRe1cic7,산타 영어,santa,community,blind,,2026-01-18T14:05:59.804367
내가 통제하는 엄마같아서 무서워,https://www.teamblind.com/kr/post/%EB%82%B4%EA%B0%80-%ED%86%B5%EC%A0%9C%ED%95%98%EB%8A%94-%EC%97%84%EB%A7%88%EA%B0%99%EC%95%84%EC%84%9C-%EB%AC%B4%EC%84%9C%EC%9B%8C-c7f7k15z,산타 영어,santa,community,blind,,2026-01-18T14:05:59.804381
