title,url,date,platform,company,source_type,search_keyword,collected_at,text
생각보다 괜찮은 산타토익 앱 후기 (직장인 토익공부 앱 추천),https://www.clien.net/service/board/use/17086659?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"각 잡고 토익 공부하시는 취준생, 수험생들을 제외하고 직장인분들 중에 캐주얼하게 영어공부 혹은 출퇴근시 좀 더 건설적으로 인생을 설계하기 위한 추천앱입니다.

예전부터 종이에다가 OMR마킹하고 또 답안지 찾아 체크하고 하는 행위를 극도록 싫어했던터라, 비슷한 유형의 앱들을 많이 찾아봤지만 결론적으로 산타토익(구 riiid?) 으로 정착을 하게 되었습니다.

광고하기는 무슨 AI기반의 어쩌고 광고를 하는데, 정확도는 딱히 모르겠고 그것보다는 근본적으로 그냥 앱구성이 깔끔하고, 심플하게 문제가 제시되고, 답을 고르면 바로 답안과 해설이 나오게 된다는게 장점입니다. 이게 뭐라고 장점이냐? 라고 하실분이 계실지 모르겠는데, 의외로 많은 앱들이 제시된 모든 문제를 다 풀지않으면 답이 안나오는 앱이 많고, 지저분하고 난잡하게 구성된 앱이 정말정말 많기 때문에...... (도무지 이해가 안감)

전체적인 레이아웃입니다. 심플해서 마음에 듭니다.

직장인이라 취미로 영어공부를 하거나 그냥 현상유지를 위해서 공부를 하시는거면, 각 잡고 모의고사 몇회분을 푼다던지 문제집을 사서 푼다던지 하는 방식보단, 출퇴근 길에 몇분-몇십분 짬을 내어서 공부를 하실텐데, 앱으로 공부하는게 의외로 효과도 좋고 재미도 좋아서 나름 영어 실력을 유지하는데 도움을 많이 받았습니다. 2022년 세운 목표중에 유일하게 조기 목표달성한 토익점수 따기..
실제 문제가 나오는 화면구성인데,  위아래 남은 문제수, 책갈피 등이 자리를 차지하고 빈공간이 많아 스크롤을 많이 해야합니다.
그나마 장점인 멀티디바이스 기능을 이용하여, part 7처럼 지문이 긴 경우는 웹으로 접속하여 태블릿이나 노트북으로 접속해서 풀었습니다. 바꾸어 말하면 모바일 화면 구성이 너무 이상합니다.

가격은 워낙 패키지가 다양해서 어떤 패키지는 여러 조건 맞는 경우 (주로 고득점) 의 경우 돈을 돌려주는 환급패키지가 있기도 한데 이벤트성으로 기간한정이니 한번 본인에게 맞는 패키지를 찾아보시는게 좋을 것 같습니다.

[장점]
추천학습이 있어 하루에 하루분만 풀어서 꾸준히 지속 가능
중간 중간 강의도 있고, 단어도 암기퀴즈도 있고 지루하지 않게 문제를 추천해 줌
AI분석을 통해서 점수를 예측해줌
오답노트 등 있을건 다 있음
멀티 디바이스 기능
너무 빨리 풀면 빨리푼다, 대충 찍지말라 등등 멘트가 찰짐
토익책 사러 서점에 가는 것 자체가 힘든 직장인에게는 이보다 더 쉬울수 없음

[단점]
긴 지문의 경우 화면 구성이 답이 없다 최소 8인치 이상의 태블릿 추천
캐주얼하게 풀기에는 좋으나 만점을 목표로 한다면 다른 방법(모의고사)을 병행하는 것을 추천
뭘 골라도 뭔가 손해보는 듯한 요금구성
고객센터가 좀 불편(카톡만 됨)




딱히 이직을 목표로 하거나, 토익이 필요한 상황은 아니었지만.. 그냥 점수를 유지하고 있으면 쓸데가 있을까 싶어서 3개월 동안 매일 출퇴근 30분을 불태운 결과입니다.  소소하지만, 이 앱과 유튜브(영어로 된 콘텐츠 시청)로만 공부해서 얻은 성적입니다.

추가결재하여 부족한 RC를 채울까 아니면 2년뒤에 다시 도전할까 고민이 되는군요.

이상으로 간단한 사용기를 마칩니다"
아이패드 프로 12.9 샀는데 주변 액세서리(?) 추천 부탁드립니다,https://www.clien.net/service/board/cm_iphonien/16302607?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"오늘 배송왔는데요. 

케이스는 케이안꺼 구매해놨고요, 애플펜슬도 구매했습니다. 

주 목적은 이직 준비용 공부(50%), 독서(25%), 유튜브 및 넷플릭스(25%) 정도인데요. 

공부용으로 책 스캔 떠서  PDF 뷰어로 필기하거나 산타 토익 어플같은걸로 공부할 계획입니다. 

현재 필요하다고 생각하는게 

1. 아이패드 충전시 세워놓을 거치대??? 
이 커다란걸 눕혀서 충전하려니 자리를 너무 많이 차지할 것 같네요.. 

2.필기감 향상을 위한 애플펜슬 펜 촉?
종이질감 필름을 바르면 화질 저하가 될 것 같아서 필름은 안붙이려고 합니다. 케어플러스 구매예정입니다. 

3. 애플펜슬용 악세서리?? 
뭐 이쁘게 꾸민다거나, 추가적으로 뭘 더 하면 좋아질지 추천 부탁드립니다."
민족사관고 폐교를 보면서...,https://www.clien.net/service/board/park/16142833?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"요즘 코로나 때문에 학교란 무엇인가라는 부분이 많이 생각납니다. 

민족사관고를 폐교하면 뭐 의대 덜가는건지... 

뭐 일반 학교에서 “고****물” 타령하는
무자격자 교사들이 줄어드는건지.

모르겠지만... 말이죠?

솔직히 산타토익이 시험영어는 잘 가르치고
메가스터디가 더 잘 가르쳐주는 세상인데
학교의 의미를 더 줄일 필요는 있다고 봅니다

의무교육의 의무를 지면 학생은 
잘 못하면 퇴학이라는 의무를 가르쳐야 한다고 봅니다"
원슈타인 잘되었으면 좋겠다,https://www.clien.net/service/board/park/15836706?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"요즘 유튜브에서 원슈타인 노래를 계속해서 찾아듣고 있는데, 너무 좋네요. 
인성도 좋은 것 같고 노래도 잘부르고 더 잘 되었으면 좋겠네요

심지어 광고에 나오는 노래마저 잘부르는 원슈타인.....
산타 토익 광고, 갤럭시 광고 ㅋㅋㅋ 더 찍었으면 좋겠다

https://www.youtube.com/watch?v=zynW7-u2_uI

잘못된 형식의 이미지 링크입니다.


https://www.youtube.com/watch?v=_fgQjF9hMLo

잘못된 형식의 이미지 링크입니다."
마미손 패기 쩌네요;,https://www.clien.net/service/board/park/15754667?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"파X다, 해X스, 영X기 다 유명한 토익 학원? 같은데들 아닌가요.

이렇게 대놓고 까도 되는건가.. 머엉..."
"다시 질문드립니다. 수학, 영어 풀이 동영상 사용 툴 질문드려요.",https://www.clien.net/service/board/kin/15707825?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"지방에서 수학을 가르치고 있는 선생입니다. 차길영이라는 수학선생님이 만드신 영상 (출처란에 넣어두었습니다.) 혹은 산타토익 수강해보신 분들이라면 검정색 화면에 깔끔하게 문풀을 하는 걸 기억하신다면 어떤 툴로 동영상을 제작했는지 알수 있을까요? 프리미어 프로를 가지고 있습니다만 보다 간편하게 여러 문제를 저렇게 만들어보고 싶은데요. 문제풀이 영상에 쓸만한 괜찮은 프로그램이나 앱이 있을까요? 저번 질문은 어도비 애니메이트로 큰 개괄을 잡고, 프리미어 프로와 애프터 이펙트로 후보정을 했다고 하셨는데, 또 다른 의견 있으신가 싶어서요. 세개 다 새로 배우기가 어려울 것 같아 지푸라기 잡는 심정으로 다시 질문드립니다.
출처 :
https://www.youtube.com/watch?v=_zdWdat0DpU"
혹시 산타토익 사용하시는 분들 계신가요?,https://www.clien.net/service/board/cm_iphonien/15352192?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"이거 아이폰에서는 아이폰으로만 결제해야 사용할수 있나요?
 
pc로도 사용 사능한거 같은데...
 
pc로 결제해도 아이폰으로 쓸수 있을까요?"
암호화폐 사업했다고…'상장 퇴짜' 맞은 벤처,https://www.clien.net/service/board/cm_stock/15160139?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"왓챠가 CPT 사업을 종료하려는 것은 거래소가 CPT 발행 모델을 고집하면 IPO가 어렵다는 통보를 직간접적으로 해왔기 때문인 것으로 뒤늦게 알려졌다. 투자 업계 관계자는 “상장 준비를 하던 왓챠에 (거래소가) 암호화폐 사업을 유지하는 한 IPO가 어렵다는 내용의 통보를 한 것으로 안다”며 “CPT를 전량 회수해 폐기하는 것은 거래소 상장 불확실성을 미리 없애기 위한 것”이라고 말했다. ‘산타토익’으로 유명한 인공지능(AI) 기반 에듀테크 업체인 뤼이드도 자사가 발행한 ‘산타토익 코인(STOEIC)’ 서비스를 중단했다. 왓챠처럼 IPO에 걸림돌이 될 수 있다는 판단에 미리 암호화폐 사업을 접은 것이다. 
거래소가 암호화폐 관련 사업을 하는 기업의 IPO를 사실상 불허하면서 관련 업체들의 추가 투자 유치는 물론 장기적으로 IPO 계획에도 비상이 걸렸다. 블록체인 기술개발을 위해서는 암호화폐 사업이 따라붙어야 하는데 IPO가 어렵게 되면 관련 기업들의 엑소더스가 현실화되고, 막 싹트기 시작한 블록체인 산업 생태계도 고사할 수 있다는 우려가 나온다. 
이에 거래소 관계자는 “(암호화폐 관련 사업을 하는 기업의 상장 여부에 대해) 내부적으로 깊이 논의하거나 정해진 방침은 없다”면서도 “상장 청구 회사의 (암호화폐 관련) 사업 내용을 살펴볼 필요는 있다”고 설명했다. 일부에서는 암호화폐에 대한 사회인식이 부정적인데다 정부가 암호화폐에 대한 법적 지위나 규제안 등을 검토하는 상황에서 거래소가 관련 기업의 IPO를 상당 기간 보수적으로 판단할 수밖에 없을 것이라는 관측이 나온다.
https://m.sedaily.com/NewsView/1Z58IZ6ATW?fbclid=IwAR0Yh00TG4RyFu5H-OSe3t1y8rDBRyJtRHEwe2r_muQr3RbOiXrTEk3uAyk#_enliple"
첨부한 동영상 및 산타토익 강의는 어떤 툴로 만드는 걸까요?,https://www.clien.net/service/board/kin/14689530?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"지방에서 수학을 가르치고 있는 교사입니다. 차길영이라는 수학선생님이 만드신 영상 (출처란에 넣어두었습니다.) 혹은 산타토익 수강해보신 분들이라면 검정색 화면에 깔끔하게 문풀을 하는 걸 기억하신다면 어떤 툴로 동영상을 제작했는지 알수 있을까요? 프리미어 프로를 가지고 있습니다만 보다 간편하게 여러 문제를 저렇게 만들어보고 싶은데요. 문제풀이 영상에 쓸만한 괜찮은 프로그램이나 앱이 있을까요?
출처 :
https://youtu.be/Oc05MsDW_Co"
19) 방금 야한 과거의 에피소드때문에 마상입었습니다...,https://www.clien.net/service/board/park/14491994?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"조금 전 예전에 썸 탄 아이에게 톡이 와서
오랜만이네 라며 안부 묻고 과거 만나던 시절에 대해 대화를 이어가다가...
'오빠 나 진짜 그날 너무 놀랐잖아'
'그거 보고 내가 놀라서 오빠 나이 묻고'
'오빤 민망해하고'
'그날 일 때문에 요즘도 왁싱해?..'라고 물어서
아파서 안하고 요즘은 염색한다고 했더니
죽도록 ㅋㅋ 거리네요...;;
흰 털로 나이 들통나서 민망했던 악몽의 밤까지 떠올라서 비참한 기분입니다
동안이라 다들 놀라는 것 알지만...
그날 이후로 절대 허리 이하로는 못 내려가게 하는 트라우마까지 생겼었는데 말이죠...
늙는다는 것은 여러 이유로 슬픈 것 같아요...

보충 ..저는 짪게 사귄 사이는 썸이라 표현하니 오해는 마세요...ㅜㅜ"
유툽 보면서 스킵안하는 광고 있나요?,https://www.clien.net/service/board/park/13770069?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"최근에는 지마켓 됨....

광고는 스킵 안하게 되더군요..ㅋ"
iOS 토익 LC공부용 플레이어 앱 추천좀 해주세요 ~~!,https://www.clien.net/service/board/cm_iphonien/12746763?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"안드로이드 쓰다가 간만에 아이폰으로 넘어가는데요

LC 공부할 때 쓰기좋은 어학 플레이어 앱 추천좀 부탁드려요 !!"
토익 어플 경쟁이 붙었네요,https://www.clien.net/service/board/park/12424086?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,"산타토익이라고 어댑티브러닝인지 모시기 기법으로 토익 문제를 풀면 자동으로 수준을 측정해서 다음 문제를 추천해주는 어플이 있는데

여기가 투자도 100억 넘게 받고 그래서 관심있게 보고 있었습니다 

역시나 토익계의 본원 해커스가 최근에 비슷한 앱을 출시 했네요 

과연 누가 이길지 ㄷㄷ"
지금 산타토익 되나요?,https://www.clien.net/service/board/cm_iphonien/10391656?combine=true&q=%EC%82%B0%ED%83%80%ED%86%A0%EC%9D%B5&p=0&sort=recency&boardCd=&isBoard=false,,clien,santa,community,santa,2026-01-18T15:04:43.279606,혹시 지금 산타토익 실행되나요? 오늘 하루종일 안되네요 ㅜㅠ
