title,text,rating,author,date,company,source_type,source_platform,search_keyword,url,collected_at
난이도 조절 ㅈ같음,난이도 조절 안됨. + 어려운 문제라고 하는진 모르겠는데 걍 발음 뭉뜽그려서 웅얼웅얼 거리고 못알아듣게 해놓음 ㅇㅇ 실력이랑 전혀 상관 없음,1,하트조라,2026-01-15T19:10:47-07:00,santa,review,appstore,산타,https://apps.apple.com/kr/app/id1148006701,2026-01-18T14:39:34.135228
하이라이트기능 개선,하이라이트로 문제 풀다가 모르는 단어같은 거 표시 해두고 따로 암기 하고싶은데 하이라이트 표시해도 저장이 안돼요 개선해주세요.,5,nirhㅇㅇ,2026-01-13T21:11:10-07:00,santa,review,appstore,산타,https://apps.apple.com/kr/app/id1148006701,2026-01-18T14:39:34.135228
학습 이용권 사라는데 대체뭐지,"+700노베이스코스 6개월 결재했는데 갑자기 학습 이용권 사라면서 알림이 뜸, 거기 들어갔는데 아무것도 없었음. 끝까지 이용하고 싶으면 돈 내라는건 그러러니 한데 뭐가 있어야 돈을 주고 더 진행하던가 말던가 하지, 중간에 서비스 공급 끊어버리고 나몰라라 하면 6개월치 돈 먹튀한거랑 뭐가 다름? 빨리 해결좀",1,미스터버블,2026-01-12T00:00:09-07:00,santa,review,appstore,산타,https://apps.apple.com/kr/app/id1148006701,2026-01-18T14:39:34.135228
엄…….좋은건가??,"솔직히 다른건 다 괜찮다고 생각했는데 명확히 제 성적을 알 수 없는게…조금 그런것 같아요. 모르는게 있음 모른다를 하는게 맞잖아요? 근데 모른다는 선택지는 없다보니 모르는건 거의 다 찍어야해서 막상 제대로 된 제 성적도 못 받고, 이게 맞나..? 아닌가..? 우연이 아닌가? 하면서 제 실력도 조금 의심되네요!!",3,어저ㅠ유유노너,2026-01-11T07:21:19-07:00,santa,review,appstore,산타,https://apps.apple.com/kr/app/id1148006701,2026-01-18T14:39:34.135228
??,저 초6인데 왜 총865점 나왔죠?,4,히힣붓라,2026-01-10T02:49:24-07:00,santa,review,appstore,산타,https://apps.apple.com/kr/app/id1148006701,2026-01-18T14:39:34.135228
앱 개선 필요,"저만 이런가하고 들어왔는데 다른 리뷰들도 종종 보이네요 앱이 자꾸 죽음... 버튼 누르면 다음 화면으로 넘어가야하는데 걍 까만화면 돼요;;
몇십만원씩 돈내고 쓰는 유료앱인데 개발퀄리티 더 신경쓰셔야 할것 같네요",3,ㅇ0ㅇ;;;?,2026-01-08T15:03:26-07:00,santa,review,appstore,산타,https://apps.apple.com/kr/app/id1148006701,2026-01-18T14:39:34.135228
필기가능하게 해주세요 ㅜㅜ,밑줄긋기 좋은데 그냥 펜 쓰는것처럼 글씨 쓸 수 있게 업데이트 해주세용 !!,5,햇반4,2026-01-07T17:20:03-07:00,santa,review,appstore,산타,https://apps.apple.com/kr/app/id1148006701,2026-01-18T14:39:34.135228
너무좋아요! 몇가지피드백,"너무좋은데 아쉬운점 몇개 피드백합니당

1.밑줄 기능 개선 : 지금껀 드래그도 잘 안되고 드래그할 때 화면 움직여서 불편해요 ㅜ 모의고사때는 아예 안돼서 불편해요. 색상 변경도 좀 불편해용 
2.문제에 필기가능 : 굿노트처럼 그릴 수 있으면 조켔어용
3. 문제제출 시 바로 정답x: 맞고틀림 유무만 나오고 정답보는건 또 한 번 더 눌렀을 때 볼 수 있으면 좋겠어요
4.문제해설에있는 단어들도 소리재생 가능하게 : LC때 해설에있는 단어 발음을 잘 모르겠어요",5,손나바캉스,2025-12-31T22:53:34-07:00,santa,review,appstore,산타,https://apps.apple.com/kr/app/id1148006701,2026-01-18T14:39:34.135228
진단고사,가입하고 진단고사 풀려고 하는데 답은 뭘 체크해도 안넘어가고 어떻게 다음문제로 가는건가요 답답하네요,3,토익꼴찌반,2025-12-30T04:21:24-07:00,santa,review,appstore,산타,https://apps.apple.com/kr/app/id1148006701,2026-01-18T14:39:34.135228
어휘 학습 아쉽습니다,"1. 아는단어/모르는단어 슬라이드 기능
> 하단에 있는 몰라요/알아요 버튼과 방향이 반대더라구요. 무슨 의도로 이렇게 하셨는지는 모르겠지만, 자꾸만 사람을 헷갈리게 합니다.. ㅜ 방향 통일하는게 어떨까요.

2. 철자 입력 문제
> 꼼꼼하게 공부하기에는 도움된다는 걸 알지만, 짧은시간 내에 효율적으로 공부하려고 산타를 이용하는 건데.. 철자학습은 조금 아쉽습니다. 소요시간+귀찮음으로 어휘학습에 대한 부담이 늘은 것 같아요. 이용자가 철자학습 유무를 선택할 수 있게 하는 건 어떨까요.",4,톰말통토드,2025-12-20T22:13:44-07:00,santa,review,appstore,산타,https://apps.apple.com/kr/app/id1148006701,2026-01-18T14:39:34.135228
