title,text,rating,author,date,url,company,source_type,source_platform,search_keyword,collected_at
,"장점하고 단점이 명확한데요 가볍게 시간 활용해서 공부하긴 정말 좋습니다. 그러나 오류가 있은 문제들이 잦고, 어플에서 제공하는 해설, 단어의 뜻, 개념 설명 만으로 다른 문제들을 풀수가 없고 그냥 돈 내는 문제 은행이에요. 산타루미 활용해 보라고 하는데 ㅎㅎ.. 베타버전이라 그런지 많이 부족 합니다.. 번역도 제대로 안해주고 더 딥하게 물어보면 했던말 반복, 번역은 지원했다가 안했다가 일관성이 없습니다. 그리고 거기다가 검색할바엔 제미나이한테 묻는게 더 퀄리티 좋아요",2,sol lim,2026-01-16 23:12:20,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,추천 학습이 많은 도움이 되고 있습니다. 하지만 요즘 추천 학습에 Part 7 문제가 너무 많습니다. 저는 Part 1~6까지 여러 문제를 풀고 싶습니다. Part 7은 가끔 풀고 싶습니다. 물론 제가 게으른 탓입니다. ㅎㅎ 적은 시간을 투자하여 조금씩 성장하고 싶습니다. Part 7 문제만 자주 나오니 산타 앱을 들어가기 싫습니다. 혹시 저의 공부 방향성에 맞게 추천 학습을 조절할 수 있는지 궁금합니다.,4,Leeyounseo Lee,2026-01-16 14:41:25,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,너무 좋은데 혹시 문제풀때 필기 가능하게는 안되나요? 풀때 펜으로 쓰고싶은데 보면서밖에 못푸는게 너무 아쉽네요ㅠㅠ 그래도 잘 이용하고있습니다!!,4,권가은,2026-01-13 14:38:44,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,처음에 나오는 평가 그거 다 찍었는데 880점 나옴 나 천재?,5,양정민,2026-01-11 23:33:53,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,광고가 하나같이 다 찰떡같아서 얼마나 좋나 깔아나 봤는데 너무 좋네요! 이런 앱 만들어주신 분께 감사드립니다,5,권규리,2026-01-11 20:22:31,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,다양한 문제를 풀수 있는거는 좋은데 복습관해서는 최악임 일일이 문제 들어가서 확인하는거랑 일정시간 지나면 다시 위로 올라가는거때문에 복습 문제가 몇백개 쌓이면 걍 하는게 불가능 이걸 할빠엔 문제집 사서 하는게 더 편함,2,재언,2026-01-10 17:36:24,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,줄긋기랑 음원다시듣기 반복모드 기본으로 설정되는 모드 만들어주세요,5,Chan Su,2026-01-09 02:36:53,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,"음.. 간단한 문제는 괜찮은데 지문길고 문제 많은건 역시 별로.. 눈 아프고, 한눈에 지문이나 문제가 다 안보이니까 가독성이 당연하 떨어짐 그리고 문제에 대한 해설 및 오답이 약한듯 그냥 문제만 계속 나옴",1,선진이,2026-01-08 15:44:54,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,대체 RC점수가 오를 때 LC는 왜 오르나요?,1,권현우,2026-01-08 14:33:50,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,잘사용하고 있지만 필기 기능이 너무 아쉬워요ㅠㅠ 요즘 거의 태블릿을 많이 이용하는데 펜 인식해서 필기되는 기능이 있으면 문제 푸는데 더 유용할 것 같아요.,5,윤정원,2026-01-06 23:26:21,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,돈 안내고 할수있는건 없습니다 유의하세용,1,Wooseok Kang,2026-01-06 19:34:20,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,제가 리뷰 써봤자 신경 안쓰겠지만 기본적으로 토익이 아무리 기술적인 시험이라고 해도 문제 해설에 보기 단어의 뜻도 없고 해설도 문법 기술적인 설명 뿐입니다. 결국 단어 뜻을 알려면 따로 찾아봐야해요. 그리고 초반에 수준에 비해 어려운 문제를 많이 배치하고 점수를 떨어지게 만듭니다. 문제를 틀리건 맞추건 수준에 비해 어려운 문제입니다 이런 문구가 10문제중 6문제 이상인데 점술 떨구고 뒤에 쉬운문제들로 점수 올리는 구조인가요? 뭔가 이상합니다.,1,유지훈,2026-01-06 16:00:23,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,"앱을 만족하며 이용 중입니다. 한가지 바라는 점이 있다면, 단어장에 단어 직접 추가 하는 기능이 있었으면 좋겠습니다. 책으로 문제를 풀다가 모르는 단어가 나오면 바로 산타에 적어두고 나중에 복습하려고 합니다. p.s. 단어 검색 후 즐찾 기능이 있으면 좋겠네요.",5,김건우,2026-01-05 21:12:15,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,단어장이 더 많으면 좋겠습니다 아니면 단어도 2지선다가 아니라 품사가 같은 뜻여러개 중에 하나 고르는 식등 좀 더 외우는데 초점을 주면 좋을 것 같습니다 !,5,다롱,2026-01-05 18:39:29,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,제가 중3인데 기본기가 안되어있어요. 근데 원하는 직업에 토익 550점 이상은 필수더라고요. 아직 기본기도 모르는 상태에서 산타 앱을 쓰는건 무리일까요..? 앱 들어가보면 편리하고 좋은것같은데 저에겐 문제들이 어려워서 어느정도 공부를 하고 와야하는지 모르겠어요. 근데 기본기 외우고 오면 진짜 편하긴 할것같아요!,4,이차영,2026-01-04 01:09:05,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,광고가 킹받음,1,Jack,2026-01-03 01:37:42,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,어휘 익히기에 스펠링을 선택으로 하던가 단어 눈에 바르기도 바쁜데 누가 토익 공부하면서 철자를 외움 안 하면 암기한 걸로 되지도 않고 건너뛰기도 안 되고 업데이트가 매번 어디 하나 나사가 빠짐,1,P,2026-01-02 11:26:14,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,토익으로 여러번 애용했던 학생입니다. 혹시 텝스 시험 관련으로도 런칭할 계획이 있는지 여쭙습니다.,5,ForU,2025-12-31 14:52:06,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,학습 동기부여가 안됨. 학습하면 포인트를 준다고 하지만 문제를 푸는 시간만 반영되며 정작 내가 읽어보고 이해하는 시간은 반영하지 않아 그냥 문제만 풀게 되고 틀려도 그냥 빠르게 넘어가게 됨. 학습하는 방식도 맘에 안 듦. 어법을 알려주고 비슷한 유형의 문제 여러 개에 적용시키는게 아니라 내가 문제를 풀면서 그냥 알아가야 하는 주먹구구 방식임. 학습 종료 후 틀린 문제 복습 시 오답만 모아보기가 있는데 내가 표시한 답과 정답을 뭔가를 누르면 표시했으면 좋겠음. 그냥 바로 떠버리니까 내가 연상할 수 있는 기회는 없어지고 그냥 이게 답이었구나 하게 됨. 개인적으로 공부하기에 별로인 앱이다.,1,제니,2025-12-31 08:34:31,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,개별 1문제 틀릴때 10~20점씩 깎여서 정신병 걸릴거 같아요 원래 평균 내면 한 문제당 5점정도 아닌가요? 학습 의욕이 팍팍 깎이고 소리 들을 수 없는 환경인데 추천학습에 듣기 뜨면 영원히 공부 못함,1,김상욱,2025-12-28 00:08:44,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,"토익 공부한다고 어플 찍먹해봤는데... 광고에서처럼 드라마틱하게 좋은진 잘 모르겠네요 🤔 몇 개 맞췄다고 예상 점수 팍팍 올라가거나 내려가 버려서 난도도 일정하지 않고요... 특히 파트 5, 6, 7 부분은 긴 문장을 필요한 부분만 골라 속독해야 하는데... 핸드폰 UI로는 보기가 굉장히 불편했습니다. 답을 수정하려면 다시 돌아가야 하고요... 직접 필기도 하지 못하니까 실제감이 없더라고요. 산타 며칠하다가 그냥 ETS책으로 한 달 반 공부 후 915점 맞고 졸업했습니다...",2,연,2025-12-27 12:34:35,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,"문제를 제공하고 풀이하는 기능은 좋은데, 토익을 처음 해보는 입장에서 어떻게 문제를 풀어나가야 하는지 모르겠다.",3,김지훈,2025-12-27 00:47:18,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,"로딩이 너무 느려요.. 학습을 하고 싶어도 못함... 아예 앱이 들어가지지 않고 시작 화면에서 멈추는 경우도 많고, 문제풀이 하려고 들어가도 문제 로딩이 안되거나 느려서 다시 시작하는 경우가 많습니다. 사운드 체크 후 음성 재생 버튼도 활성화가 안되구요... 다 좋은데 로딩 시간 좀 개선해주세요",2,문서영,2025-12-26 12:01:07,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,감사합니다,5,이인성,2025-12-26 10:13:58,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,갑자기 광고도 많이하고.. 500퍼 환급이벤트?왜이리 먹튀할거 같냐 ㅋㅋㅋㅋ,1,전연,2025-12-23 17:29:13,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,문장분석기능 없어진건가요?,4,김명훈,2025-12-17 17:37:55,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,"광고좀 바꿔주시면 안될까요..? 한 사람이 계속 빨리감기로 말하는거랑 ""산타야~고마워ㅠㅠ~"" 이거 계속 들으니까 점점 호감이 떨어지는거 같고 오히려 이제는 찌증나는 것 같습니다. 아마 광고만 바꿔주시면 괜찮을 것 같아요",2,상추,2025-12-17 01:02:34,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,어휘는 번거로움 없이 아무때나 보고 외울수 있어서 좋았던건데 안좋게 바뀐거 같네요.,1,강제욱,2025-12-09 12:08:47,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,다른 건 좋은데 복습하기 도중에 다음 문제가 안나오고 검정 화면에서 멈춰서 진행이 안되는 문제가 지속됩니다...나갔다가 들어와도 동일한 문제가 계속 되네요.,1,cho miha,2025-12-08 22:39:26,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,"혹시, 산타 토풀, 산타JLPT, 산타HSK 등 계획은 없으신가요?",5,ParkSanghyun,2025-12-08 12:36:00,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,강추합니다 처음 결제 할 땐 비싸보여도 성실히 해서 포인트 환급 받으면 되구요 실제로 성적 많이 올랐습니다 감사합니다,5,진민호,2025-12-08 05:01:23,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,어휘 암기 업데이트 된 거 너무 불편해요. 스펠링 하나하나 직접 쳐야 넘어가게 만드는 건 너무 비효율적인 것 같아요,1,원혜빈,2025-12-07 21:17:09,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,언어암기에서 문제 풀때 정답 및 해설이 안뜹니다... 그리고 테스트가 끝나면 테스트를 하러 가볼까요? 라고 문구가 뜹니다... 좀 고쳐주세요 돈아까우려해요 ㅠ,1,김기연,2025-12-05 23:14:15,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,문제하단 단어설명에서 오류가 있는데 딱히 간편하게 신고할곳이 없네요. Official 뜻이 임원으로 적혀있는데 품사는 형용사로 되어있어요,3,ahn hana,2025-12-04 03:31:43,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,"몇 주 전에 파트2 앞부분 소리가 안들린다고 했었는데, 산타 앱이 문제가 아니었습니다. 제가 밖에서 이어폰을 썼는데 이어폰의 문제였던 게 이어폰을 빼고 그냥 틀면 소리가 제대로 났습니다. 그때 올릴 때 다른 사람은 괜찮을 수 있고 저만 해당될 수 있다고 했는데, 애초에 산타앱 문제가 아니었습니다. 죄송합니다. LC 풀 때 이어폰을 쓰실 때는 사용하는 그 이어폰이 들리는지 안 들리는지 확인하시는 게 좋을 것 같습니다.",5,an nyeong,2025-11-28 12:45:36,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,"이용하지는 않았는데, 광고가 너무 보기 힘들어 글 남깁니다.... ㅜㅜ 영어정보 많이 찾아봐서 ""산타야 고마워-"" 하는 광고가 많이 뜨는데, 광고 뜰때마다 손으로 가리고 음성을 0으로 낮추곤 하여 불편합니다. 혹시 해당 광고를 안띄우게할 방법이 있을까요?",5,Eun k,2025-11-28 11:26:31,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,"토익 하기 싫을 때 그냥 게임 한다고 생각하고 억지로라도 핸드폰으로 몇분~ 몇시간 가볍게 하다보면 어느새 나도 모르게 토익에 흥미가 생기게 되어 열심히 공부하게 해주는 앱입니다! 일단 문법 문제는 한 3,000문제 풀었는데도 아직 풀게 더 남아있어서 좋았습니다. 약간 토익 중독을 유발하는 앱인 거 같습니다 호호... 또 이 앱의 가장 좋은 점인, 개인에게 취약한 문제유형을 계속 반복해서 풀게 해주는 Ai 매커니즘을 통해 정말로 취약점을 극복할 수 있었습니다. 또 오답 퀄리티도 상당히 좋았어요. LC도 양이 part 5보단 적긴 하지만 다양한 유형을 가볍게 풀어볼 수 있어서 좋았습니다. 덕분에 토익 졸업합니다. 고마워요. 산타.",5,Permanent XYZ,2025-11-28 02:55:20,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,밑줄 말고 필기기능이 있으면 좋겠습니다,5,H s,2025-11-21 20:16:05,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,"결제는 해서 쓰고 있는데, 필기 기능이 추가 되면 좋을 것 같아요",4,ㅋㅋㅋ,2025-11-21 15:39:20,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,단어학습에 발음기호랑 예문 표시해주세요 기본적인 기능도 없네요,1,스똬붥스붸리스타,2025-11-21 00:18:08,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
,산타앱으로 토플 공부한지 이틀차입니다! 다 좋은데 listen & repeat에서 문장 읽어줄 때 첫 단어 소리가 작게 들려요 예를 들어 A form box.. 이렇게 시작하는 문장일 때 a는 안들리고 form도 box에 비해 작게 들리는 현상이 간혹 있어요 수정해주시면 학습하기에 더 좋을 것 같습니다 좋은 앱 만들어주셔서 감사합니다 산타팀 파이팅!!,5,세빈,2025-11-07 18:08:39,https://play.google.com/store/apps/details?id=co.riiid.vida,santa,review,playstore,산타,2026-01-18T14:34:35.669573
