data_id,company,source_type,source_platform,search_keyword,title,text,rating,author,date,url,collected_at
1,santa,sns,youtube,산타토익,,"하루 1시간이면 토익 165점 수직 상승🚀
⠀
✨ 개인별 1:1 AI 분석+맞춤 유형별 10,000제 …
...더보기",,,,https://www.youtube.com/watch?v=3Lbl2Uk-Y_Q,2026-01-18T14:05:48.362590
3,santa,sns,youtube,산타토익,,"산타 어플 다운 받고 3일 무료 체험하기
https://riiidsanta.onelink.me/4dZ8/e5
 …
...더보기",,,,https://www.youtube.com/watch?v=ae2Pv33QVJ8,2026-01-18T14:05:48.362599
4,santa,sns,youtube,산타토익,,"#유머  #썰 #웃긴영상 #커뮤니티 #웃긴짤 
...더보기",,,,https://www.youtube.com/watch?v=8JlhOcqHLPw,2026-01-18T14:05:48.362600
5,santa,sns,youtube,산타토익,,"토익 점수가 안 오르시나요?
유핏토익과 함께라면 누구든 목표점수를 현실로 만들 수 있습니다.
 …
...더보기",,,,https://www.youtube.com/watch?v=XzIC0u3HYiY,2026-01-18T14:05:48.362601
7,santa,sns,youtube,산타토익,,"토익의 모든 것 / 토익독학 길잡이 님 공부법 따랐습니다! 
토익시험 전, 단기로도 점수 만드는게 가능할까 불안한 마음으로 유튜브 뒤졌던 기억이  떠올라서 영상 올려봐요^.^)9 토익졸업 파이팅~~! 
...더보기",,,,https://www.youtube.com/watch?v=gCnFbB067ys,2026-01-18T14:05:48.362603
10,santa,sns,youtube,산타토익,,"더 많은 것을 체계적으로 알려주는
2025년 최신 김재옥토익 정규수업은 
jaefonline.co.kr 에서 확인 가능합니다. …
...더보기",,,,https://www.youtube.com/watch?v=Dmw5rqre_0E,2026-01-18T14:05:48.362610
11,santa,sns,youtube,산타토익,,"#산타 #토익 #토익무료강의 #토익LC

📌지금 가입하면 산타 전체 강의 & 2000개 어휘 무료 …
...더보기",,,,https://www.youtube.com/watch?v=YqJ6F3fwf4c,2026-01-18T14:05:48.362611
12,santa,sns,youtube,산타토익,,"#산타 #토익 #토익무료강의 #토익LC

📌지금 가입하면 산타 전체 강의 & 2000개 어휘 무료 …
...더보기",,,,https://www.youtube.com/watch?v=M6pJFJ8028A,2026-01-18T14:05:48.362612
13,santa,sns,youtube,산타토익,,"자투리 시간을 활용하기 위해 사용하는 대표적인 어플 2개를 비교했습니다. 
YBM 픽토 - 무료, 산타토익 - 유료 이기 때문에 다소 차이가 있는데,
전반적으로 모두 part 5를 틈 날때마다 하기 유용한 어플들입니다. …
...더보기",,,,https://www.youtube.com/watch?v=Zvc3cnle8UU,2026-01-18T14:05:48.362613
14,santa,sns,youtube,산타토익,,"🎁 산타 어플 다운 받고 3일 무료 체험 하기
https://santa.onelink.me/hfmo/dh8qvbul (구독자 전용 링크입니다)
💖 구독자를 위한 산타 15% 할인 쿠폰 제공 …
...더보기",,,,https://www.youtube.com/watch?v=s1bjsCcCa0A,2026-01-18T14:05:48.362613
17,santa,sns,youtube,산타토익,,"졸업 요건만 맞추고 때려친 토익

Instagram📷   / beauty_fo.ol   …
...더보기",,,,https://www.youtube.com/watch?v=lh2oX4eu-d0,2026-01-18T14:05:48.362616
18,santa,sns,youtube,산타토익,,"🤝 멘토 : 이순재

🤝 출처 : 산타_뤼이드 ""산타토익X이순재"" …
...더보기",,,,https://www.youtube.com/watch?v=3JXPnd5_7s4,2026-01-18T14:05:48.362617
19,santa,sns,youtube,산타토익,,"뭐야.. 토익공부 이젠 언제 어디서든 편하게 할 수 있잖아?!
이번 여름 산타앱과 함께라면 독학으로도 단기간에 토익점수 올릴 수 있다구!!
#토익 #토익공부법 #토익독학 #여름방학 #여름방학토익 #산타 #산타토익 
...더보기",,,,https://www.youtube.com/watch?v=S8s5qz90brg,2026-01-18T14:05:48.362618
20,santa,sns,youtube,산타토익,,"0:00 인트로
0:10 시작, 저의 토익스토리
0:50 내가 생각하는 토익 …
...더보기",,,,https://www.youtube.com/watch?v=gEMu5ipe0Fc,2026-01-18T14:05:48.362619
22,santa,sns,youtube,산타토익,,"안녕하세요 둘셋넷입니다 :)

오늘은 유진PD가 사용했던 일주일 산타토익 후기 + 토익 시험 후기까지 말씀드릴게요 ! …
...더보기",,,,https://www.youtube.com/watch?v=_hhCm2UFmY0,2026-01-18T14:05:48.362624
23,santa,sns,youtube,산타토익,,"친구들과 토익 점수 내기를 한 휘수 
과연 그는 이길 수 있을까?
그리고 깔롱이에게 말을 걸 수 있을까? …
...더보기",,,,https://www.youtube.com/watch?v=ODmpr3-ygk0,2026-01-18T14:05:48.362625
24,santa,sns,youtube,산타토익,,"#산타토익 #토익어플 #토익공부방법
'산타토익'이라는 토익 공부 어플 리뷰 영상입니다!
공부법에 정답은 없습니다만, 저는 개인적으로 만족하면서 …
...더보기",,,,https://www.youtube.com/watch?v=iDJal0UtUCY,2026-01-18T14:05:48.362625
25,santa,sns,youtube,산타토익,,"어디서부터 어떻게 시작해야할지 막막한 토익피로엔 산타500!
3분만에 내 토익점수 알아보가: https://bit.ly/3iIf2be 
...더보기",,,,https://www.youtube.com/watch?v=3YpHM8KVg5c,2026-01-18T14:05:48.362626
27,santa,sns,youtube,산타토익,,"2월 1달 짧고 굵게 끝내자! https://blog.naver.com/summittoeicblo...

서밋토익어학원 ⏱9:30~21:00 월~금 …
...더보기",,,,https://www.youtube.com/watch?v=M8mZhX0U0mw,2026-01-18T14:05:48.362628
28,santa,sns,youtube,산타토익,,"안녕하세요~ 궁금한 점 있으면 댓글로 알려주세요! 영상으로 가져올게요!! 

메리토익 강의: https://cafe.naver.com/merrytoeic/272 
...더보기",,,,https://www.youtube.com/watch?v=7VT79vqHXyI,2026-01-18T14:05:48.362629
29,santa,sns,youtube,산타토익,,"🎁 산타 어플 다운 받고 3일 무료 체험 하기
https://riiidsanta.onelink.me/hsr6/ux...
 …
...더보기",,,,https://www.youtube.com/watch?v=G_7-0vqh_Ro,2026-01-18T14:05:48.362630
30,santa,sns,youtube,산타토익,,"95%가 모르는 토익의 비밀 | 700점 이하 무조건 보세요 
...더보기",,,,https://www.youtube.com/watch?v=coQn-0fTe8s,2026-01-18T14:05:48.362631
