title,url,platform,keyword,company,source_type,collected_at
매일경제,https://v.daum.net/channel/7/home,daum_news,민병철유폰,uphone,news,2026-01-18T17:08:14.436551
"민병철유폰, 대화형 AI 학습 서비스 ‘유폰 GPT’ 출시",http://v.daum.net/v/20230704142102298,daum_news,민병철유폰,uphone,news,2026-01-18T17:08:14.436551
데일리안,https://v.daum.net/channel/43/home,daum_news,민병철유폰,uphone,news,2026-01-18T17:08:14.436551
"[수도권 유니콘 시리즈] 커리어 월렛, 민병철유폰과 구직자 영어 회화 교육 지원",http://v.daum.net/v/20231226135650035,daum_news,민병철유폰,uphone,news,2026-01-18T17:08:14.436551
"민병철유폰, 업계 최초 ‘1:1영어회화…100% 만족 보장 제도’ 실시",http://v.daum.net/v/20240102110901939,daum_news,민병철유폰,uphone,news,2026-01-18T17:08:14.436551
"클라썸, 퍼블리∙민병철유폰∙에듀윌 등과 제휴",http://v.daum.net/v/20240328152100846,daum_news,민병철유폰,uphone,news,2026-01-18T17:08:14.436551
헤럴드경제,https://v.daum.net/channel/19/home,daum_news,민병철유폰,uphone,news,2026-01-18T17:08:14.436551
"민병철유폰, 메타버스로 즐기는 1:1 영어회화 '유폰랜드'",http://v.daum.net/v/20220112111048641,daum_news,민병철유폰,uphone,news,2026-01-18T17:08:14.436551
동아일보,https://v.daum.net/channel/190/home,daum_news,민병철 전화영어,uphone,news,2026-01-18T17:08:14.436551
"민병철 전화영어 '유폰', 소비자 불만 제로 나선다",http://v.daum.net/v/20130111163808124,daum_news,민병철 전화영어,uphone,news,2026-01-18T17:08:14.436551
파이낸셜뉴스,https://v.daum.net/channel/139/home,daum_news,민병철 전화영어,uphone,news,2026-01-18T17:08:14.436551
민병철 전화영어 앱 '오토스피킹' 日·中서 '교육 한류' 주역,http://v.daum.net/v/20111003172117965,daum_news,민병철 전화영어,uphone,news,2026-01-18T17:08:14.436551
세계일보,https://v.daum.net/channel/38/home,daum_news,민병철 전화영어,uphone,news,2026-01-18T17:08:14.436551
"민병철전화영어 유폰, 100% 만족보장 '유폰 WOW 서비스'",http://v.daum.net/v/20130102131806291,daum_news,민병철 전화영어,uphone,news,2026-01-18T17:08:14.436551
[코리아파워브랜드대상] 10만명이 선택한 '민병철전화영어유폰',http://v.daum.net/v/20100409171805821,daum_news,민병철 전화영어,uphone,news,2026-01-18T17:08:14.436551
머니투데이,https://v.daum.net/channel/5/home,daum_news,민병철 전화영어,uphone,news,2026-01-18T17:08:14.436551
민병철 전화영어 'BCM U폰' 학습 프로그램 출시,http://v.daum.net/v/20070206150506052,daum_news,민병철 전화영어,uphone,news,2026-01-18T17:08:14.436551
뉴시스,https://v.daum.net/channel/21/home,daum_news,민병철 전화영어,uphone,news,2026-01-18T17:08:14.436551
"민병철유폰, 전화영어 최초로 '메타버스' 이벤트",http://v.daum.net/v/20220112105731876,daum_news,민병철 전화영어,uphone,news,2026-01-18T17:08:14.436551
"민병철교육그룹, 세계 최초 메타버스 화상영어회화 오픈",http://v.daum.net/v/20220915165904981,daum_news,민병철 화상영어,uphone,news,2026-01-18T17:08:14.436551
지디넷코리아,https://v.daum.net/channel/294/home,daum_news,민병철 화상영어,uphone,news,2026-01-18T17:08:14.436551
동영상 첨부된 문서,http://v.daum.net/v/20240718085529871,daum_news,민병철 화상영어,uphone,news,2026-01-18T17:08:14.436551
"민병철영어, 메타버스 영어회화 서비스 '유폰랜드' 공식 오픈",http://v.daum.net/v/20220915174513877,daum_news,민병철 화상영어,uphone,news,2026-01-18T17:08:14.436551
"""메타버스 공간에서 실시간 영어대화"" 민병철교육그룹 '유폰랜드' 선봬",http://v.daum.net/v/20220914170411822,daum_news,민병철 화상영어,uphone,news,2026-01-18T17:08:14.436551
서울경제,https://v.daum.net/channel/129/home,daum_news,민병철 화상영어,uphone,news,2026-01-18T17:08:14.436551
"민병철유폰, 영어교육업계 유일 무기한 원격근무",http://v.daum.net/v/20210826170002006,daum_news,민병철 화상영어,uphone,news,2026-01-18T17:08:14.436551
