title,url,search_keyword,company,source_type,source_platform,content,collected_at
이런 핏이 가능하긴 한거야? ㅠㅠ,https://www.teamblind.com/kr/post/%EC%9D%B4%EB%9F%B0-%ED%95%8F%EC%9D%B4-%EA%B0%80%EB%8A%A5%ED%95%98%EA%B8%B4-%ED%95%9C%EA%B1%B0%EC%95%BC-%E3%85%A0%E3%85%A0-t1sm7yrh,야나두,yanadu,community,blind,,2026-01-18T14:07:04.639647
블라인들 월급날은 매 월 몇 일이야?,https://www.teamblind.com/kr/post/%EB%B8%94%EB%9D%BC%EC%9D%B8%EB%93%A4-%EC%9B%94%EA%B8%89%EB%82%A0%EC%9D%80-%EB%A7%A4-%EC%9B%94-%EB%AA%87-%EC%9D%BC%EC%9D%B4%EC%95%BC-fgjgelrj,야나두,yanadu,community,blind,,2026-01-18T14:07:04.639714
투표글남친이 주식 단타를 하는데 이정도면 잘하는거야?투표,https://www.teamblind.com/kr/post/%EB%82%A8%EC%B9%9C%EC%9D%B4-%EC%A3%BC%EC%8B%9D-%EB%8B%A8%ED%83%80%EB%A5%BC-%ED%95%98%EB%8A%94%EB%8D%B0-%EC%9D%B4%EC%A0%95%EB%8F%84%EB%A9%B4-%EC%9E%98%ED%95%98%EB%8A%94%EA%B1%B0%EC%95%BC-c4x1b7ru,야나두,yanadu,community,blind,,2026-01-18T14:07:04.639742
뭐가 맞는거야?,https://www.teamblind.com/kr/post/%EB%AD%90%EA%B0%80-%EB%A7%9E%EB%8A%94%EA%B1%B0%EC%95%BC-kmw4mge2,야나두,yanadu,community,blind,,2026-01-18T14:07:04.639775
과열 예고+1은 뭐야?,https://www.teamblind.com/kr/post/%EA%B3%BC%EC%97%B4-%EC%98%88%EA%B3%A01%EC%9D%80-%EB%AD%90%EC%95%BC-tfo78o32,야나두,yanadu,community,blind,,2026-01-18T14:07:04.639791
오늘 제인생 첫집 계약하고 왔네요 드디어..,https://www.teamblind.com/kr/post/%EC%98%A4%EB%8A%98-%EC%A0%9C%EC%9D%B8%EC%83%9D-%EC%B2%AB%EC%A7%91-%EA%B3%84%EC%95%BD%ED%95%98%EA%B3%A0-%EC%99%94%EB%84%A4%EC%9A%94-%EB%93%9C%EB%94%94%EC%96%B4-aasy0fw4,시원스쿨,yanadu,community,blind,,2026-01-18T14:07:11.582085
인프제 여자랑 연락중인데,https://www.teamblind.com/kr/post/%EC%9D%B8%ED%94%84%EC%A0%9C-%EC%97%AC%EC%9E%90%EB%9E%91-%EC%97%B0%EB%9D%BD%EC%A4%91%EC%9D%B8%EB%8D%B0-pakhjc5b,시원스쿨,yanadu,community,blind,,2026-01-18T14:07:11.582145
내가 그렇게 폐급 남편인가,https://www.teamblind.com/kr/post/%EB%82%B4%EA%B0%80-%EA%B7%B8%EB%A0%87%EA%B2%8C-%ED%8F%90%EA%B8%89-%EB%82%A8%ED%8E%B8%EC%9D%B8%EA%B0%80-j1bu2nwk,시원스쿨,yanadu,community,blind,,2026-01-18T14:07:11.582195
야나두 영어 해본사람?,https://www.teamblind.com/kr/post/%EC%95%BC%EB%82%98%EB%91%90-%EC%98%81%EC%96%B4-%ED%95%B4%EB%B3%B8%EC%82%AC%EB%9E%8C-wTWYpNY1,야나두 영어,yanadu,community,blind,,2026-01-18T14:07:14.778464
자녀에게 증여하는 가장 효율적인 방법,https://www.teamblind.com/kr/post/%EC%9E%90%EB%85%80%EC%97%90%EA%B2%8C-%EC%A6%9D%EC%97%AC%ED%95%98%EB%8A%94-%EA%B0%80%EC%9E%A5-%ED%9A%A8%EC%9C%A8%EC%A0%81%EC%9D%B8-%EB%B0%A9%EB%B2%95-k4rxusoq,야나두 영어,yanadu,community,blind,,2026-01-18T14:07:14.778497
야나두 영어 할만해?,https://www.teamblind.com/kr/post/%EC%95%BC%EB%82%98%EB%91%90-%EC%98%81%EC%96%B4-%ED%95%A0%EB%A7%8C%ED%95%B4-Vg4EjLR0,야나두 영어,yanadu,community,blind,,2026-01-18T14:07:14.778523
