title,url,platform,company,source_type,collected_at,text
"야나두, 점수 중심 학습에서 벗어나 ‘습관형 영어 학습’ 강화",http://v.daum.net/v/20260113125603428,daum_news,yanadu,news,2026-01-18T15:32:33.230945,"야나두가 영어 학습의 방향성을 점수 중심에서 성장 중심으로 전환하며, 습관형 학습 구조 강화에 나섰다.
야나두는 내부 분석 결과, 영어 학습에 대한 이용자 인식이 취업·승진 등 외부 목표 중심에서 개인적 성장과 자기계발 중심으로 변화하고 있다고 설명했다. 이에 따라 단기간 성과를 강조하는 강의 방식보다, 장기적으로 학습을 이어갈 수 있는 구조가 중요해지고 있다는 판단이다.
야나두는 이러한 흐름에 맞춰 AI 커리큘럼과 AI 튜터 서비스를 활용한 맞춤형 학습을 강화하고 있다. 학습자의 목표와 학습 패턴을 분석해 개인에게 적합한 학습 콘텐츠를 제공하고, 학습 부담을 낮춰 꾸준한 학습 습관 형성을 지원한다.
특히 동기부여 관리 시스템을 고도화해 학습자의 이탈을 최소화하는 데 주력하고 있다. 학습 과정에서 성취감을 느낄 수 있도록 단계별 목표를 제시하고, 학습 지속을 유도하는 구조를 통해 자기계발형 학습 경험을 제공한다.
또한 야나두는 평생 수강 서비스를 통해 장기 학습 환경을 구축하고 있다. 기본 수강 기간 종료 후에도 매년 미션을 달성하면 평생 수강 기간을 연장할 수 있어, 학습자가 평생 학습자로서 영어를 지속적으로 활용할 수 있도록 설계됐다.
야나두 관계자는 “영어는 단기간에 끝나는 공부가 아니라, 삶 전반에 걸쳐 활용되는 역량”이라며 “앞으로도 학습자가 부담 없이 성장할 수 있는 학습 환경을 만드는 데 집중하겠다”고 밝혔다."
"야나두, VOC 기반 홈페이지 UX 고도화… ""고객 친화적 학습 경험 강화""",http://v.daum.net/v/20260113165503611,daum_news,yanadu,news,2026-01-18T15:32:33.230945,"야나두가 고객 피드백과 데이터 분석을 토대로 홈페이지 UX 고도화에 나섰다. 야나두는 최근 자체 조사를 통해 수집한 VOC를 기반으로 홈페이지 UI·UX 개선 작업을 시작했다고 밝혔다.
사진제공=야나두

야나두는 고객이 체감하는 불편 요소를 해결하는 것이 학습 플랫폼 경쟁력 강화로 이어진다고 보고 있다. 특히 수강 신청, 강의 탐색, 학습 진행 등 서비스 이용 전반에서 발생할 수 있는 작은 불편까지 개선해 학습자가 끊김 없이 콘텐츠에 집중할 수 있는 환경을 만드는 데 중점을 두고 있다.
이번 UX 고도화의 주요 개선 방향은 '가독성 강화'와 '탐색 동선 단순화'다. 야나두는 40대 이용자 비중이 증가하는 등 중장년층 학습자 확대 흐름을 반영해, 글씨 크기 등 시인성을 높이고 메뉴 구조를 정리해 이용자가 원하는 정보를 더 쉽게 찾을 수 있도록 한다. 이를 통해 서비스 이용 장벽을 낮추고 학습 경험의 만족도를 높일 계획이다.
또한 야나두는 오프라인에서의 교육 경험처럼 '사용 흐름이 자연스럽게 이어지는 온라인 학습 환경'을 목표로 한다. 단순한 강의 재생 화면 제공에 그치지 않고, 학습자가 불필요한 탐색으로 흐름을 끊기지 않도록 UX 측면에서의 투자를 강화한다는 것이다.
야나두는 이번 개편을 시작으로 고객 데이터 기반 개선 체계를 한층 정교화할 방침이다. 고객 의견과 이용 패턴을 정기적으로 점검해 불편 요소를 도출하고, 개선 결과를 다시 검증하는 선순환 구조를 통해 사용자 경험을 지속적으로 고도화한다는 전략이다.
야나두 관계자는 ""고객의 목소리와 데이터는 서비스 개선의 가장 확실한 기준""이라며 ""앞으로도 고객 친화적인 시스템 정비를 통해 학습자가 더 편하고 몰입감 있게 학습할 수 있도록 투자와 개선을 이어가겠다""고 밝혔다.
김재련 기자 chic@mt.co.kr"
"공정위, 야나두에 과태료 500만 원‥""장학금 효과 허위·과장""",http://v.daum.net/v/20260104121504820,daum_news,yanadu,news,2026-01-18T15:32:33.230945,"야나두 광고 [연합뉴스/공정거래위원회 제공]
공정거래위원회가 온라인 영어 강의 상품을 판매하면서 장학금과 관련해 허위 사실을 알리거나 과장한 것으로 드러난 야나두에 시정명령과 과태료 500만 원을 부과했습니다.
공정위에 따르면 야나두는 사이버몰 초기화면에 2023년 12월∼2024년 11월 ""벌써 88억 돌파! 무려 16만 명이 장학금을 받았어요""라는 안내문을 올리면서 수치 산정 기간을 설명하지 않는 등 기만적인 방법으로 소비자를 유인한 혐의를 받고 있습니다.
이후에도 야나두는 ""벌써 88억 돌파! 무려 17만 명이 장학금에 도전했어요""라고 홍보해 소비자가 근래에 다수가 장학금에 도전했고 실제로 받을 수 있다는 기대를 품게 했다는 게 공정위 설명입니다.
공정위는 야나두가 ""장학금 도전 수강생의 완강률이 강의만 듣는 수강생 대비 3배""라는 내용의 그래프를 게시하면서 이 내용이 전액 환급 장학금 과정에서만 나타난 효과라는 것을 알리지 않아 모든 장학금 과정의 효과인 것처럼 포장한 것도 기만적이라고 판단했습니다.
공정위는 ""소비자의 합리적 선택을 방해하는 온라인 영어 강의 사업자의 전자상거래법 위반행위를 지속적으로 감시하고 법 위반 사항 적발 시 엄정하게 조치할 계획""이라고 했습니다.
이준희 기자(letswin@mbc.co.kr)
기사 원문 - https://imnews.imbc.com/news/2026/econo/article/6791030_36932.html"
공정위 '야나두 장학금 허위·과장' 과태료 500만원,http://v.daum.net/v/20260104152042646,daum_news,yanadu,news,2026-01-18T15:32:33.230945,"공정거래위원회는 온라인 영어 강의 상품을 판매하면서 장학금과 관련한 허위 사실을 알리거나 과장한 것으로 드러난 인터넷 교육 기업 야나두에 시정명령과 과태료 500만원을 부과하기로 결정했다고 4일 밝혔다.
공정위에 따르면 야나두는 사이버몰 초기화면에 2023년 12월부터 2024년 11월까지 ""벌써 88억 돌파! 무려 16만 명이 장학금을 받았어요""라는 안내문을 올리면서 수치 산정 기간을 설명하지 않는 등 기만적인 방법으로 소비자를 유인한 혐의(전자상거래 등에서의 소비자보호에 관한 법률 위반)를 받는다.
야나두 광고. 공정거래위원회
장학금 도전 인원을 지급 인원으로 포장
야나두는 지금 급액 88억원에 대해서는 장학금 과정별 근거 자료를 제시해 사실임을 입증했다. 하지만 지급 인원 16만 명은 장학금 지급 인원이 아닌 장학금 과정에 도전한 인원으로 확인됐다. 또 88억원, 16만 명 등 수치를 산정하면서 기준이 되는 장학금 누적 기간 등에 대한 설명이 없거나 부족해 기만적 방법으로 이는 소비자를 유인한 행위에 해당했다.
야나두는 온라인 영어 강의 상품을 판매하면서 2014년 5월부터 수강생에게 강의 수강, 후기 작성 등의 과제를 수행하면 장학금을 지급하는 제도를 운용해 왔다. 하지만 2023년 12월부터는 장학금의 효과와 지급 금액 등에 대해 거짓된 사실을 알려 왔다. 야나두는 ""벌써 88억 돌파! 무려 17만 명이 장학금에 도전했어요(2024년 10월 기준)""라고 홍보해 근래에 소비자 다수가 장학금에 도전했고 실제로 받을 수 있다는 기대를 품게 한 것으로 공정위는 판단했다.
""수강생 완강률도 기만적 포장에 해당""
공정위는 야나두가 ""장학금 도전 수강생의 완강률이 강의만 듣는 수강생 대비 3배""라는 내용의 그래프를 게시하면서 ""이 내용이 전액 환급 장학금 과정에서만 나타난 효과라는 것을 알리지 않아 모든 장학금 과정의 효과인 것처럼 포장한 것도 기만적""이라고 지적했다. 이어 ""소비자의 합리적 선택을 방해하는 온라인 영어 강의 사업자의 전자상거래법 위반행위를 지속해서 감시하고 법 위반 사항 적발 시 엄정하게 조치할 계획""이라고 밝혔다.
김현정 기자 khj27@asiae.co.kr"
"‘완강률 3배’ 장학금 과장광고…공정위, 야나두에 과태료 500만원",http://v.daum.net/v/20260104120303569,daum_news,yanadu,news,2026-01-18T15:32:33.230945,"온라인 영어 강의 업체 야나두 로고.

공정거래위원회가 온라인 영어 강의 업체 ‘야나두’의 장학금 광고를 전자상거래법 위반으로 판단하고 시정명령과 과태료를 부과했다. 
4일 공정위는 야나두가 온라인 영어 강의 상품을 판매하면서 장학금의 효과와 지급 금액, 인원 등을 객관적인 근거나 기준에 대한 설명 없이 광고한 행위에 대해 ‘전자상거래 등에서의 소비자 보호에 관한 법률’ 위반으로 보고 시정명령과 함께 과태료 500만원을 부과했다고 밝혔다. 
야나두는 2023년 12월부터 자사 사이버몰 초기화면에 ‘장학금 도전 수강생의 완강률이 강의만 듣는 수강생 대비 3배’라는 문구를 게시했다. 그러나 해당 수치는 모든 장학금 과정이 아닌 ‘전액 환급 장학금’ 과정에 한해 산출된 결과였으며, 이를 명확히 밝히지 않아 소비자가 전체 장학금 과정의 효과로 오인할 소지가 있다고 공정위는 판단했다. 
또 야나두는 ‘벌써 88억 돌파! 무려 16만명이 장학금을 받았어요’라는 문구를 광고했으나, 이 가운데 ‘16만명’은 실제 지급 인원이 아닌 장학금 과정 도전 인원으로 확인됐다. 이후 ‘17만 명이 장학금에 도전했다’는 표현으로 수정했지만, 이에 대한 객관적인 근거 자료를 제시하지 못한 것으로 나타났다. 지급 금액과 인원을 산정한 기준 기간에 대한 설명도 충분하지 않았다고 공정위는 설명했다. 
공정위는 이러한 광고가 거짓되거나 기만적인 방법으로 소비자를 유인한 행위에 해당한다고 보고, 전자상거래법 제21조 제1항 제1호를 적용해 제재를 결정했다. 
공정위는 “이번 조치는 온라인 강의 사업자가 장학금 제도를 활용해 소비자를 오인하게 하는 광고 행위를 제재한 사례”라며 “앞으로도 온라인 교육 시장에서의 전자상거래법 위반 행위를 지속적으로 감시하고 엄정 대응할 계획”이라고 밝혔다.
심하연 기자 sim@kukinews.com"
"영어강의 장학금 허위·과장한 '야나두'…공정위, 과태료 500만원",http://v.daum.net/v/20260104131101554,daum_news,yanadu,news,2026-01-18T15:32:33.230945,"영어 강의 수강생들에게 지급한 장학금의 효과·금액·인원 등을 객관적 근거나 기준에 대한 설명 없이 광고한 야나두가 경쟁당국으로부터 과태료 500만원을 부과받았다.
공정위는 야나두가 온라인 영어 강의 상품을 판매하면서 사이버몰 초기화면에 객관적인 근거나 기준에 대한 설명 없이 영어 강의 수강생들에게 지급한 장학금의 효과, 지급 금액, 인원 등을 알린 행위에 대해 '전자상거래 등에서의 소비자보호에 관한 법률'에 따라 시정명령을 내렸다고 4일 밝혔다.
야나두는 온라인 영어 강의 상품을 판매하면서 2014년 5월경부터 수강생에게 강의 수강, 후기 작성 등의 과제를 수행하면 장학금을 지급하는 장학금 과정을 운영해 오고 있었다. 2023년 12월경부터 장학금의 효과, 장학금 지급 금액·인원에 대해 광고하면서 거짓된 사실을 알리거나 기만적인 방법을 사용하여 소비자를 유인했다.
야나두는 2023년 12월경부터 지난해 5월 9일까지 자신이 운영하는 사이버몰 초기화면에 '장학금 도전 수강생의 완강률이 강의만 듣는 수강생 대비 3배' 라고 광고했다.
공정위는 “강의만 듣는 수강생 대비 장학금 도전 수강생의 완강률이 3배라는 광고를 접한 소비자는 막연히 장학금 과정에 도전하면 학습 효과가 늘어날 것이라는 인상을 받게 될 것”이라면서 “이 장학금 효과 광고는 모든 장학금 과정이 아닌 '전액 환급 장학금'의 내용을 기반으로 제작된 것다. 이러한 사실을 모르는 수강생들은 모든 장학금 과정의 효과로 오인할 수 있는바, 이는 기만적 방법을 사용하여 소비자를 유인한 행위에 해당한다”고 섧명했다.
야나두 광고(2023년 12월 ~ 2024.년 11월 28일). 출처 : 공정거래위원회
야나두는 2023년 12월경부터 2024년 11월 28일까지 자신이 운영하는 사이버몰 초기화면에 '벌써 88억 돌파! 무려 16만 명이 장학금을 받았어요'라고 광고했다. 이후 2024년 11월 28일부터 작년 5월 16일까지 '벌써 88억 돌파! 무려 17만 명이 장학금에 도전했어요(2024년 10월 기준)' 내용으로 변경해 광고했다.
지급 금액·인원 광고와 관련해 야나두는 지급 금액 '88억원'에 대해서는 장학금 과정별 근거 자료를 제시하여 사실임을 입증했다. 다만, 2024년 11월 28일까지 광고한 지급 인원 '16만 명'은 지급 인원이 아닌 장학금 과정에 도전한 인원이었다. 2024년 11월 28일 이후 광고한 도전 인원 '17만명'에 대해서는 근거 자료를 제시하지 못하는 등 거짓된 사실을 알렸다. 또한, '88억원', '16만명' 등 수치를 산정함에 있어 기준이 되는 장학금 누적 기간 등에 대한 설명이 없거나 부족했다.
공정위는 “이러한 광고를 접한 소비자는 장학금을 지급하기 시작한 2014년 5월경부터가 아닌 최근에 많은 수의 수강생이 장학금 과정에 도전했고, 많은 금액의 장학금을 받은 것으로 오인할 수 있다”면서 “이는 거짓된 사실을 알리거나 기만적 방법을 사용하여 소비자를 유인한 행위에 해당한다”고 설명했.
위와 같은 행위에 대해 공정위는 전자상거래법 제21조 제1항 제1호 위반으로 보아 시정명령 및 과태료를 부과하기로 결정하였다.
이번 조치는 온라인 영어 강의 사업자가 자신이 운영하는 장학금 과정에 대해 거짓된 사실을 알리거나 기만적인 방법을 사용하여 소비자를 유인하는 행위를 적발하여 조치함으로써 소비자가 객관적인 정보를 토대로 소비 활동을 할 수 있도록 하였다는 점에서 의의가 있다.
앞으로도 공정위는 온라인 영어 강의 사업자의 전자상거래법 위반행위를 지속적으로 감시하고, 법 위반 사항 적발 시에는 엄정하게 대응해 나갈 계획이다.
이준희 기자 jhlee@etnews.com"
"""16만명 장학금 받았어요"" 거짓 광고… 야나두, 과태료 500만원",http://v.daum.net/v/20260104134904377,daum_news,yanadu,news,2026-01-18T15:32:33.230945,"공정거래위원회 전경. / 사진=뉴시스
온라인 영어 강의 상품을 판매하면서 수강생들에 지급한 장학금의 효과와 지급 금액, 인원 등을 거짓으로 광고한 야나두가 공정거래위원회로부터 제재를 받았다.
공정위는 야나두에 대해 '전자상거래 등에서의 소비자보호에 관한 법률'에 따라 시정명령 및 과태료 500만원을 부과하기로 결정했다고 4일 밝혔다.
공정위에 따르면 야나두는 온라인 영어 강의 상품을 판매하면서 2014년 5월경부터 수강생에게 강의 수강, 후기 작성 등의 과제를 수행하면 장학금을 지급하는 '장학금 과정'을 운영 중이다.
야나두는 2023년 12월경부터 장학금의 효과, 장학금 지급 금액 및 인원에 대해 광고하면서 거짓된 사실을 알리거나 기만적인 방법을 사용하여 소비자를 유인했다.
구체적으로 지난해 5월9일까지 야나두가 운영하는 사이버몰 초기화면에 '장학금 도전 수강생의 완강률이 강의만 듣는 수강생 대비 3배'라고 광고했다.
하지만 해당 장학금 효과 광고는 모든 장학금 과정이 아닌 '전액 환급 장학금'의 내용을 기반으로 제작된 것으로 이를 모르는 수강생들은 모든 장학금 과정의 효과로 오인할 수 있다. 이는 기만적 방법을 사용해 소비자를 유인한 행위에 해당한다는 게 공정위의 지적이다.
야나두는 또한 2023년 12월경부터 2024년 11월28일까지 자사 사이버몰 초기화면에 '벌써 88억 돌파! 무려 16만명이 장학금을 받았어요'라고 광고했다가 이후부터 지난해 5월16일까지는 '벌써 88억 돌파! 무려 17만명이 장학금에 도전했어요'라는 내용으로 변경해 광고했다.
야나두는 지급 금액 '88억원'에 대해서는 장학금 과정별 근거 자료를 제시해 사실임을 입증했으나 '지급 인원 16만명'은 지급 인원이 아닌 장학금 과정에 도전한 인원이었고 '지급 인원 17만명'에 대해선 근거 자료를 제시하지 못하는 등 거짓된 사실을 알렸다.
또한 '88억원', '16만명' 등 수치를 산정함에 있어 기준이 되는 장학금 누적 기간 등에 대한 설명이 없거나 부족했다. 이 역시 거짓된 사실을 알리거나 기만적 방법을 사용해 소비자를 유인한 행위에 해당한다는 게 공정위의 설명이다.
이에 따라 공정위는 전자상거래법 제21조 제1항제1호 위반으로 판단해 야나두에 시정명령 및 과태료를 부과하기로 결정했다.
공정위 관계자는 ""온라인 영어 강의 사업자가 자신이 운영하는 장학금 과정에 대해 거짓된 사실을 알리거나 기만적인 방법을 사용해 소비자를 유인하는 행위를 적발, 조치한 것""이라며 ""소비자가 객관적인 정보를 토대로 소비 활동을 할 수 있도록 했다는 점에서 의의가 있다""고 말했다.
이한듬 기자 mumford@mt.co.kr"
"야나두, 장학금 ‘신청’을 ‘지급’으로 거짓광고…공정위, 과태료 500만원 부과",http://v.daum.net/v/20260104120645666,daum_news,yanadu,news,2026-01-18T15:32:33.230945,"야나두 누리집 갈무리
수강생에게 지급하는 장학금과 관련해 거짓·기만 광고를 한 영어 교육 기업 야나두가 과태료 500만원을 부과받았다.
공정거래위원회는 4일 야나두의 전자상거래법 위반행위에 시정명령 및 과태료 500만원을 부과한다고 밝혔다. 야나두는 2014년 5월께부터 온라인 영어 강의를 수강하고 후기 작성 등 과제를 수행하면 수강생에게 장학금을 지급했다. 장학금 지급 금액은 기간·과정에 따라 3만원부터 전액까지 다양했다. 야나두는 해당 장학금의 효과, 지급 금액 및 인원에 대해 광고하면서 거짓된 사실을 알리거나 기만적인 방법을 사용해 소비자를 유인한 것으로 조사됐다.
야나두는 2023년 12월께부터 2024년 11월까지 누리집 초기 화면에 ‘벌써 88억 돌파! 무려 16만명이 장학금을 받았어요’라고 광고했다. 이후 2024년 11월부터 2025년 5월까지는 ‘벌써 88억 돌파! 무려 17만명이 장학금에 도전했어요(24년 10월 기준)’라고 내용을 변경해 광고했다.
공정거래위원회 제공
하지만 인원 ‘16만명’은 지급 인원이 아닌 장학금 과정에 도전한 인원이었다. 야나두는 ‘17만명’에 대해서는 근거 자료를 제시하지 못했다. ‘88억원’, ‘16만명’ 등 수치를 산정할 때 기준이 되는 장학금 누적 기간 등에 대한 설명도 없거나 부족했다. 공정위는 “소비자는 장학금을 지급하기 시작한 2014년 5월께부터가 아닌 최근에 많은 수강생이 장학금 과정에 도전했고, 많은 장학금을 받은 것으로 오인할 수 있다”며 “거짓된 사실을 알리거나 기만적 방법을 사용해 소비자를 유인한 행위에 해당한다”고 판단했다.
야나두는 또 2023년 12월께부터 2025년 5월까지 누리집 초기 화면에 ‘장학금 도전 수강생의 완강률이 강의만 듣는 수강생 대비 3배’라고 광고했다. 하지만 이는 모든 장학금 과정이 아닌 ‘전액 환급 장학금’ 과정에만 해당했다. 공정위는 “소비자는 모든 장학금 과정의 효과로 오인할 수 있다”며 “기만적 방법을 사용해 소비자를 유인한 행위에 해당한다”고 봤다.
김윤주 기자 kyj@hani.co.kr"
"""16만명 장학금 받았다"" 거짓 광고한 야나두…공정위, 제재",http://v.daum.net/v/20260104120153470,daum_news,yanadu,news,2026-01-18T15:32:33.230945,"세종시 정부세종청사 공정거래위원회 전경 2024.11.12/뉴스1 ⓒ News1 김기남 기자
(세종=뉴스1) 심서현 기자 = 공정거래위원회가 영어 강의 수강생들에게 지급한 장학금의 효과, 지급 금액, 인원 등 실제와 다른 정보를 광고한 야나두에 과태료를 부과했다.
공정거래위원회는 '전자상거래 등에서의 소비자보호에 관한 법률'(전자상거래법) 위반으로 야나두에 향후금지명령의 시정명령과 과태료 500만원을 부과했다고 4일 밝혔다.
야나두는 지난 2014년 5월부터 자신의 사이버몰에서 온라인 영어 강의 상품을 판매하면서 수강생에게 강의 수강, 후기 작성 등의 과제를 수행하면 장학금을 지급하는 장학금 과정을 운영해 오고 있었으며 2023년 12월부터는 장학금의 효과와 장학금 지급 금액 및 인원에 대해 광고하면서 거짓된 사실을 알리거나 기만적인 방법을 사용해 소비자를 유인했다.
또 야나두는 2023년 12월부터 지난해 5월까지 자신이 운영하는 사이버몰 초기화면에 '장학금 도전 수강생의 완강률이 강의만 듣는 수강생 대비 3배'라고 광고했다.
다만 이 효과는 야나두가 운영하던 여러 장학금 과정 중 '전액 환급 장학금'의 내용을 기반으로 제작돼 이를 모르는 수강생들은 모든 장학금 과정의 효과로 오인할 수 있었다.
이어 회사는 2023년 12월부터 2024년 11월 말까지 자신의 사이버몰 초기화면에 '벌써 88억 돌파! 무려 16만 명이 장학금을 받았어요'라고 광고했고 이후 2024년 11월 말부터 지난해 5월까지 '벌써 88억 돌파! 무려 17만 명이 장학금에 도전했어요'(2024년 10월 기준) 내용으로 변경해 광고했다.
지급 금액 및 인원 광고와 관련해 야나두는 지급 금액 '88억 원'에 대해서는 장학금 과정별 근거 자료를 제시해 사실임을 입증했다. 다만 2024년 11월까지 광고한 지급 인원 '16만 명'은 지급 인원이 아닌 장학금 과정에 도전한 인원이었으며 2024년 11월 이후 광고한 도전 인원 '17만 명'에 대해서는 근거자료를 제시하지 못했다.
아울러 '88억 원', '16만 명' 등 수치를 산정함에 있어 기준이 되는 장학금 누적 기간 등에 관해 설명이 없거나 부족했다.
공정위는 야나두의 이 같은 행위들이 기만적 방법을 사용해 소비자를 유인한 행위에 해당하고, 전자상거래법을 위반한다고 판단했다.
공정위는 ""이번 조치는 온라인 영어 강의 사업자가 자신이 운영하는 장학금 과정에 대해 거짓된 사실을 알리거나 기만적인 방법을 사용해 소비자를 유인하는 행위를 적발해 조치함으로써 소비자가 객관적인 정보를 토대로 소비 활동을 할 수 있도록 했다는 점에서 의의가 있다""고 밝혔다.
이어 ""앞으로도 공정위는 온라인 영어 강의 사업자의 전자상거래법 위반행위를 지속적으로 감시하고, 법 위반 사항 적발 시에는 엄정하게 대응해 나갈 계획""이라고 덧붙였다.
seohyun.shim@news1.kr"
“16만 명이 장학금 받았다” 거짓 광고…야나두 과태료 500만 원,http://v.daum.net/v/20260104155303334,daum_news,yanadu,news,2026-01-18T15:32:33.230945,"야나두가 지난 2023년 12월부터 2024년 11월 28일까지 온라인 사이트 초기화면에 올려 둔 광고. 잘못된 정보 및 기만적 방법을 이용한 유인행위로 공정위 제재를 받음. (제공 : 공정거래위원회)
온라인 영어교육 전문기업인 '야나두'가 수강생들을 거짓된 정보와 기만적인 방법으로 장학금 과정으로 유인해 공정거래위원회의 제재를 받았습니다.
공정위는 야나두가 온라인 영어 강의 상품을 판매하면서 장학금과 관련해 허위 사실을 알리거나 과장한 것으로 드러난 야나두에 시정명령과 과태료 500만 원을 부과하기로 결정했다고 오늘(4일) 밝혔습니다.
우선 야나두는 지난 2023년 12월부터 2024년 11월까지 온라인 사이트 초기화면에 '벌써 88억 돌파! 무려 16만 명이 장학금을 받았어요'라고 광고한 바 있습니다.
공정위는 해당 광고 문구의 '장학금을 받은 16만 명'이 실제로 장학금을 지급받은 인원이 아니라 장학금 과정에 도전한 인원이었다고 설명했습니다.
또 장학금에 16만 명이 도전했다는 사실에 대해 기간을 명시하지 않아, 소비자들이 봤을 때 도전 인원이 지난 2014년 5월부터 산정한 게 아닌 최근 인원으로 오인할 수 있다고도 덧붙였습니다.
여기에 더해 야나두는 지난 2023년 12월부터 지난해 5월까지 온라인 사이트 초기화면에 '장학금 도전 수강생의 완강률이 강의만 듣는 수강생 대비 3배'라고도 광고한 바 있습니다.
하지만 이 완강률 상승 수치는 모든 장학금 과정에 도전한 수강생들에 해당하는 게 아닌, 오직 전액 환급 장학금 과정의 수강생들로만 계산한 수치라고 밝혀졌습니다.
공정위는 이 광고를 기만적 방법을 사용해 소비자들을 유인한 행위라고 판단했습니다.
공정위는 ""앞으로도 온라인 영어 강의 사업자의 전자상거래법 위반행위를 지속적으로 감시하고, 법 위반 사항 적발 시에는 엄정하게 대응해 나갈 계획""이라고 밝혔습니다.
배정현 기자 baechewing@ichannela.com"
