title,text,rating,author,date,url,company,source_type,source_platform,search_keyword,collected_at
,1/19일까지 강의 자동으로 넘기는 기능 삭제하세요 현재 1/16 강의 자동으로 넘기는 기능 아직 삭제 안하는 중,1,호석,2026-01-16 09:20:54,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,가로모드 지원 좀... 태블릿으로 어플 들어갈 때마다 짜증나서 학습 의욕까지 떨어집니다.,3,YIRANG BAEK,2026-01-15 17:22:51,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,가로지원 안되는거 실화냐 ㅎ,1,Bil Lee (Bil),2026-01-12 16:22:57,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,"배속 조절까지 너무 많은 작동을 요합니다. 건너뛰기는 할 수 없는데 빨리 넘길 수 있는 부분에 너무 많은 시간을 투자하게 됩니다. 화면 터치했을 때, 바로 배속 설정 가능하도록, 화면을 꾹 누르면 2배속 되도록 기능 만들어주셨으면 합니다. 또한 (인강 외)화면 가로 모드가 불가한데, 테블릿으로 강의를 듣다보면 세워서 강의 선택하고 또 눕혀서 강의를 들어야 하다보니 번거로움이 있습니다. 개선 바랍니다.",4,서현,2026-01-10 11:32:57,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,"앱 자체가 사용하는데 어려움은 없으나 강의를 보던중에 일시정지 상태에서 재생바를 옮긴다던지, 5초전으로 간다던지 하면 앱이 고장나버립니다. 반복해서 나타나는데 그럴때마다 앱을 껏다 켜야하는 너무 큰 불편함이 있어요. 수정해주세요.",4,이름없음 (프레시아),2026-01-08 14:39:44,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,앱 실행시 로딩오류 너무 잦음,1,ccc ff,2026-01-02 20:58:34,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,1점도 아까운 쓰레기같은 UI. 리뷰는 다 알바인가요? 본인들도 고객 입장에서 써보면 문제점을 바로 알텐데 왜 개선하지를 않나요? 강의나 교재를 팔았으면 그에 합당한 서비스를 제공하는게 당연한 원칙 아닌가요? 개인적으로 유튜브를 통해 선호하던 강사분 있으셨는데 이후에 졸업을 위해 토익 응시를 해야될 상황이 되더라도 시원스쿨 플렛폼은 다시는 사용하지 않을 것 같네요. 안타깝습니다,1,do ha kim,2025-12-27 14:13:11,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,렉이 너무 잘 걸립니다. 필기하려고 잠깐 정지 버튼 누르면 1분만에 바로 앱 렉 걸리고 꺼집니다. 매번 다시 앱 나갔다 다시 들어와아해서 매우 번거롭습니다,1,이혜령,2025-12-27 14:12:41,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,먹통이 너무잘됨,1,HC Double,2025-12-24 07:45:27,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,제발 태블릿에서 어플 화면 가로모드로 되게 해주세요,3,injeolmeee,2025-12-20 13:10:33,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
,삭제후 새로 까니 되네요,5,쫑쓰,2025-12-15 15:26:35,https://play.google.com/store/apps/details?id=com.siwonschool.siwonschool_android,yanadu,review,playstore,시원스쿨,2026-01-18T14:34:43.273598
